NODE=[HOST_fd0c0ddbe6] | JOB=mx-sig-resnet18_blocks-s0 4682856
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --NN-name ResNet18 --dataset CIFAR10 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-3 --alpha0 1e-6 --num-epochs 100 --stepsize-groups resnet18_blocks --seed 0 --save-directory cluster/Account1/metaopt/runs/mx --run-name mx_sig_resnet18_blocks_s0
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=none LAM=na ETA_RATIO=na
NVIDIA A100 80GB PCIe, 81920 MiB
NVIDIA A100 80GB PCIe, 81920 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account1/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 12.79 %, Test Accuracy: 12.87 %
Epoch 1, Train Accuracy: 12.76 %, Test Accuracy: 12.93 %
Epoch 2, Train Accuracy: 13.01 %, Test Accuracy: 13.18 %
Epoch 3, Train Accuracy: 13.47 %, Test Accuracy: 13.48 %
Epoch 4, Train Accuracy: 13.67 %, Test Accuracy: 13.73 %
Epoch 5, Train Accuracy: 14.53 %, Test Accuracy: 14.48 %
Epoch 6, Train Accuracy: 15.72 %, Test Accuracy: 15.55 %
Epoch 7, Train Accuracy: 17.59 %, Test Accuracy: 17.80 %
Epoch 8, Train Accuracy: 20.19 %, Test Accuracy: 20.95 %
Epoch 9, Train Accuracy: 23.00 %, Test Accuracy: 23.98 %
Epoch 10, Train Accuracy: 26.53 %, Test Accuracy: 28.08 %
Epoch 11, Train Accuracy: 30.29 %, Test Accuracy: 32.57 %
Epoch 12, Train Accuracy: 33.94 %, Test Accuracy: 35.72 %
Epoch 13, Train Accuracy: 37.42 %, Test Accuracy: 39.71 %
Epoch 14, Train Accuracy: 41.75 %, Test Accuracy: 44.80 %
Epoch 15, Train Accuracy: 47.44 %, Test Accuracy: 51.53 %
Epoch 16, Train Accuracy: 53.76 %, Test Accuracy: 57.17 %
Epoch 17, Train Accuracy: 59.88 %, Test Accuracy: 62.91 %
Epoch 18, Train Accuracy: 65.69 %, Test Accuracy: 64.97 %
Epoch 19, Train Accuracy: 70.16 %, Test Accuracy: 71.54 %
Epoch 20, Train Accuracy: 73.56 %, Test Accuracy: 72.80 %
Epoch 21, Train Accuracy: 77.17 %, Test Accuracy: 76.02 %
Epoch 22, Train Accuracy: 78.56 %, Test Accuracy: 78.71 %
Epoch 23, Train Accuracy: 80.86 %, Test Accuracy: 80.37 %
Epoch 24, Train Accuracy: 82.16 %, Test Accuracy: 81.83 %
Epoch 25, Train Accuracy: 83.36 %, Test Accuracy: 82.83 %
Epoch 26, Train Accuracy: 84.76 %, Test Accuracy: 84.12 %
Epoch 27, Train Accuracy: 85.61 %, Test Accuracy: 84.62 %
Epoch 28, Train Accuracy: 86.54 %, Test Accuracy: 85.44 %
Epoch 29, Train Accuracy: 87.44 %, Test Accuracy: 85.89 %
Epoch 30, Train Accuracy: 88.17 %, Test Accuracy: 85.44 %
Epoch 31, Train Accuracy: 89.04 %, Test Accuracy: 87.29 %
Epoch 32, Train Accuracy: 89.68 %, Test Accuracy: 86.89 %
Epoch 33, Train Accuracy: 90.24 %, Test Accuracy: 87.13 %
Epoch 34, Train Accuracy: 90.71 %, Test Accuracy: 88.29 %
Epoch 35, Train Accuracy: 91.83 %, Test Accuracy: 88.34 %
Epoch 36, Train Accuracy: 92.06 %, Test Accuracy: 87.92 %
Epoch 37, Train Accuracy: 92.43 %, Test Accuracy: 88.90 %
Epoch 38, Train Accuracy: 93.18 %, Test Accuracy: 88.67 %
Epoch 39, Train Accuracy: 93.60 %, Test Accuracy: 89.87 %
