NODE=[HOST_8d6ba568b8] | JOB=mx-sig-weightwise-s0 4682865
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --NN-name ResNet18 --dataset CIFAR10 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-3 --alpha0 1e-6 --num-epochs 100 --stepsize-groups weightwise --seed 0 --save-directory cluster/Account1/metaopt/runs/mx --run-name mx_sig_weightwise_s0
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=none LAM=na ETA_RATIO=na
NVIDIA GeForce RTX 2080 Ti, 11264 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account1/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 12.79 %, Test Accuracy: 12.86 %
Epoch 1, Train Accuracy: 12.76 %, Test Accuracy: 12.94 %
Epoch 2, Train Accuracy: 13.03 %, Test Accuracy: 13.19 %
Epoch 3, Train Accuracy: 13.51 %, Test Accuracy: 13.52 %
Epoch 4, Train Accuracy: 13.71 %, Test Accuracy: 13.74 %
Epoch 5, Train Accuracy: 14.57 %, Test Accuracy: 14.48 %
Epoch 6, Train Accuracy: 15.74 %, Test Accuracy: 15.25 %
Epoch 7, Train Accuracy: 17.24 %, Test Accuracy: 17.08 %
Epoch 8, Train Accuracy: 19.29 %, Test Accuracy: 18.86 %
Epoch 9, Train Accuracy: 21.10 %, Test Accuracy: 20.78 %
Epoch 10, Train Accuracy: 23.34 %, Test Accuracy: 23.82 %
Epoch 11, Train Accuracy: 25.89 %, Test Accuracy: 26.00 %
Epoch 12, Train Accuracy: 27.99 %, Test Accuracy: 28.08 %
Epoch 13, Train Accuracy: 30.11 %, Test Accuracy: 30.70 %
Epoch 14, Train Accuracy: 32.07 %, Test Accuracy: 33.24 %
Epoch 15, Train Accuracy: 33.77 %, Test Accuracy: 35.39 %
Epoch 16, Train Accuracy: 35.19 %, Test Accuracy: 37.92 %
Epoch 17, Train Accuracy: 36.84 %, Test Accuracy: 39.52 %
Epoch 18, Train Accuracy: 38.75 %, Test Accuracy: 41.12 %
Epoch 19, Train Accuracy: 40.30 %, Test Accuracy: 42.72 %
Epoch 20, Train Accuracy: 41.71 %, Test Accuracy: 43.81 %
Epoch 21, Train Accuracy: 43.46 %, Test Accuracy: 45.47 %
Epoch 22, Train Accuracy: 44.66 %, Test Accuracy: 46.22 %
Epoch 23, Train Accuracy: 45.82 %, Test Accuracy: 47.43 %
Epoch 24, Train Accuracy: 47.22 %, Test Accuracy: 49.15 %
Epoch 25, Train Accuracy: 48.23 %, Test Accuracy: 50.24 %
Epoch 26, Train Accuracy: 49.51 %, Test Accuracy: 51.17 %
Epoch 27, Train Accuracy: 50.65 %, Test Accuracy: 51.94 %
Epoch 28, Train Accuracy: 51.87 %, Test Accuracy: 53.25 %
Epoch 29, Train Accuracy: 52.89 %, Test Accuracy: 53.90 %
Epoch 30, Train Accuracy: 53.91 %, Test Accuracy: 55.13 %
Epoch 31, Train Accuracy: 54.69 %, Test Accuracy: 55.55 %
Epoch 32, Train Accuracy: 55.43 %, Test Accuracy: 56.66 %
Epoch 33, Train Accuracy: 56.50 %, Test Accuracy: 57.55 %
Epoch 34, Train Accuracy: 57.12 %, Test Accuracy: 57.83 %
Epoch 35, Train Accuracy: 58.10 %, Test Accuracy: 58.62 %
Epoch 36, Train Accuracy: 58.91 %, Test Accuracy: 59.86 %
Epoch 37, Train Accuracy: 59.49 %, Test Accuracy: 60.33 %
Epoch 38, Train Accuracy: 60.47 %, Test Accuracy: 61.50 %
Epoch 39, Train Accuracy: 61.17 %, Test Accuracy: 62.11 %
Epoch 40, Train Accuracy: 61.58 %, Test Accuracy: 62.58 %
Epoch 41, Train Accuracy: 62.39 %, Test Accuracy: 63.05 %
Epoch 42, Train Accuracy: 63.18 %, Test Accuracy: 63.80 %
Epoch 43, Train Accuracy: 63.77 %, Test Accuracy: 64.53 %
Epoch 44, Train Accuracy: 64.40 %, Test Accuracy: 64.65 %
Epoch 45, Train Accuracy: 65.04 %, Test Accuracy: 65.20 %
Epoch 46, Train Accuracy: 65.38 %, Test Accuracy: 65.40 %
Epoch 47, Train Accuracy: 65.71 %, Test Accuracy: 66.26 %
Epoch 48, Train Accuracy: 66.42 %, Test Accuracy: 66.62 %
Epoch 49, Train Accuracy: 66.77 %, Test Accuracy: 67.29 %
Epoch 50, Train Accuracy: 67.48 %, Test Accuracy: 67.34 %
Epoch 51, Train Accuracy: 67.77 %, Test Accuracy: 68.14 %
Epoch 52, Train Accuracy: 68.37 %, Test Accuracy: 68.41 %
Epoch 53, Train Accuracy: 68.65 %, Test Accuracy: 68.65 %
Epoch 54, Train Accuracy: 69.18 %, Test Accuracy: 69.25 %
Epoch 55, Train Accuracy: 69.56 %, Test Accuracy: 68.98 %
Epoch 56, Train Accuracy: 69.71 %, Test Accuracy: 69.74 %
Epoch 57, Train Accuracy: 70.40 %, Test Accuracy: 70.04 %
Epoch 58, Train Accuracy: 70.86 %, Test Accuracy: 70.38 %
Epoch 59, Train Accuracy: 71.05 %, Test Accuracy: 70.74 %
Epoch 60, Train Accuracy: 71.59 %, Test Accuracy: 70.78 %
Epoch 61, Train Accuracy: 71.68 %, Test Accuracy: 71.41 %
Epoch 62, Train Accuracy: 72.15 %, Test Accuracy: 71.96 %
Epoch 63, Train Accuracy: 72.64 %, Test Accuracy: 72.16 %
Epoch 64, Train Accuracy: 72.97 %, Test Accuracy: 72.44 %
Epoch 65, Train Accuracy: 73.28 %, Test Accuracy: 72.77 %
Epoch 66, Train Accuracy: 73.53 %, Test Accuracy: 73.20 %
Epoch 67, Train Accuracy: 74.07 %, Test Accuracy: 73.06 %
Epoch 68, Train Accuracy: 74.11 %, Test Accuracy: 74.06 %
Epoch 69, Train Accuracy: 74.58 %, Test Accuracy: 73.84 %
Epoch 70, Train Accuracy: 74.90 %, Test Accuracy: 74.33 %
Epoch 71, Train Accuracy: 75.56 %, Test Accuracy: 74.53 %
Epoch 72, Train Accuracy: 75.52 %, Test Accuracy: 74.65 %
Epoch 73, Train Accuracy: 75.80 %, Test Accuracy: 74.55 %
Epoch 74, Train Accuracy: 76.07 %, Test Accuracy: 74.91 %
Epoch 75, Train Accuracy: 76.37 %, Test Accuracy: 75.11 %
Epoch 76, Train Accuracy: 76.74 %, Test Accuracy: 75.35 %
Epoch 77, Train Accuracy: 77.17 %, Test Accuracy: 75.67 %
Epoch 78, Train Accuracy: 77.18 %, Test Accuracy: 76.09 %
Epoch 79, Train Accuracy: 77.75 %, Test Accuracy: 76.09 %
Epoch 80, Train Accuracy: 77.87 %, Test Accuracy: 75.95 %
Epoch 81, Train Accuracy: 78.00 %, Test Accuracy: 76.50 %
Epoch 82, Train Accuracy: 78.08 %, Test Accuracy: 76.50 %
Epoch 83, Train Accuracy: 78.52 %, Test Accuracy: 76.80 %
Epoch 84, Train Accuracy: 78.77 %, Test Accuracy: 77.35 %
Epoch 85, Train Accuracy: 79.02 %, Test Accuracy: 77.36 %
Epoch 86, Train Accuracy: 79.29 %, Test Accuracy: 77.18 %
Epoch 87, Train Accuracy: 79.36 %, Test Accuracy: 77.46 %
Epoch 88, Train Accuracy: 79.60 %, Test Accuracy: 77.74 %
Epoch 89, Train Accuracy: 79.89 %, Test Accuracy: 78.04 %
Epoch 90, Train Accuracy: 79.94 %, Test Accuracy: 78.36 %
Epoch 91, Train Accuracy: 80.39 %, Test Accuracy: 78.45 %
Epoch 92, Train Accuracy: 80.40 %, Test Accuracy: 78.23 %
Epoch 93, Train Accuracy: 81.00 %, Test Accuracy: 78.81 %
Epoch 94, Train Accuracy: 80.86 %, Test Accuracy: 78.81 %
Epoch 95, Train Accuracy: 81.37 %, Test Accuracy: 79.10 %
Epoch 96, Train Accuracy: 81.42 %, Test Accuracy: 79.15 %
Epoch 97, Train Accuracy: 81.81 %, Test Accuracy: 79.45 %
Epoch 98, Train Accuracy: 81.90 %, Test Accuracy: 79.45 %
Epoch 99, Train Accuracy: 82.11 %, Test Accuracy: 79.64 %
82  minutes
RUN_DONE
