NODE=[HOST_03eb56b6d1] | JOB=mx-sig-weightwise-s1 4682866
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --NN-name ResNet18 --dataset CIFAR10 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-3 --alpha0 1e-6 --num-epochs 100 --stepsize-groups weightwise --seed 1 --save-directory cluster/Account1/metaopt/runs/mx --run-name mx_sig_weightwise_s1
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=none LAM=na ETA_RATIO=na
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account1/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 9.66 %, Test Accuracy: 9.82 %
Epoch 1, Train Accuracy: 9.51 %, Test Accuracy: 9.86 %
Epoch 2, Train Accuracy: 9.53 %, Test Accuracy: 9.82 %
Epoch 3, Train Accuracy: 9.73 %, Test Accuracy: 9.95 %
Epoch 4, Train Accuracy: 10.21 %, Test Accuracy: 10.53 %
Epoch 5, Train Accuracy: 11.51 %, Test Accuracy: 12.60 %
Epoch 6, Train Accuracy: 14.48 %, Test Accuracy: 16.47 %
Epoch 7, Train Accuracy: 17.17 %, Test Accuracy: 20.33 %
Epoch 8, Train Accuracy: 19.85 %, Test Accuracy: 21.85 %
Epoch 9, Train Accuracy: 21.25 %, Test Accuracy: 22.46 %
Epoch 10, Train Accuracy: 22.85 %, Test Accuracy: 23.49 %
Epoch 11, Train Accuracy: 24.63 %, Test Accuracy: 25.26 %
Epoch 12, Train Accuracy: 26.17 %, Test Accuracy: 26.90 %
Epoch 13, Train Accuracy: 28.94 %, Test Accuracy: 29.39 %
Epoch 14, Train Accuracy: 32.02 %, Test Accuracy: 32.86 %
Epoch 15, Train Accuracy: 33.68 %, Test Accuracy: 35.51 %
Epoch 16, Train Accuracy: 35.48 %, Test Accuracy: 38.26 %
Epoch 17, Train Accuracy: 37.35 %, Test Accuracy: 40.32 %
Epoch 18, Train Accuracy: 38.84 %, Test Accuracy: 41.87 %
Epoch 19, Train Accuracy: 40.83 %, Test Accuracy: 43.17 %
Epoch 20, Train Accuracy: 42.13 %, Test Accuracy: 44.34 %
Epoch 21, Train Accuracy: 43.65 %, Test Accuracy: 45.50 %
Epoch 22, Train Accuracy: 45.26 %, Test Accuracy: 46.84 %
Epoch 23, Train Accuracy: 46.09 %, Test Accuracy: 47.93 %
Epoch 24, Train Accuracy: 47.58 %, Test Accuracy: 49.31 %
Epoch 25, Train Accuracy: 48.69 %, Test Accuracy: 50.07 %
Epoch 26, Train Accuracy: 49.77 %, Test Accuracy: 51.81 %
Epoch 27, Train Accuracy: 51.00 %, Test Accuracy: 52.75 %
Epoch 28, Train Accuracy: 52.03 %, Test Accuracy: 53.80 %
Epoch 29, Train Accuracy: 53.02 %, Test Accuracy: 54.88 %
Epoch 30, Train Accuracy: 53.83 %, Test Accuracy: 55.64 %
Epoch 31, Train Accuracy: 54.74 %, Test Accuracy: 56.42 %
Epoch 32, Train Accuracy: 55.73 %, Test Accuracy: 56.62 %
Epoch 33, Train Accuracy: 56.56 %, Test Accuracy: 57.64 %
Epoch 34, Train Accuracy: 57.45 %, Test Accuracy: 58.74 %
Epoch 35, Train Accuracy: 58.07 %, Test Accuracy: 59.00 %
Epoch 36, Train Accuracy: 58.63 %, Test Accuracy: 59.75 %
Epoch 37, Train Accuracy: 59.57 %, Test Accuracy: 60.57 %
Epoch 38, Train Accuracy: 60.18 %, Test Accuracy: 60.92 %
Epoch 39, Train Accuracy: 60.89 %, Test Accuracy: 61.74 %
Epoch 40, Train Accuracy: 61.89 %, Test Accuracy: 62.19 %
Epoch 41, Train Accuracy: 62.15 %, Test Accuracy: 62.83 %
Epoch 42, Train Accuracy: 63.07 %, Test Accuracy: 63.11 %
Epoch 43, Train Accuracy: 63.76 %, Test Accuracy: 63.59 %
Epoch 44, Train Accuracy: 64.43 %, Test Accuracy: 64.21 %
Epoch 45, Train Accuracy: 64.56 %, Test Accuracy: 64.62 %
Epoch 46, Train Accuracy: 65.22 %, Test Accuracy: 65.36 %
Epoch 47, Train Accuracy: 65.79 %, Test Accuracy: 65.66 %
Epoch 48, Train Accuracy: 66.20 %, Test Accuracy: 66.32 %
Epoch 49, Train Accuracy: 67.00 %, Test Accuracy: 66.52 %
Epoch 50, Train Accuracy: 67.61 %, Test Accuracy: 66.88 %
Epoch 51, Train Accuracy: 67.64 %, Test Accuracy: 67.54 %
Epoch 52, Train Accuracy: 68.38 %, Test Accuracy: 67.74 %
Epoch 53, Train Accuracy: 68.79 %, Test Accuracy: 68.70 %
Epoch 54, Train Accuracy: 69.10 %, Test Accuracy: 68.75 %
Epoch 55, Train Accuracy: 69.71 %, Test Accuracy: 69.11 %
Epoch 56, Train Accuracy: 69.67 %, Test Accuracy: 69.68 %
Epoch 57, Train Accuracy: 70.41 %, Test Accuracy: 70.15 %
Epoch 58, Train Accuracy: 70.82 %, Test Accuracy: 70.25 %
Epoch 59, Train Accuracy: 71.29 %, Test Accuracy: 70.98 %
Epoch 60, Train Accuracy: 71.78 %, Test Accuracy: 71.02 %
Epoch 61, Train Accuracy: 72.03 %, Test Accuracy: 71.70 %
Epoch 62, Train Accuracy: 72.46 %, Test Accuracy: 72.06 %
Epoch 63, Train Accuracy: 72.76 %, Test Accuracy: 72.24 %
Epoch 64, Train Accuracy: 72.90 %, Test Accuracy: 72.10 %
Epoch 65, Train Accuracy: 73.36 %, Test Accuracy: 72.57 %
Epoch 66, Train Accuracy: 73.97 %, Test Accuracy: 72.81 %
