NODE=[HOST_e8d809bd94] | JOB=mx-sig-weightwise-s2 4682867
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --NN-name ResNet18 --dataset CIFAR10 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-3 --alpha0 1e-6 --num-epochs 100 --stepsize-groups weightwise --seed 2 --save-directory cluster/Account1/metaopt/runs/mx --run-name mx_sig_weightwise_s2
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=none LAM=na ETA_RATIO=na
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account1/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 10.03 %, Test Accuracy: 10.17 %
Epoch 1, Train Accuracy: 9.98 %, Test Accuracy: 10.25 %
Epoch 2, Train Accuracy: 10.13 %, Test Accuracy: 10.32 %
Epoch 3, Train Accuracy: 10.14 %, Test Accuracy: 10.56 %
Epoch 4, Train Accuracy: 10.88 %, Test Accuracy: 10.77 %
Epoch 5, Train Accuracy: 11.84 %, Test Accuracy: 12.21 %
Epoch 6, Train Accuracy: 13.74 %, Test Accuracy: 14.47 %
Epoch 7, Train Accuracy: 15.67 %, Test Accuracy: 17.17 %
Epoch 8, Train Accuracy: 17.75 %, Test Accuracy: 19.20 %
Epoch 9, Train Accuracy: 20.02 %, Test Accuracy: 20.38 %
Epoch 10, Train Accuracy: 22.19 %, Test Accuracy: 21.88 %
Epoch 11, Train Accuracy: 23.84 %, Test Accuracy: 23.18 %
Epoch 12, Train Accuracy: 25.96 %, Test Accuracy: 25.19 %
Epoch 13, Train Accuracy: 28.13 %, Test Accuracy: 27.76 %
Epoch 14, Train Accuracy: 30.74 %, Test Accuracy: 31.07 %
Epoch 15, Train Accuracy: 33.19 %, Test Accuracy: 34.72 %
Epoch 16, Train Accuracy: 35.05 %, Test Accuracy: 36.99 %
Epoch 17, Train Accuracy: 36.76 %, Test Accuracy: 39.18 %
Epoch 18, Train Accuracy: 38.71 %, Test Accuracy: 40.53 %
Epoch 19, Train Accuracy: 40.30 %, Test Accuracy: 41.93 %
Epoch 20, Train Accuracy: 41.82 %, Test Accuracy: 43.49 %
Epoch 21, Train Accuracy: 43.27 %, Test Accuracy: 44.47 %
Epoch 22, Train Accuracy: 44.64 %, Test Accuracy: 46.08 %
Epoch 23, Train Accuracy: 45.74 %, Test Accuracy: 47.34 %
Epoch 24, Train Accuracy: 47.26 %, Test Accuracy: 48.67 %
Epoch 25, Train Accuracy: 48.01 %, Test Accuracy: 49.94 %
Epoch 26, Train Accuracy: 49.07 %, Test Accuracy: 50.80 %
Epoch 27, Train Accuracy: 50.13 %, Test Accuracy: 51.75 %
Epoch 28, Train Accuracy: 51.49 %, Test Accuracy: 52.94 %
Epoch 29, Train Accuracy: 52.49 %, Test Accuracy: 53.62 %
Epoch 30, Train Accuracy: 53.12 %, Test Accuracy: 54.48 %
Epoch 31, Train Accuracy: 54.10 %, Test Accuracy: 55.08 %
Epoch 32, Train Accuracy: 55.03 %, Test Accuracy: 55.95 %
Epoch 33, Train Accuracy: 55.88 %, Test Accuracy: 56.53 %
Epoch 34, Train Accuracy: 56.42 %, Test Accuracy: 57.38 %
Epoch 35, Train Accuracy: 57.09 %, Test Accuracy: 58.40 %
Epoch 36, Train Accuracy: 58.17 %, Test Accuracy: 59.00 %
Epoch 37, Train Accuracy: 59.08 %, Test Accuracy: 59.84 %
