NODE=[HOST_e223b82d71] | JOB=nl1-rms-c23-s0 4832415
ARGS: --optimizer HF --alg-base RMSProp --normalizer-param-base 0.999 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR10 --NN-name ResNet18 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-4 --alpha0 1e-3 --num-epochs 100 --stepsize-groups chunk2325 --seed 0 --save-directory cluster/Account1/metaopt/runs/nl1 --run-name nl1-rms-c23-s0
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=none LAM=na ETA_RATIO=na COS_TOTAL=default COS_WARMUP=default SCHED=none SCHED_TOTAL=none SCHED_WARMUP=none SCHED_MIN=none PROBE=5 PROBE_DIR=cluster/Account1/metaopt/runs/nl1/probe_rms_c23_nl1_s0
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'momentum_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account1/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 42.70 %, Test Accuracy: 48.26 %
Epoch 1, Train Accuracy: 62.82 %, Test Accuracy: 62.94 %
Epoch 2, Train Accuracy: 71.75 %, Test Accuracy: 69.39 %
Epoch 3, Train Accuracy: 77.36 %, Test Accuracy: 73.28 %
Epoch 4, Train Accuracy: 80.73 %, Test Accuracy: 75.16 %
Epoch 5, Train Accuracy: 83.15 %, Test Accuracy: 77.85 %
Epoch 6, Train Accuracy: 84.91 %, Test Accuracy: 82.79 %
Epoch 7, Train Accuracy: 86.20 %, Test Accuracy: 80.59 %
Epoch 8, Train Accuracy: 87.45 %, Test Accuracy: 85.63 %
Epoch 9, Train Accuracy: 88.80 %, Test Accuracy: 84.38 %
Epoch 10, Train Accuracy: 89.60 %, Test Accuracy: 84.14 %
Epoch 11, Train Accuracy: 90.38 %, Test Accuracy: 84.18 %
Epoch 12, Train Accuracy: 91.09 %, Test Accuracy: 88.21 %
Epoch 13, Train Accuracy: 91.76 %, Test Accuracy: 86.95 %
Epoch 14, Train Accuracy: 92.44 %, Test Accuracy: 89.03 %
Epoch 15, Train Accuracy: 92.89 %, Test Accuracy: 88.41 %
Epoch 16, Train Accuracy: 93.49 %, Test Accuracy: 88.89 %
Epoch 17, Train Accuracy: 93.92 %, Test Accuracy: 88.13 %
Epoch 18, Train Accuracy: 94.36 %, Test Accuracy: 88.56 %
Epoch 19, Train Accuracy: 94.73 %, Test Accuracy: 90.21 %
Epoch 20, Train Accuracy: 95.14 %, Test Accuracy: 90.16 %
Epoch 21, Train Accuracy: 95.50 %, Test Accuracy: 86.20 %
Epoch 22, Train Accuracy: 95.81 %, Test Accuracy: 89.60 %
Epoch 23, Train Accuracy: 96.18 %, Test Accuracy: 88.07 %
Epoch 24, Train Accuracy: 96.29 %, Test Accuracy: 90.31 %
Epoch 25, Train Accuracy: 96.42 %, Test Accuracy: 90.37 %
Epoch 26, Train Accuracy: 96.91 %, Test Accuracy: 91.06 %
Epoch 27, Train Accuracy: 97.03 %, Test Accuracy: 90.78 %
Epoch 28, Train Accuracy: 97.15 %, Test Accuracy: 90.16 %
Epoch 29, Train Accuracy: 97.19 %, Test Accuracy: 88.19 %
Epoch 30, Train Accuracy: 97.47 %, Test Accuracy: 90.24 %
Epoch 31, Train Accuracy: 97.70 %, Test Accuracy: 91.16 %
Epoch 32, Train Accuracy: 97.81 %, Test Accuracy: 91.24 %
Epoch 33, Train Accuracy: 97.89 %, Test Accuracy: 90.96 %
Epoch 34, Train Accuracy: 98.02 %, Test Accuracy: 91.59 %
Epoch 35, Train Accuracy: 98.10 %, Test Accuracy: 90.47 %
Epoch 36, Train Accuracy: 98.14 %, Test Accuracy: 91.97 %
Epoch 37, Train Accuracy: 98.30 %, Test Accuracy: 91.81 %
Epoch 38, Train Accuracy: 98.47 %, Test Accuracy: 90.68 %
Epoch 39, Train Accuracy: 98.40 %, Test Accuracy: 91.25 %
Epoch 40, Train Accuracy: 98.59 %, Test Accuracy: 91.91 %
Epoch 41, Train Accuracy: 98.57 %, Test Accuracy: 91.35 %
