NODE=[HOST_f0845cc956] | JOB=ns5-lay-m2p4-s1 4702463
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR10 --NN-name ResNet18 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 2e-4 --alpha0 1e-3 --num-epochs 20 --stepsize-groups layerwise --seed 1 --save-directory cluster/Account1/metaopt/runs/ns5 --run-name ns5-lay-m2p4-s1
ENV: AUGMENT=1 BETA_CLIP=-30:0.0 HIER=none LAM=na ETA_RATIO=na COS_TOTAL=default COS_WARMUP=default SCHED=none SCHED_TOTAL=none SCHED_WARMUP=none SCHED_MIN=none PROBE=5 PROBE_DIR=cluster/Account1/metaopt/runs/ns5/probe_lay_m2p4_s1
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account1/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 20.97 %, Test Accuracy: 29.87 %
Epoch 1, Train Accuracy: 35.31 %, Test Accuracy: 40.09 %
Epoch 2, Train Accuracy: 42.28 %, Test Accuracy: 45.43 %
Epoch 3, Train Accuracy: 47.06 %, Test Accuracy: 50.14 %
Epoch 4, Train Accuracy: 51.64 %, Test Accuracy: 54.90 %
Epoch 5, Train Accuracy: 55.93 %, Test Accuracy: 58.18 %
Epoch 6, Train Accuracy: 59.35 %, Test Accuracy: 60.96 %
Epoch 7, Train Accuracy: 63.74 %, Test Accuracy: 65.63 %
Epoch 8, Train Accuracy: 67.03 %, Test Accuracy: 69.19 %
Epoch 9, Train Accuracy: 70.12 %, Test Accuracy: 68.51 %
Epoch 10, Train Accuracy: 73.60 %, Test Accuracy: 73.47 %
Epoch 11, Train Accuracy: 76.45 %, Test Accuracy: 76.52 %
Epoch 12, Train Accuracy: 78.87 %, Test Accuracy: 77.63 %
Epoch 13, Train Accuracy: 80.44 %, Test Accuracy: 77.87 %
Epoch 14, Train Accuracy: 81.33 %, Test Accuracy: 81.09 %
Epoch 15, Train Accuracy: 83.33 %, Test Accuracy: 81.92 %
Epoch 16, Train Accuracy: 84.85 %, Test Accuracy: 82.28 %
Epoch 17, Train Accuracy: 85.59 %, Test Accuracy: 82.76 %
Epoch 18, Train Accuracy: 86.36 %, Test Accuracy: 82.34 %
Epoch 19, Train Accuracy: 87.49 %, Test Accuracy: 83.67 %
6  minutes
RUN_DONE
