NODE=[HOST_e223b82d71] | JOB=ns5-node-m2p4-s0 4702464
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR10 --NN-name ResNet18 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 2e-4 --alpha0 1e-3 --num-epochs 20 --stepsize-groups nodewise --seed 0 --save-directory cluster/Account1/metaopt/runs/ns5 --run-name ns5-node-m2p4-s0
ENV: AUGMENT=1 BETA_CLIP=-30:0.0 HIER=none LAM=na ETA_RATIO=na COS_TOTAL=default COS_WARMUP=default SCHED=none SCHED_TOTAL=none SCHED_WARMUP=none SCHED_MIN=none PROBE=5 PROBE_DIR=cluster/Account1/metaopt/runs/ns5/probe_node_m2p4_s0
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account1/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 23.13 %, Test Accuracy: 30.04 %
Epoch 1, Train Accuracy: 34.21 %, Test Accuracy: 38.25 %
Epoch 2, Train Accuracy: 39.88 %, Test Accuracy: 43.17 %
Epoch 3, Train Accuracy: 44.65 %, Test Accuracy: 47.58 %
Epoch 4, Train Accuracy: 49.50 %, Test Accuracy: 52.89 %
Epoch 5, Train Accuracy: 53.72 %, Test Accuracy: 56.24 %
Epoch 6, Train Accuracy: 57.52 %, Test Accuracy: 59.34 %
Epoch 7, Train Accuracy: 61.57 %, Test Accuracy: 63.17 %
Epoch 8, Train Accuracy: 65.12 %, Test Accuracy: 67.12 %
Epoch 9, Train Accuracy: 67.82 %, Test Accuracy: 68.40 %
Epoch 10, Train Accuracy: 70.98 %, Test Accuracy: 71.03 %
Epoch 11, Train Accuracy: 73.49 %, Test Accuracy: 74.39 %
Epoch 12, Train Accuracy: 75.64 %, Test Accuracy: 75.11 %
Epoch 13, Train Accuracy: 77.98 %, Test Accuracy: 77.26 %
Epoch 14, Train Accuracy: 78.91 %, Test Accuracy: 79.01 %
Epoch 15, Train Accuracy: 80.62 %, Test Accuracy: 79.48 %
Epoch 16, Train Accuracy: 81.58 %, Test Accuracy: 80.90 %
Epoch 17, Train Accuracy: 82.93 %, Test Accuracy: 81.48 %
Epoch 18, Train Accuracy: 83.85 %, Test Accuracy: 80.77 %
Epoch 19, Train Accuracy: 84.46 %, Test Accuracy: 83.11 %
9  minutes
RUN_DONE
