NODE=[HOST_bcfd0fc19c] | JOB=ns5-node-m5p4-s1 4702471
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR10 --NN-name ResNet18 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 5e-4 --alpha0 1e-3 --num-epochs 20 --stepsize-groups nodewise --seed 1 --save-directory cluster/Account1/metaopt/runs/ns5 --run-name ns5-node-m5p4-s1
ENV: AUGMENT=1 BETA_CLIP=-30:0.0 HIER=none LAM=na ETA_RATIO=na COS_TOTAL=default COS_WARMUP=default SCHED=none SCHED_TOTAL=none SCHED_WARMUP=none SCHED_MIN=none PROBE=5 PROBE_DIR=cluster/Account1/metaopt/runs/ns5/probe_node_m5p4_s1
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account1/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 21.12 %, Test Accuracy: 30.39 %
Epoch 1, Train Accuracy: 35.92 %, Test Accuracy: 41.50 %
Epoch 2, Train Accuracy: 43.80 %, Test Accuracy: 47.51 %
Epoch 3, Train Accuracy: 49.22 %, Test Accuracy: 52.49 %
Epoch 4, Train Accuracy: 54.50 %, Test Accuracy: 57.33 %
Epoch 5, Train Accuracy: 59.48 %, Test Accuracy: 61.53 %
Epoch 6, Train Accuracy: 63.59 %, Test Accuracy: 64.61 %
Epoch 7, Train Accuracy: 68.02 %, Test Accuracy: 69.41 %
Epoch 8, Train Accuracy: 71.83 %, Test Accuracy: 72.88 %
Epoch 9, Train Accuracy: 74.55 %, Test Accuracy: 74.45 %
Epoch 10, Train Accuracy: 77.16 %, Test Accuracy: 77.52 %
Epoch 11, Train Accuracy: 79.22 %, Test Accuracy: 78.47 %
Epoch 12, Train Accuracy: 80.77 %, Test Accuracy: 79.27 %
Epoch 13, Train Accuracy: 81.97 %, Test Accuracy: 80.43 %
Epoch 14, Train Accuracy: 83.03 %, Test Accuracy: 81.88 %
Epoch 15, Train Accuracy: 84.74 %, Test Accuracy: 83.80 %
Epoch 16, Train Accuracy: 85.95 %, Test Accuracy: 82.72 %
Epoch 17, Train Accuracy: 86.57 %, Test Accuracy: 82.80 %
Epoch 18, Train Accuracy: 87.05 %, Test Accuracy: 84.96 %
Epoch 19, Train Accuracy: 88.13 %, Test Accuracy: 86.30 %
8  minutes
RUN_DONE
