NODE=[HOST_7b4dd78541] | JOB=p2-scal 4681047 | AUGMENT=1
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --meta-stepsize 1e-3 --alpha0 1e-6 --gamma 1 --NN-name ResNet18 --dataset CIFAR10 --num-epochs 20 --batch-size 100 --max-time 999:00:00 --stepsize-groups scalar --seed 0 --save-directory cluster/Account2/metaopt/runs/bdrift --run-name p2-scal
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=none LAM=na ETA_RATIO=na
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account2/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 12.79 %, Test Accuracy: 12.87 %
Epoch 1, Train Accuracy: 12.75 %, Test Accuracy: 12.93 %
Epoch 2, Train Accuracy: 13.02 %, Test Accuracy: 13.20 %
Epoch 3, Train Accuracy: 13.46 %, Test Accuracy: 13.49 %
Epoch 4, Train Accuracy: 13.67 %, Test Accuracy: 13.72 %
Epoch 5, Train Accuracy: 14.52 %, Test Accuracy: 14.48 %
Epoch 6, Train Accuracy: 15.76 %, Test Accuracy: 15.49 %
Epoch 7, Train Accuracy: 17.62 %, Test Accuracy: 17.79 %
Epoch 8, Train Accuracy: 20.21 %, Test Accuracy: 20.94 %
Epoch 9, Train Accuracy: 22.98 %, Test Accuracy: 24.02 %
Epoch 10, Train Accuracy: 26.52 %, Test Accuracy: 28.08 %
Epoch 11, Train Accuracy: 30.25 %, Test Accuracy: 32.69 %
Epoch 12, Train Accuracy: 33.91 %, Test Accuracy: 35.61 %
Epoch 13, Train Accuracy: 37.44 %, Test Accuracy: 39.70 %
Epoch 14, Train Accuracy: 41.82 %, Test Accuracy: 45.12 %
Epoch 15, Train Accuracy: 47.59 %, Test Accuracy: 51.92 %
Epoch 16, Train Accuracy: 53.94 %, Test Accuracy: 55.31 %
Epoch 17, Train Accuracy: 59.83 %, Test Accuracy: 63.49 %
Epoch 18, Train Accuracy: 66.09 %, Test Accuracy: 67.93 %
Epoch 19, Train Accuracy: 70.31 %, Test Accuracy: 70.73 %
8  minutes
RUN_DONE
