NODE=[HOST_e8d809bd94] | JOB=p4-ad-r0 4681088 | AUGMENT=1
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --meta-stepsize 1e-3 --alpha0 1e-6 --gamma 1 --NN-name ResNet18 --dataset CIFAR10 --num-epochs 20 --batch-size 100 --max-time 999:00:00 --stepsize-groups layerwise --seed 0 --save-directory cluster/Account2/metaopt/runs/bdrift4 --run-name p4-ad-r0
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=additive LAM=na ETA_RATIO=0
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account2/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 12.79 %, Test Accuracy: 12.87 %
Epoch 1, Train Accuracy: 12.75 %, Test Accuracy: 12.90 %
Epoch 2, Train Accuracy: 13.00 %, Test Accuracy: 13.12 %
Epoch 3, Train Accuracy: 13.40 %, Test Accuracy: 13.36 %
Epoch 4, Train Accuracy: 13.52 %, Test Accuracy: 13.49 %
Epoch 5, Train Accuracy: 14.03 %, Test Accuracy: 14.06 %
Epoch 6, Train Accuracy: 14.87 %, Test Accuracy: 14.61 %
Epoch 7, Train Accuracy: 16.30 %, Test Accuracy: 15.72 %
Epoch 8, Train Accuracy: 17.99 %, Test Accuracy: 17.74 %
Epoch 9, Train Accuracy: 19.58 %, Test Accuracy: 19.71 %
Epoch 10, Train Accuracy: 21.93 %, Test Accuracy: 23.16 %
Epoch 11, Train Accuracy: 24.66 %, Test Accuracy: 25.46 %
Epoch 12, Train Accuracy: 27.55 %, Test Accuracy: 28.44 %
Epoch 13, Train Accuracy: 30.08 %, Test Accuracy: 32.37 %
Epoch 14, Train Accuracy: 32.92 %, Test Accuracy: 35.34 %
Epoch 15, Train Accuracy: 35.66 %, Test Accuracy: 37.75 %
Epoch 16, Train Accuracy: 38.70 %, Test Accuracy: 41.06 %
Epoch 17, Train Accuracy: 42.03 %, Test Accuracy: 44.73 %
Epoch 18, Train Accuracy: 46.36 %, Test Accuracy: 49.40 %
Epoch 19, Train Accuracy: 51.39 %, Test Accuracy: 52.87 %
6  minutes
RUN_DONE
