NODE=[HOST_bcfd0fc19c] | JOB=p4-c100-scal 4683373
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --meta-stepsize 1e-3 --alpha0 1e-3 --gamma 1 --NN-name ResNet18_c100 --dataset CIFAR100 --num-epochs 20 --batch-size 100 --max-time 999:00:00 --stepsize-groups scalar --seed 0 --save-directory cluster/Account1/metaopt/runs/p4scale --run-name p4-c100-scal
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=none LAM=na ETA_RATIO=na COS_TOTAL=default COS_WARMUP=default
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account1/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 3.12 %, Test Accuracy: 5.88 %
Epoch 1, Train Accuracy: 7.51 %, Test Accuracy: 9.66 %
Epoch 2, Train Accuracy: 10.38 %, Test Accuracy: 11.69 %
Epoch 3, Train Accuracy: 12.69 %, Test Accuracy: 13.34 %
Epoch 4, Train Accuracy: 14.75 %, Test Accuracy: 15.99 %
Epoch 5, Train Accuracy: 16.35 %, Test Accuracy: 16.80 %
Epoch 6, Train Accuracy: 17.97 %, Test Accuracy: 18.86 %
Epoch 7, Train Accuracy: 19.15 %, Test Accuracy: 19.71 %
Epoch 8, Train Accuracy: 20.02 %, Test Accuracy: 20.74 %
Epoch 9, Train Accuracy: 20.77 %, Test Accuracy: 20.88 %
Epoch 10, Train Accuracy: 21.34 %, Test Accuracy: 21.56 %
Epoch 11, Train Accuracy: 21.71 %, Test Accuracy: 21.79 %
Epoch 12, Train Accuracy: 21.80 %, Test Accuracy: 22.24 %
Epoch 13, Train Accuracy: 21.88 %, Test Accuracy: 22.12 %
Epoch 14, Train Accuracy: 22.00 %, Test Accuracy: 22.30 %
Epoch 15, Train Accuracy: 22.12 %, Test Accuracy: 22.18 %
Epoch 16, Train Accuracy: 21.99 %, Test Accuracy: 22.36 %
Epoch 17, Train Accuracy: 22.18 %, Test Accuracy: 22.21 %
Epoch 18, Train Accuracy: 22.17 %, Test Accuracy: 22.34 %
Epoch 19, Train Accuracy: 22.20 %, Test Accuracy: 22.59 %
8  minutes
RUN_DONE
