NODE=[HOST_e8d809bd94] | JOB=p4-r34-node 4683371
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --meta-stepsize 1e-3 --alpha0 1e-3 --gamma 1 --NN-name ResNet34 --dataset CIFAR10 --num-epochs 20 --batch-size 100 --max-time 999:00:00 --stepsize-groups nodewise --seed 0 --save-directory cluster/Account1/metaopt/runs/p4scale --run-name p4-r34-node
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=shrink LAM=1.0 ETA_RATIO=na COS_TOTAL=default COS_WARMUP=default
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account1/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 20.36 %, Test Accuracy: 30.64 %
Epoch 1, Train Accuracy: 33.69 %, Test Accuracy: 38.79 %
Epoch 2, Train Accuracy: 40.59 %, Test Accuracy: 45.23 %
Epoch 3, Train Accuracy: 46.56 %, Test Accuracy: 50.65 %
Epoch 4, Train Accuracy: 52.21 %, Test Accuracy: 55.75 %
Epoch 5, Train Accuracy: 56.95 %, Test Accuracy: 60.28 %
Epoch 6, Train Accuracy: 60.77 %, Test Accuracy: 63.12 %
Epoch 7, Train Accuracy: 65.17 %, Test Accuracy: 67.20 %
Epoch 8, Train Accuracy: 68.73 %, Test Accuracy: 68.55 %
Epoch 9, Train Accuracy: 71.30 %, Test Accuracy: 70.96 %
Epoch 10, Train Accuracy: 75.28 %, Test Accuracy: 76.63 %
Epoch 11, Train Accuracy: 76.91 %, Test Accuracy: 76.40 %
Epoch 12, Train Accuracy: 79.19 %, Test Accuracy: 79.77 %
Epoch 13, Train Accuracy: 80.25 %, Test Accuracy: 79.11 %
Epoch 14, Train Accuracy: 81.69 %, Test Accuracy: 78.90 %
Epoch 15, Train Accuracy: 82.43 %, Test Accuracy: 81.32 %
Epoch 16, Train Accuracy: 82.73 %, Test Accuracy: 81.00 %
Epoch 17, Train Accuracy: 83.04 %, Test Accuracy: 81.90 %
Epoch 18, Train Accuracy: 84.46 %, Test Accuracy: 84.14 %
Epoch 19, Train Accuracy: 84.19 %, Test Accuracy: 80.84 %
14  minutes
RUN_DONE
