NODE=[HOST_2739ecbbce] | JOB=p5-c100-lay 4683386 | AUGMENT=1
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --meta-stepsize 1e-3 --alpha0 1e-6 --gamma 1 --NN-name ResNet18_c100 --dataset CIFAR100 --num-epochs 20 --batch-size 100 --max-time 999:00:00 --stepsize-groups layerwise --seed 0 --save-directory cluster/Account2/metaopt/runs/p5scale --run-name p5-c100-lay
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=shrink LAM=1.0 ETA_RATIO=na
NVIDIA GeForce RTX 2080 Ti, 11264 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account2/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 1.05 %, Test Accuracy: 1.10 %
Epoch 1, Train Accuracy: 1.08 %, Test Accuracy: 1.15 %
Epoch 2, Train Accuracy: 1.05 %, Test Accuracy: 1.14 %
Epoch 3, Train Accuracy: 1.06 %, Test Accuracy: 1.11 %
Epoch 4, Train Accuracy: 1.09 %, Test Accuracy: 1.22 %
Epoch 5, Train Accuracy: 1.07 %, Test Accuracy: 1.18 %
Epoch 6, Train Accuracy: 1.06 %, Test Accuracy: 1.35 %
Epoch 7, Train Accuracy: 1.16 %, Test Accuracy: 1.47 %
Epoch 8, Train Accuracy: 1.44 %, Test Accuracy: 1.97 %
Epoch 9, Train Accuracy: 2.13 %, Test Accuracy: 2.68 %
Epoch 10, Train Accuracy: 2.76 %, Test Accuracy: 3.49 %
Epoch 11, Train Accuracy: 3.34 %, Test Accuracy: 4.16 %
Epoch 12, Train Accuracy: 3.86 %, Test Accuracy: 4.88 %
Epoch 13, Train Accuracy: 4.50 %, Test Accuracy: 5.80 %
Epoch 14, Train Accuracy: 5.72 %, Test Accuracy: 6.89 %
Epoch 15, Train Accuracy: 7.14 %, Test Accuracy: 8.30 %
Epoch 16, Train Accuracy: 8.68 %, Test Accuracy: 9.55 %
Epoch 17, Train Accuracy: 10.03 %, Test Accuracy: 10.92 %
Epoch 18, Train Accuracy: 11.16 %, Test Accuracy: 12.80 %
Epoch 19, Train Accuracy: 12.63 %, Test Accuracy: 13.74 %
14  minutes
RUN_DONE
