NODE=[HOST_b0a55dfb8c] | JOB=p5-lay-a3-s0 4700706 | AUGMENT=1
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta fixed --dataset CIFAR10 --NN-name ResNet18 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-3 --alpha0 1e-3 --num-epochs 20 --stepsize-groups layerwise --seed 0 --save-directory cluster/Account2/metaopt/runs/p5 --run-name p5-lay-a3-s0
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=none LAM=na ETA_RATIO=na COS_TOTAL=default COS_WARMUP=default SCHED=none SCHED_TOTAL=none SCHED_WARMUP=none SCHED_MIN=none PROBE=5 PROBE_DIR=cluster/Account2/metaopt/runs/p5/probe_lay_a3_s0
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 


args_meta includes unnecessary attributes {'meta_stepsize', 'weight_decay', 'Lion_beta2', 'momentum_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account2/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 22.95 %, Test Accuracy: 29.76 %
Epoch 1, Train Accuracy: 33.80 %, Test Accuracy: 37.61 %
Epoch 2, Train Accuracy: 39.12 %, Test Accuracy: 41.96 %
Epoch 3, Train Accuracy: 42.97 %, Test Accuracy: 45.56 %
Epoch 4, Train Accuracy: 46.47 %, Test Accuracy: 49.92 %
Epoch 5, Train Accuracy: 50.23 %, Test Accuracy: 53.08 %
Epoch 6, Train Accuracy: 53.51 %, Test Accuracy: 55.65 %
Epoch 7, Train Accuracy: 56.49 %, Test Accuracy: 57.08 %
Epoch 8, Train Accuracy: 59.59 %, Test Accuracy: 61.31 %
Epoch 9, Train Accuracy: 61.38 %, Test Accuracy: 62.16 %
Epoch 10, Train Accuracy: 63.56 %, Test Accuracy: 64.64 %
Epoch 11, Train Accuracy: 65.70 %, Test Accuracy: 65.24 %
Epoch 12, Train Accuracy: 67.07 %, Test Accuracy: 67.90 %
Epoch 13, Train Accuracy: 68.85 %, Test Accuracy: 69.80 %
Epoch 14, Train Accuracy: 70.55 %, Test Accuracy: 71.15 %
Epoch 15, Train Accuracy: 72.04 %, Test Accuracy: 70.02 %
Epoch 16, Train Accuracy: 73.56 %, Test Accuracy: 73.28 %
Epoch 17, Train Accuracy: 75.38 %, Test Accuracy: 74.82 %
Epoch 18, Train Accuracy: 76.40 %, Test Accuracy: 76.05 %
Epoch 19, Train Accuracy: 77.50 %, Test Accuracy: 75.29 %
6  minutes
RUN_DONE
