NODE=[HOST_2739ecbbce] | JOB=p5-r10-scal 4683377 | AUGMENT=1
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --meta-stepsize 1e-3 --alpha0 1e-6 --gamma 1 --NN-name ResNet10 --dataset CIFAR10 --num-epochs 20 --batch-size 100 --max-time 999:00:00 --stepsize-groups scalar --seed 0 --save-directory cluster/Account2/metaopt/runs/p5scale --run-name p5-r10-scal
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=none LAM=na ETA_RATIO=na
NVIDIA GeForce RTX 2080 Ti, 11264 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account2/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 9.69 %, Test Accuracy: 9.94 %
Epoch 1, Train Accuracy: 9.85 %, Test Accuracy: 9.99 %
Epoch 2, Train Accuracy: 10.10 %, Test Accuracy: 10.18 %
Epoch 3, Train Accuracy: 10.27 %, Test Accuracy: 10.39 %
Epoch 4, Train Accuracy: 10.77 %, Test Accuracy: 10.83 %
Epoch 5, Train Accuracy: 11.34 %, Test Accuracy: 12.01 %
Epoch 6, Train Accuracy: 12.55 %, Test Accuracy: 13.69 %
Epoch 7, Train Accuracy: 14.79 %, Test Accuracy: 17.16 %
Epoch 8, Train Accuracy: 18.62 %, Test Accuracy: 21.33 %
Epoch 9, Train Accuracy: 22.81 %, Test Accuracy: 23.52 %
Epoch 10, Train Accuracy: 25.21 %, Test Accuracy: 25.56 %
Epoch 11, Train Accuracy: 27.43 %, Test Accuracy: 28.01 %
Epoch 12, Train Accuracy: 30.42 %, Test Accuracy: 30.62 %
Epoch 13, Train Accuracy: 33.22 %, Test Accuracy: 35.64 %
Epoch 14, Train Accuracy: 36.93 %, Test Accuracy: 39.02 %
Epoch 15, Train Accuracy: 40.90 %, Test Accuracy: 42.41 %
Epoch 16, Train Accuracy: 45.18 %, Test Accuracy: 47.36 %
Epoch 17, Train Accuracy: 49.87 %, Test Accuracy: 52.97 %
Epoch 18, Train Accuracy: 55.36 %, Test Accuracy: 57.35 %
Epoch 19, Train Accuracy: 60.33 %, Test Accuracy: 60.98 %
14  minutes
RUN_DONE
