NODE=[HOST_8d6ba568b8] | JOB=p5-r34-w 4683384 | AUGMENT=1
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --meta-stepsize 1e-3 --alpha0 1e-6 --gamma 1 --NN-name ResNet34 --dataset CIFAR10 --num-epochs 20 --batch-size 100 --max-time 999:00:00 --stepsize-groups weightwise --seed 0 --save-directory cluster/Account2/metaopt/runs/p5scale --run-name p5-r34-w
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=shrink LAM=1.0 ETA_RATIO=na
NVIDIA GeForce RTX 2080 Ti, 11264 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account2/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 10.00 %, Test Accuracy: 9.99 %
Epoch 1, Train Accuracy: 10.00 %, Test Accuracy: 9.99 %
Epoch 2, Train Accuracy: 10.00 %, Test Accuracy: 9.99 %
Epoch 3, Train Accuracy: 9.99 %, Test Accuracy: 9.96 %
Epoch 4, Train Accuracy: 10.01 %, Test Accuracy: 9.92 %
Epoch 5, Train Accuracy: 9.96 %, Test Accuracy: 9.93 %
Epoch 6, Train Accuracy: 9.97 %, Test Accuracy: 9.92 %
Epoch 7, Train Accuracy: 9.98 %, Test Accuracy: 9.95 %
Epoch 8, Train Accuracy: 10.02 %, Test Accuracy: 9.99 %
Epoch 9, Train Accuracy: 10.08 %, Test Accuracy: 9.99 %
Epoch 10, Train Accuracy: 10.10 %, Test Accuracy: 10.09 %
Epoch 11, Train Accuracy: 10.33 %, Test Accuracy: 10.13 %
Epoch 12, Train Accuracy: 10.44 %, Test Accuracy: 10.42 %
Epoch 13, Train Accuracy: 10.77 %, Test Accuracy: 10.95 %
Epoch 14, Train Accuracy: 11.01 %, Test Accuracy: 11.64 %
Epoch 15, Train Accuracy: 11.63 %, Test Accuracy: 12.12 %
Epoch 16, Train Accuracy: 12.42 %, Test Accuracy: 12.39 %
Epoch 17, Train Accuracy: 12.86 %, Test Accuracy: 13.04 %
Epoch 18, Train Accuracy: 13.32 %, Test Accuracy: 13.64 %
Epoch 19, Train Accuracy: 13.77 %, Test Accuracy: 14.20 %
26  minutes
RUN_DONE
