NODE=[HOST_e8d809bd94] | JOB=p6-r003-s1 4683392 | AUGMENT=1
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR10 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-3 --alpha0 1e-3 --num-epochs 100 --NN-name ResNet18 --stepsize-groups layerwise --seed 1 --save-directory cluster/Account2/metaopt/runs/p6mech --run-name p6-r003-s1
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=additive LAM=na ETA_RATIO=0.03
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account2/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 21.45 %, Test Accuracy: 30.62 %
Epoch 1, Train Accuracy: 36.97 %, Test Accuracy: 42.20 %
Epoch 2, Train Accuracy: 44.97 %, Test Accuracy: 47.08 %
Epoch 3, Train Accuracy: 51.31 %, Test Accuracy: 55.14 %
Epoch 4, Train Accuracy: 56.86 %, Test Accuracy: 58.86 %
Epoch 5, Train Accuracy: 62.04 %, Test Accuracy: 64.19 %
Epoch 6, Train Accuracy: 66.34 %, Test Accuracy: 66.49 %
Epoch 7, Train Accuracy: 71.18 %, Test Accuracy: 71.09 %
Epoch 8, Train Accuracy: 73.99 %, Test Accuracy: 74.82 %
Epoch 9, Train Accuracy: 76.34 %, Test Accuracy: 71.29 %
Epoch 10, Train Accuracy: 77.71 %, Test Accuracy: 78.32 %
Epoch 11, Train Accuracy: 79.28 %, Test Accuracy: 78.76 %
Epoch 12, Train Accuracy: 80.25 %, Test Accuracy: 76.09 %
Epoch 13, Train Accuracy: 80.58 %, Test Accuracy: 78.07 %
Epoch 14, Train Accuracy: 82.22 %, Test Accuracy: 81.15 %
Epoch 15, Train Accuracy: 83.69 %, Test Accuracy: 83.19 %
Epoch 16, Train Accuracy: 85.40 %, Test Accuracy: 85.43 %
Epoch 17, Train Accuracy: 87.40 %, Test Accuracy: 85.82 %
Epoch 18, Train Accuracy: 88.49 %, Test Accuracy: 84.26 %
Epoch 19, Train Accuracy: 90.19 %, Test Accuracy: 88.13 %
Epoch 20, Train Accuracy: 91.00 %, Test Accuracy: 89.30 %
Epoch 21, Train Accuracy: 91.73 %, Test Accuracy: 89.98 %
Epoch 22, Train Accuracy: 92.25 %, Test Accuracy: 90.70 %
Epoch 23, Train Accuracy: 92.83 %, Test Accuracy: 90.83 %
Epoch 24, Train Accuracy: 93.23 %, Test Accuracy: 91.25 %
Epoch 25, Train Accuracy: 93.55 %, Test Accuracy: 91.40 %
Epoch 26, Train Accuracy: 93.86 %, Test Accuracy: 91.30 %
Epoch 27, Train Accuracy: 94.05 %, Test Accuracy: 91.34 %
Epoch 28, Train Accuracy: 94.25 %, Test Accuracy: 91.56 %
Epoch 29, Train Accuracy: 94.55 %, Test Accuracy: 91.55 %
Epoch 30, Train Accuracy: 94.76 %, Test Accuracy: 91.66 %
Epoch 31, Train Accuracy: 94.72 %, Test Accuracy: 91.88 %
Epoch 32, Train Accuracy: 95.04 %, Test Accuracy: 91.93 %
Epoch 33, Train Accuracy: 95.29 %, Test Accuracy: 91.56 %
Epoch 34, Train Accuracy: 95.22 %, Test Accuracy: 92.02 %
Epoch 35, Train Accuracy: 95.36 %, Test Accuracy: 91.47 %
Epoch 36, Train Accuracy: 95.51 %, Test Accuracy: 91.86 %
Epoch 37, Train Accuracy: 95.58 %, Test Accuracy: 91.80 %
Epoch 38, Train Accuracy: 95.63 %, Test Accuracy: 92.17 %
Epoch 39, Train Accuracy: 95.90 %, Test Accuracy: 92.06 %
Epoch 40, Train Accuracy: 95.98 %, Test Accuracy: 91.96 %
Epoch 41, Train Accuracy: 96.11 %, Test Accuracy: 91.74 %
Epoch 42, Train Accuracy: 96.05 %, Test Accuracy: 92.06 %
Epoch 43, Train Accuracy: 96.16 %, Test Accuracy: 92.24 %
Epoch 44, Train Accuracy: 96.28 %, Test Accuracy: 91.76 %
Epoch 45, Train Accuracy: 96.26 %, Test Accuracy: 92.29 %
Epoch 46, Train Accuracy: 96.49 %, Test Accuracy: 92.18 %
Epoch 47, Train Accuracy: 96.39 %, Test Accuracy: 91.87 %
Epoch 48, Train Accuracy: 96.54 %, Test Accuracy: 92.21 %
Epoch 49, Train Accuracy: 96.59 %, Test Accuracy: 92.31 %
Epoch 50, Train Accuracy: 96.76 %, Test Accuracy: 92.34 %
Epoch 51, Train Accuracy: 96.69 %, Test Accuracy: 92.19 %
Epoch 52, Train Accuracy: 96.82 %, Test Accuracy: 92.11 %
Epoch 53, Train Accuracy: 96.87 %, Test Accuracy: 92.25 %
Epoch 54, Train Accuracy: 96.86 %, Test Accuracy: 92.21 %
Epoch 55, Train Accuracy: 97.05 %, Test Accuracy: 92.28 %
Epoch 56, Train Accuracy: 97.05 %, Test Accuracy: 91.48 %
Epoch 57, Train Accuracy: 97.01 %, Test Accuracy: 92.00 %
Epoch 58, Train Accuracy: 96.95 %, Test Accuracy: 92.15 %
Epoch 59, Train Accuracy: 97.23 %, Test Accuracy: 92.08 %
Epoch 60, Train Accuracy: 97.13 %, Test Accuracy: 92.44 %
Epoch 61, Train Accuracy: 97.25 %, Test Accuracy: 92.43 %
Epoch 62, Train Accuracy: 97.30 %, Test Accuracy: 92.41 %
Epoch 63, Train Accuracy: 97.21 %, Test Accuracy: 91.85 %
Epoch 64, Train Accuracy: 97.35 %, Test Accuracy: 92.26 %
Epoch 65, Train Accuracy: 97.35 %, Test Accuracy: 92.31 %
Epoch 66, Train Accuracy: 97.57 %, Test Accuracy: 92.46 %
Epoch 67, Train Accuracy: 97.34 %, Test Accuracy: 92.20 %
Epoch 68, Train Accuracy: 97.44 %, Test Accuracy: 92.16 %
Epoch 69, Train Accuracy: 97.57 %, Test Accuracy: 92.13 %
Epoch 70, Train Accuracy: 97.55 %, Test Accuracy: 92.15 %
Epoch 71, Train Accuracy: 97.60 %, Test Accuracy: 91.58 %
Epoch 72, Train Accuracy: 97.66 %, Test Accuracy: 92.48 %
Epoch 73, Train Accuracy: 97.67 %, Test Accuracy: 91.88 %
Epoch 74, Train Accuracy: 97.68 %, Test Accuracy: 92.07 %
Epoch 75, Train Accuracy: 97.79 %, Test Accuracy: 92.34 %
Epoch 76, Train Accuracy: 97.82 %, Test Accuracy: 91.85 %
Epoch 77, Train Accuracy: 97.79 %, Test Accuracy: 92.03 %
Epoch 78, Train Accuracy: 97.86 %, Test Accuracy: 92.27 %
Epoch 79, Train Accuracy: 97.77 %, Test Accuracy: 91.98 %
Epoch 80, Train Accuracy: 97.84 %, Test Accuracy: 92.07 %
Epoch 81, Train Accuracy: 97.91 %, Test Accuracy: 92.34 %
