NODE=[HOST_2739ecbbce] | JOB=p6-r007-s1 4683398 | AUGMENT=1
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR10 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-3 --alpha0 1e-3 --num-epochs 100 --NN-name ResNet18 --stepsize-groups layerwise --seed 1 --save-directory cluster/Account2/metaopt/runs/p6mech --run-name p6-r007-s1
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=additive LAM=na ETA_RATIO=0.07
NVIDIA GeForce RTX 2080 Ti, 11264 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account2/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 21.45 %, Test Accuracy: 30.64 %
Epoch 1, Train Accuracy: 36.76 %, Test Accuracy: 42.37 %
Epoch 2, Train Accuracy: 44.95 %, Test Accuracy: 47.60 %
Epoch 3, Train Accuracy: 51.28 %, Test Accuracy: 54.68 %
Epoch 4, Train Accuracy: 56.99 %, Test Accuracy: 59.79 %
Epoch 5, Train Accuracy: 62.68 %, Test Accuracy: 65.52 %
Epoch 6, Train Accuracy: 66.95 %, Test Accuracy: 68.39 %
Epoch 7, Train Accuracy: 71.47 %, Test Accuracy: 72.54 %
Epoch 8, Train Accuracy: 74.69 %, Test Accuracy: 74.23 %
Epoch 9, Train Accuracy: 76.94 %, Test Accuracy: 77.47 %
Epoch 10, Train Accuracy: 78.49 %, Test Accuracy: 78.08 %
Epoch 11, Train Accuracy: 79.66 %, Test Accuracy: 79.33 %
Epoch 12, Train Accuracy: 81.39 %, Test Accuracy: 79.92 %
Epoch 13, Train Accuracy: 82.22 %, Test Accuracy: 80.90 %
Epoch 14, Train Accuracy: 83.60 %, Test Accuracy: 80.96 %
Epoch 15, Train Accuracy: 85.07 %, Test Accuracy: 83.84 %
Epoch 16, Train Accuracy: 86.13 %, Test Accuracy: 85.40 %
Epoch 17, Train Accuracy: 87.68 %, Test Accuracy: 85.93 %
Epoch 18, Train Accuracy: 88.74 %, Test Accuracy: 86.55 %
Epoch 19, Train Accuracy: 90.79 %, Test Accuracy: 88.19 %
Epoch 20, Train Accuracy: 92.05 %, Test Accuracy: 89.72 %
Epoch 21, Train Accuracy: 92.98 %, Test Accuracy: 90.58 %
Epoch 22, Train Accuracy: 93.57 %, Test Accuracy: 91.24 %
Epoch 23, Train Accuracy: 94.17 %, Test Accuracy: 91.38 %
Epoch 24, Train Accuracy: 94.44 %, Test Accuracy: 91.23 %
Epoch 25, Train Accuracy: 94.89 %, Test Accuracy: 91.75 %
Epoch 26, Train Accuracy: 95.16 %, Test Accuracy: 91.39 %
Epoch 27, Train Accuracy: 95.43 %, Test Accuracy: 91.38 %
Epoch 28, Train Accuracy: 95.52 %, Test Accuracy: 91.96 %
