NODE=[HOST_e8d809bd94] | JOB=p6f-c100-node 4683590
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR100 --NN-name ResNet18_c100 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-3 --alpha0 1e-3 --num-epochs 20 --stepsize-groups nodewise --seed 0 --save-directory cluster/Account1/metaopt/runs/p6free --run-name p6f-c100-node
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=none LAM=na ETA_RATIO=na COS_TOTAL=default COS_WARMUP=default
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account1/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 3.08 %, Test Accuracy: 5.86 %
Epoch 1, Train Accuracy: 7.35 %, Test Accuracy: 8.98 %
Epoch 2, Train Accuracy: 10.19 %, Test Accuracy: 11.78 %
Epoch 3, Train Accuracy: 13.10 %, Test Accuracy: 14.81 %
Epoch 4, Train Accuracy: 16.64 %, Test Accuracy: 19.19 %
Epoch 5, Train Accuracy: 20.40 %, Test Accuracy: 23.41 %
Epoch 6, Train Accuracy: 25.30 %, Test Accuracy: 27.72 %
Epoch 7, Train Accuracy: 29.84 %, Test Accuracy: 30.82 %
Epoch 8, Train Accuracy: 34.64 %, Test Accuracy: 36.30 %
Epoch 9, Train Accuracy: 38.35 %, Test Accuracy: 38.98 %
Epoch 10, Train Accuracy: 42.77 %, Test Accuracy: 43.35 %
Epoch 11, Train Accuracy: 46.61 %, Test Accuracy: 46.47 %
Epoch 12, Train Accuracy: 49.69 %, Test Accuracy: 49.98 %
Epoch 13, Train Accuracy: 52.39 %, Test Accuracy: 50.45 %
Epoch 14, Train Accuracy: 55.26 %, Test Accuracy: 51.36 %
Epoch 15, Train Accuracy: 58.11 %, Test Accuracy: 54.91 %
Epoch 16, Train Accuracy: 59.89 %, Test Accuracy: 55.43 %
Epoch 17, Train Accuracy: 62.15 %, Test Accuracy: 58.75 %
Epoch 18, Train Accuracy: 63.80 %, Test Accuracy: 58.99 %
Epoch 19, Train Accuracy: 65.60 %, Test Accuracy: 59.23 %
8  minutes
RUN_DONE
