NODE=[HOST_b0a55dfb8c] | JOB=p7-c100-blk6-s4 4685552
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR100 --NN-name ResNet18_c100 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-3 --alpha0 1e-3 --num-epochs 20 --stepsize-groups resnet18_blocks --seed 4 --save-directory cluster/Account1/metaopt/runs/p7free --run-name p7-c100-blk6-s4
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=none LAM=na ETA_RATIO=na COS_TOTAL=default COS_WARMUP=default
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account1/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 2.91 %, Test Accuracy: 5.15 %
Epoch 1, Train Accuracy: 7.36 %, Test Accuracy: 9.59 %
Epoch 2, Train Accuracy: 10.84 %, Test Accuracy: 12.16 %
Epoch 3, Train Accuracy: 13.24 %, Test Accuracy: 14.76 %
Epoch 4, Train Accuracy: 15.03 %, Test Accuracy: 16.11 %
Epoch 5, Train Accuracy: 16.79 %, Test Accuracy: 17.92 %
Epoch 6, Train Accuracy: 19.31 %, Test Accuracy: 19.76 %
Epoch 7, Train Accuracy: 21.72 %, Test Accuracy: 22.28 %
Epoch 8, Train Accuracy: 23.70 %, Test Accuracy: 25.25 %
Epoch 9, Train Accuracy: 26.05 %, Test Accuracy: 27.05 %
Epoch 10, Train Accuracy: 28.00 %, Test Accuracy: 27.76 %
Epoch 11, Train Accuracy: 29.41 %, Test Accuracy: 29.10 %
Epoch 12, Train Accuracy: 31.31 %, Test Accuracy: 30.73 %
Epoch 13, Train Accuracy: 32.99 %, Test Accuracy: 33.07 %
Epoch 14, Train Accuracy: 34.06 %, Test Accuracy: 34.41 %
Epoch 15, Train Accuracy: 36.42 %, Test Accuracy: 36.23 %
Epoch 16, Train Accuracy: 37.37 %, Test Accuracy: 38.65 %
Epoch 17, Train Accuracy: 38.89 %, Test Accuracy: 37.89 %
Epoch 18, Train Accuracy: 40.37 %, Test Accuracy: 39.79 %
Epoch 19, Train Accuracy: 42.19 %, Test Accuracy: 40.89 %
8  minutes
RUN_DONE
