NODE=[HOST_7b4dd78541] | JOB=p7-c100-blk6-s7 4685558
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR100 --NN-name ResNet18_c100 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-3 --alpha0 1e-3 --num-epochs 20 --stepsize-groups resnet18_blocks --seed 7 --save-directory cluster/Account1/metaopt/runs/p7free --run-name p7-c100-blk6-s7
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=none LAM=na ETA_RATIO=na COS_TOTAL=default COS_WARMUP=default
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account1/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 3.00 %, Test Accuracy: 5.84 %
Epoch 1, Train Accuracy: 7.03 %, Test Accuracy: 9.18 %
Epoch 2, Train Accuracy: 10.52 %, Test Accuracy: 12.28 %
Epoch 3, Train Accuracy: 12.84 %, Test Accuracy: 14.70 %
Epoch 4, Train Accuracy: 14.83 %, Test Accuracy: 16.14 %
Epoch 5, Train Accuracy: 16.43 %, Test Accuracy: 17.39 %
Epoch 6, Train Accuracy: 18.29 %, Test Accuracy: 18.65 %
Epoch 7, Train Accuracy: 20.30 %, Test Accuracy: 22.19 %
Epoch 8, Train Accuracy: 22.94 %, Test Accuracy: 24.14 %
Epoch 9, Train Accuracy: 25.25 %, Test Accuracy: 24.57 %
Epoch 10, Train Accuracy: 26.87 %, Test Accuracy: 27.12 %
Epoch 11, Train Accuracy: 28.87 %, Test Accuracy: 28.41 %
Epoch 12, Train Accuracy: 30.15 %, Test Accuracy: 31.62 %
Epoch 13, Train Accuracy: 31.93 %, Test Accuracy: 31.63 %
Epoch 14, Train Accuracy: 33.33 %, Test Accuracy: 34.53 %
Epoch 15, Train Accuracy: 35.61 %, Test Accuracy: 35.48 %
Epoch 16, Train Accuracy: 36.55 %, Test Accuracy: 35.85 %
Epoch 17, Train Accuracy: 38.40 %, Test Accuracy: 37.45 %
Epoch 18, Train Accuracy: 40.12 %, Test Accuracy: 39.70 %
Epoch 19, Train Accuracy: 40.94 %, Test Accuracy: 40.29 %
8  minutes
RUN_DONE
