NODE=[HOST_2f2f29d9e1] | JOB=p7-c100-blk6-s8 4685560
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR100 --NN-name ResNet18_c100 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-3 --alpha0 1e-3 --num-epochs 20 --stepsize-groups resnet18_blocks --seed 8 --save-directory cluster/Account1/metaopt/runs/p7free --run-name p7-c100-blk6-s8
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=none LAM=na ETA_RATIO=na COS_TOTAL=default COS_WARMUP=default
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account1/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 3.22 %, Test Accuracy: 5.86 %
Epoch 1, Train Accuracy: 8.16 %, Test Accuracy: 10.38 %
Epoch 2, Train Accuracy: 11.32 %, Test Accuracy: 11.90 %
Epoch 3, Train Accuracy: 13.46 %, Test Accuracy: 14.69 %
Epoch 4, Train Accuracy: 15.26 %, Test Accuracy: 16.31 %
Epoch 5, Train Accuracy: 16.58 %, Test Accuracy: 17.33 %
Epoch 6, Train Accuracy: 18.63 %, Test Accuracy: 20.38 %
Epoch 7, Train Accuracy: 20.89 %, Test Accuracy: 21.14 %
Epoch 8, Train Accuracy: 23.22 %, Test Accuracy: 25.44 %
Epoch 9, Train Accuracy: 25.53 %, Test Accuracy: 25.73 %
Epoch 10, Train Accuracy: 27.05 %, Test Accuracy: 27.50 %
Epoch 11, Train Accuracy: 28.97 %, Test Accuracy: 29.20 %
Epoch 12, Train Accuracy: 30.60 %, Test Accuracy: 29.80 %
Epoch 13, Train Accuracy: 32.05 %, Test Accuracy: 32.33 %
Epoch 14, Train Accuracy: 34.39 %, Test Accuracy: 34.58 %
Epoch 15, Train Accuracy: 35.31 %, Test Accuracy: 35.27 %
Epoch 16, Train Accuracy: 37.33 %, Test Accuracy: 36.72 %
Epoch 17, Train Accuracy: 38.84 %, Test Accuracy: 37.51 %
Epoch 18, Train Accuracy: 40.38 %, Test Accuracy: 39.52 %
Epoch 19, Train Accuracy: 41.62 %, Test Accuracy: 40.66 %
8  minutes
RUN_DONE
