NODE=[HOST_f0845cc956] | JOB=p7-c100-lay-s7 4685685
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR100 --NN-name ResNet18_c100 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-3 --alpha0 1e-3 --num-epochs 20 --stepsize-groups layerwise --seed 7 --save-directory cluster/Account1/metaopt/runs/p7free --run-name p7-c100-lay-s7
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=none LAM=na ETA_RATIO=na COS_TOTAL=default COS_WARMUP=default
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account1/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 2.97 %, Test Accuracy: 5.69 %
Epoch 1, Train Accuracy: 7.10 %, Test Accuracy: 9.05 %
Epoch 2, Train Accuracy: 10.95 %, Test Accuracy: 12.85 %
Epoch 3, Train Accuracy: 14.09 %, Test Accuracy: 16.88 %
Epoch 4, Train Accuracy: 18.11 %, Test Accuracy: 20.59 %
Epoch 5, Train Accuracy: 22.54 %, Test Accuracy: 24.92 %
Epoch 6, Train Accuracy: 27.73 %, Test Accuracy: 30.24 %
Epoch 7, Train Accuracy: 32.42 %, Test Accuracy: 35.07 %
Epoch 8, Train Accuracy: 37.30 %, Test Accuracy: 37.93 %
Epoch 9, Train Accuracy: 40.74 %, Test Accuracy: 41.55 %
Epoch 10, Train Accuracy: 44.05 %, Test Accuracy: 44.81 %
Epoch 11, Train Accuracy: 46.56 %, Test Accuracy: 45.81 %
Epoch 12, Train Accuracy: 49.03 %, Test Accuracy: 49.43 %
Epoch 13, Train Accuracy: 51.84 %, Test Accuracy: 49.72 %
Epoch 14, Train Accuracy: 54.13 %, Test Accuracy: 52.47 %
Epoch 15, Train Accuracy: 56.36 %, Test Accuracy: 53.54 %
Epoch 16, Train Accuracy: 58.76 %, Test Accuracy: 54.47 %
Epoch 17, Train Accuracy: 60.66 %, Test Accuracy: 56.74 %
Epoch 18, Train Accuracy: 62.46 %, Test Accuracy: 56.96 %
Epoch 19, Train Accuracy: 64.31 %, Test Accuracy: 59.82 %
6  minutes
RUN_DONE
