NODE=[HOST_7b4dd78541] | JOB=p7-c100-node-s9 4685690
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR100 --NN-name ResNet18_c100 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-3 --alpha0 1e-3 --num-epochs 20 --stepsize-groups nodewise --seed 9 --save-directory cluster/Account1/metaopt/runs/p7free --run-name p7-c100-node-s9
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=none LAM=na ETA_RATIO=na COS_TOTAL=default COS_WARMUP=default
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account1/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 3.45 %, Test Accuracy: 6.05 %
Epoch 1, Train Accuracy: 7.03 %, Test Accuracy: 9.40 %
Epoch 2, Train Accuracy: 10.55 %, Test Accuracy: 12.34 %
Epoch 3, Train Accuracy: 13.50 %, Test Accuracy: 15.28 %
Epoch 4, Train Accuracy: 16.97 %, Test Accuracy: 19.58 %
Epoch 5, Train Accuracy: 20.93 %, Test Accuracy: 22.80 %
Epoch 6, Train Accuracy: 25.55 %, Test Accuracy: 27.53 %
Epoch 7, Train Accuracy: 30.35 %, Test Accuracy: 32.20 %
Epoch 8, Train Accuracy: 34.45 %, Test Accuracy: 36.56 %
Epoch 9, Train Accuracy: 39.01 %, Test Accuracy: 39.38 %
Epoch 10, Train Accuracy: 42.85 %, Test Accuracy: 43.06 %
Epoch 11, Train Accuracy: 46.80 %, Test Accuracy: 45.84 %
Epoch 12, Train Accuracy: 49.98 %, Test Accuracy: 48.86 %
Epoch 13, Train Accuracy: 52.79 %, Test Accuracy: 51.23 %
Epoch 14, Train Accuracy: 55.53 %, Test Accuracy: 53.48 %
Epoch 15, Train Accuracy: 57.61 %, Test Accuracy: 54.79 %
Epoch 16, Train Accuracy: 59.73 %, Test Accuracy: 55.03 %
Epoch 17, Train Accuracy: 61.92 %, Test Accuracy: 58.01 %
Epoch 18, Train Accuracy: 63.96 %, Test Accuracy: 59.79 %
Epoch 19, Train Accuracy: 65.76 %, Test Accuracy: 59.51 %
8  minutes
RUN_DONE
