NODE=[HOST_f0845cc956] | JOB=p7-c100-w-s2 4685692
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR100 --NN-name ResNet18_c100 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-3 --alpha0 1e-3 --num-epochs 20 --stepsize-groups weightwise --seed 2 --save-directory cluster/Account1/metaopt/runs/p7free --run-name p7-c100-w-s2
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=none LAM=na ETA_RATIO=na COS_TOTAL=default COS_WARMUP=default
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account1/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 2.97 %, Test Accuracy: 6.18 %
Epoch 1, Train Accuracy: 7.34 %, Test Accuracy: 9.48 %
Epoch 2, Train Accuracy: 10.66 %, Test Accuracy: 12.12 %
Epoch 3, Train Accuracy: 13.26 %, Test Accuracy: 14.09 %
Epoch 4, Train Accuracy: 15.74 %, Test Accuracy: 16.99 %
Epoch 5, Train Accuracy: 18.23 %, Test Accuracy: 19.87 %
Epoch 6, Train Accuracy: 20.68 %, Test Accuracy: 21.79 %
Epoch 7, Train Accuracy: 23.28 %, Test Accuracy: 24.40 %
Epoch 8, Train Accuracy: 25.17 %, Test Accuracy: 25.53 %
Epoch 9, Train Accuracy: 26.92 %, Test Accuracy: 28.57 %
Epoch 10, Train Accuracy: 29.20 %, Test Accuracy: 29.80 %
Epoch 11, Train Accuracy: 31.02 %, Test Accuracy: 31.89 %
Epoch 12, Train Accuracy: 33.01 %, Test Accuracy: 32.79 %
Epoch 13, Train Accuracy: 34.56 %, Test Accuracy: 35.82 %
Epoch 14, Train Accuracy: 36.20 %, Test Accuracy: 36.24 %
Epoch 15, Train Accuracy: 38.04 %, Test Accuracy: 37.72 %
Epoch 16, Train Accuracy: 39.29 %, Test Accuracy: 39.08 %
Epoch 17, Train Accuracy: 40.73 %, Test Accuracy: 40.59 %
Epoch 18, Train Accuracy: 42.06 %, Test Accuracy: 40.87 %
Epoch 19, Train Accuracy: 43.59 %, Test Accuracy: 42.83 %
8  minutes
RUN_DONE
