NODE=[HOST_f0845cc956] | JOB=p7-r18-lay-s9 4685672
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR10 --NN-name ResNet18 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-3 --alpha0 1e-3 --num-epochs 20 --stepsize-groups layerwise --seed 9 --save-directory cluster/Account1/metaopt/runs/p7free --run-name p7-r18-lay-s9
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=none LAM=na ETA_RATIO=na COS_TOTAL=default COS_WARMUP=default
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account1/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 23.31 %, Test Accuracy: 33.32 %
Epoch 1, Train Accuracy: 38.03 %, Test Accuracy: 44.72 %
Epoch 2, Train Accuracy: 46.60 %, Test Accuracy: 49.28 %
Epoch 3, Train Accuracy: 54.39 %, Test Accuracy: 56.37 %
Epoch 4, Train Accuracy: 61.83 %, Test Accuracy: 65.90 %
Epoch 5, Train Accuracy: 67.81 %, Test Accuracy: 70.32 %
Epoch 6, Train Accuracy: 73.17 %, Test Accuracy: 75.62 %
Epoch 7, Train Accuracy: 77.28 %, Test Accuracy: 75.69 %
Epoch 8, Train Accuracy: 79.50 %, Test Accuracy: 80.25 %
Epoch 9, Train Accuracy: 82.07 %, Test Accuracy: 81.06 %
Epoch 10, Train Accuracy: 83.72 %, Test Accuracy: 81.68 %
Epoch 11, Train Accuracy: 84.63 %, Test Accuracy: 83.85 %
Epoch 12, Train Accuracy: 86.12 %, Test Accuracy: 83.91 %
Epoch 13, Train Accuracy: 87.31 %, Test Accuracy: 85.49 %
Epoch 14, Train Accuracy: 88.17 %, Test Accuracy: 85.17 %
Epoch 15, Train Accuracy: 88.91 %, Test Accuracy: 86.56 %
Epoch 16, Train Accuracy: 90.02 %, Test Accuracy: 86.55 %
Epoch 17, Train Accuracy: 90.53 %, Test Accuracy: 86.43 %
Epoch 18, Train Accuracy: 90.87 %, Test Accuracy: 86.78 %
Epoch 19, Train Accuracy: 91.50 %, Test Accuracy: 87.41 %
6  minutes
RUN_DONE
