NODE=[HOST_b0a55dfb8c] | JOB=p7-r18-w-s8 4685671
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR10 --NN-name ResNet18 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-3 --alpha0 1e-3 --num-epochs 20 --stepsize-groups weightwise --seed 8 --save-directory cluster/Account1/metaopt/runs/p7free --run-name p7-r18-w-s8
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=none LAM=na ETA_RATIO=na COS_TOTAL=default COS_WARMUP=default
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account1/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 22.69 %, Test Accuracy: 32.80 %
Epoch 1, Train Accuracy: 36.86 %, Test Accuracy: 42.90 %
Epoch 2, Train Accuracy: 44.89 %, Test Accuracy: 49.27 %
Epoch 3, Train Accuracy: 51.61 %, Test Accuracy: 52.76 %
Epoch 4, Train Accuracy: 56.52 %, Test Accuracy: 59.46 %
Epoch 5, Train Accuracy: 60.82 %, Test Accuracy: 63.25 %
Epoch 6, Train Accuracy: 64.47 %, Test Accuracy: 65.10 %
Epoch 7, Train Accuracy: 67.10 %, Test Accuracy: 68.17 %
Epoch 8, Train Accuracy: 69.88 %, Test Accuracy: 70.65 %
Epoch 9, Train Accuracy: 71.80 %, Test Accuracy: 72.56 %
Epoch 10, Train Accuracy: 74.25 %, Test Accuracy: 73.88 %
Epoch 11, Train Accuracy: 76.13 %, Test Accuracy: 75.44 %
Epoch 12, Train Accuracy: 77.93 %, Test Accuracy: 77.86 %
Epoch 13, Train Accuracy: 79.40 %, Test Accuracy: 78.83 %
Epoch 14, Train Accuracy: 80.64 %, Test Accuracy: 80.01 %
Epoch 15, Train Accuracy: 82.02 %, Test Accuracy: 80.85 %
Epoch 16, Train Accuracy: 82.97 %, Test Accuracy: 80.89 %
Epoch 17, Train Accuracy: 83.69 %, Test Accuracy: 81.89 %
Epoch 18, Train Accuracy: 84.84 %, Test Accuracy: 82.73 %
Epoch 19, Train Accuracy: 85.42 %, Test Accuracy: 83.40 %
8  minutes
RUN_DONE
