NODE=[HOST_bcfd0fc19c] | JOB=p7-r34-lay-s1 4685333
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR10 --NN-name ResNet34 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-3 --alpha0 1e-3 --num-epochs 20 --stepsize-groups layerwise --seed 1 --save-directory cluster/Account1/metaopt/runs/p7free --run-name p7-r34-lay-s1
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=none LAM=na ETA_RATIO=na COS_TOTAL=default COS_WARMUP=default
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account1/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 21.15 %, Test Accuracy: 31.20 %
Epoch 1, Train Accuracy: 36.56 %, Test Accuracy: 43.16 %
Epoch 2, Train Accuracy: 46.29 %, Test Accuracy: 50.94 %
Epoch 3, Train Accuracy: 53.91 %, Test Accuracy: 57.30 %
Epoch 4, Train Accuracy: 60.72 %, Test Accuracy: 64.05 %
Epoch 5, Train Accuracy: 67.33 %, Test Accuracy: 70.05 %
Epoch 6, Train Accuracy: 71.91 %, Test Accuracy: 72.26 %
Epoch 7, Train Accuracy: 75.78 %, Test Accuracy: 76.79 %
Epoch 8, Train Accuracy: 79.05 %, Test Accuracy: 79.45 %
Epoch 9, Train Accuracy: 81.95 %, Test Accuracy: 80.32 %
Epoch 10, Train Accuracy: 83.45 %, Test Accuracy: 82.99 %
Epoch 11, Train Accuracy: 85.04 %, Test Accuracy: 82.87 %
Epoch 12, Train Accuracy: 86.31 %, Test Accuracy: 84.08 %
Epoch 13, Train Accuracy: 87.73 %, Test Accuracy: 85.46 %
Epoch 14, Train Accuracy: 88.27 %, Test Accuracy: 85.26 %
Epoch 15, Train Accuracy: 89.38 %, Test Accuracy: 86.27 %
Epoch 16, Train Accuracy: 90.67 %, Test Accuracy: 86.97 %
Epoch 17, Train Accuracy: 91.28 %, Test Accuracy: 87.18 %
Epoch 18, Train Accuracy: 91.68 %, Test Accuracy: 87.34 %
Epoch 19, Train Accuracy: 92.04 %, Test Accuracy: 87.44 %
12  minutes
RUN_DONE
