NODE=[HOST_3c1b003035] | JOB=r10-r003-s2 4683321 | AUGMENT=1
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR10 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-3 --alpha0 1e-6 --num-epochs 100 --NN-name ResNet10 --stepsize-groups layerwise --seed 2 --save-directory cluster/Account2/metaopt/runs/r10 --run-name r10-r003-s2
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=additive LAM=na ETA_RATIO=0.03
NVIDIA GeForce RTX 2080 Ti, 11264 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account2/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 10.02 %, Test Accuracy: 9.57 %
Epoch 1, Train Accuracy: 10.09 %, Test Accuracy: 9.59 %
Epoch 2, Train Accuracy: 10.38 %, Test Accuracy: 9.78 %
Epoch 3, Train Accuracy: 10.52 %, Test Accuracy: 9.94 %
Epoch 4, Train Accuracy: 10.95 %, Test Accuracy: 10.47 %
Epoch 5, Train Accuracy: 11.46 %, Test Accuracy: 11.14 %
Epoch 6, Train Accuracy: 12.09 %, Test Accuracy: 12.49 %
Epoch 7, Train Accuracy: 13.67 %, Test Accuracy: 14.86 %
Epoch 8, Train Accuracy: 15.76 %, Test Accuracy: 18.49 %
Epoch 9, Train Accuracy: 18.67 %, Test Accuracy: 21.28 %
Epoch 10, Train Accuracy: 21.78 %, Test Accuracy: 23.85 %
Epoch 11, Train Accuracy: 23.95 %, Test Accuracy: 24.03 %
Epoch 12, Train Accuracy: 25.49 %, Test Accuracy: 25.75 %
Epoch 13, Train Accuracy: 27.67 %, Test Accuracy: 28.28 %
Epoch 14, Train Accuracy: 30.17 %, Test Accuracy: 30.44 %
Epoch 15, Train Accuracy: 32.57 %, Test Accuracy: 33.37 %
Epoch 16, Train Accuracy: 35.14 %, Test Accuracy: 36.53 %
Epoch 17, Train Accuracy: 38.39 %, Test Accuracy: 39.66 %
Epoch 18, Train Accuracy: 41.12 %, Test Accuracy: 42.05 %
Epoch 19, Train Accuracy: 44.31 %, Test Accuracy: 46.22 %
Epoch 20, Train Accuracy: 48.65 %, Test Accuracy: 49.71 %
Epoch 21, Train Accuracy: 53.15 %, Test Accuracy: 51.52 %
Epoch 22, Train Accuracy: 55.90 %, Test Accuracy: 55.72 %
Epoch 23, Train Accuracy: 59.45 %, Test Accuracy: 59.48 %
Epoch 24, Train Accuracy: 61.93 %, Test Accuracy: 60.67 %
Epoch 25, Train Accuracy: 64.50 %, Test Accuracy: 63.56 %
Epoch 26, Train Accuracy: 66.19 %, Test Accuracy: 63.52 %
Epoch 27, Train Accuracy: 69.69 %, Test Accuracy: 61.72 %
Epoch 28, Train Accuracy: 71.39 %, Test Accuracy: 67.81 %
Epoch 29, Train Accuracy: 74.02 %, Test Accuracy: 73.91 %
Epoch 30, Train Accuracy: 76.00 %, Test Accuracy: 72.64 %
Epoch 31, Train Accuracy: 77.51 %, Test Accuracy: 74.11 %
Epoch 32, Train Accuracy: 79.15 %, Test Accuracy: 78.52 %
Epoch 33, Train Accuracy: 80.85 %, Test Accuracy: 80.53 %
Epoch 34, Train Accuracy: 82.70 %, Test Accuracy: 82.38 %
Epoch 35, Train Accuracy: 83.58 %, Test Accuracy: 82.18 %
Epoch 36, Train Accuracy: 84.50 %, Test Accuracy: 84.19 %
Epoch 37, Train Accuracy: 85.12 %, Test Accuracy: 84.89 %
Epoch 38, Train Accuracy: 86.13 %, Test Accuracy: 85.58 %
Epoch 39, Train Accuracy: 86.52 %, Test Accuracy: 85.46 %
Epoch 40, Train Accuracy: 86.84 %, Test Accuracy: 86.43 %
Epoch 41, Train Accuracy: 87.48 %, Test Accuracy: 86.42 %
Epoch 42, Train Accuracy: 87.82 %, Test Accuracy: 86.91 %
Epoch 43, Train Accuracy: 88.16 %, Test Accuracy: 86.97 %
Epoch 44, Train Accuracy: 88.29 %, Test Accuracy: 87.09 %
Epoch 45, Train Accuracy: 88.79 %, Test Accuracy: 87.45 %
Epoch 46, Train Accuracy: 89.13 %, Test Accuracy: 87.31 %
Epoch 47, Train Accuracy: 89.20 %, Test Accuracy: 87.88 %
Epoch 48, Train Accuracy: 89.25 %, Test Accuracy: 88.16 %
Epoch 49, Train Accuracy: 89.71 %, Test Accuracy: 88.05 %
Epoch 50, Train Accuracy: 89.65 %, Test Accuracy: 87.77 %
Epoch 51, Train Accuracy: 89.87 %, Test Accuracy: 88.25 %
Epoch 52, Train Accuracy: 89.80 %, Test Accuracy: 88.27 %
Epoch 53, Train Accuracy: 90.11 %, Test Accuracy: 87.89 %
Epoch 54, Train Accuracy: 90.36 %, Test Accuracy: 88.50 %
