NODE=[HOST_2f2f29d9e1] | JOB=r10b-r04-s0 4683625 | AUGMENT=1
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR10 --NN-name ResNet10 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-3 --alpha0 1e-6 --num-epochs 100 --stepsize-groups layerwise --seed 0 --save-directory cluster/Account2/metaopt/runs/r10b --run-name r10b-r04-s0
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=additive LAM=na ETA_RATIO=0.4
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account2/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 9.68 %, Test Accuracy: 9.96 %
Epoch 1, Train Accuracy: 9.85 %, Test Accuracy: 9.98 %
Epoch 2, Train Accuracy: 10.08 %, Test Accuracy: 10.18 %
Epoch 3, Train Accuracy: 10.25 %, Test Accuracy: 10.30 %
Epoch 4, Train Accuracy: 10.65 %, Test Accuracy: 10.67 %
Epoch 5, Train Accuracy: 11.08 %, Test Accuracy: 11.51 %
Epoch 6, Train Accuracy: 11.90 %, Test Accuracy: 12.56 %
Epoch 7, Train Accuracy: 13.37 %, Test Accuracy: 14.59 %
Epoch 8, Train Accuracy: 15.82 %, Test Accuracy: 18.75 %
Epoch 9, Train Accuracy: 20.01 %, Test Accuracy: 21.61 %
Epoch 10, Train Accuracy: 23.15 %, Test Accuracy: 24.00 %
Epoch 11, Train Accuracy: 24.94 %, Test Accuracy: 25.43 %
Epoch 12, Train Accuracy: 27.02 %, Test Accuracy: 27.27 %
Epoch 13, Train Accuracy: 29.49 %, Test Accuracy: 30.55 %
Epoch 14, Train Accuracy: 32.27 %, Test Accuracy: 33.85 %
Epoch 15, Train Accuracy: 35.12 %, Test Accuracy: 37.54 %
Epoch 16, Train Accuracy: 39.12 %, Test Accuracy: 41.26 %
Epoch 17, Train Accuracy: 43.27 %, Test Accuracy: 45.91 %
Epoch 18, Train Accuracy: 47.56 %, Test Accuracy: 49.48 %
Epoch 19, Train Accuracy: 53.02 %, Test Accuracy: 53.91 %
Epoch 20, Train Accuracy: 58.53 %, Test Accuracy: 61.30 %
Epoch 21, Train Accuracy: 63.51 %, Test Accuracy: 61.47 %
Epoch 22, Train Accuracy: 68.00 %, Test Accuracy: 70.13 %
Epoch 23, Train Accuracy: 72.16 %, Test Accuracy: 70.84 %
Epoch 24, Train Accuracy: 75.37 %, Test Accuracy: 75.45 %
Epoch 25, Train Accuracy: 78.00 %, Test Accuracy: 79.60 %
Epoch 26, Train Accuracy: 80.63 %, Test Accuracy: 80.31 %
Epoch 27, Train Accuracy: 82.47 %, Test Accuracy: 82.97 %
Epoch 28, Train Accuracy: 84.73 %, Test Accuracy: 83.88 %
Epoch 29, Train Accuracy: 85.98 %, Test Accuracy: 85.07 %
Epoch 30, Train Accuracy: 87.11 %, Test Accuracy: 84.95 %
Epoch 31, Train Accuracy: 87.57 %, Test Accuracy: 86.30 %
Epoch 32, Train Accuracy: 88.40 %, Test Accuracy: 86.16 %
Epoch 33, Train Accuracy: 89.26 %, Test Accuracy: 86.89 %
Epoch 34, Train Accuracy: 89.28 %, Test Accuracy: 86.66 %
Epoch 35, Train Accuracy: 90.18 %, Test Accuracy: 87.30 %
Epoch 36, Train Accuracy: 90.42 %, Test Accuracy: 87.39 %
Epoch 37, Train Accuracy: 90.94 %, Test Accuracy: 87.78 %
Epoch 38, Train Accuracy: 91.31 %, Test Accuracy: 87.65 %
Epoch 39, Train Accuracy: 91.74 %, Test Accuracy: 87.77 %
Epoch 40, Train Accuracy: 92.03 %, Test Accuracy: 87.84 %
Epoch 41, Train Accuracy: 92.21 %, Test Accuracy: 88.17 %
Epoch 42, Train Accuracy: 92.72 %, Test Accuracy: 88.57 %
