NODE=[HOST_3c1b003035] | JOB=r10b-r04-s1 4683626 | AUGMENT=1
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR10 --NN-name ResNet10 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-3 --alpha0 1e-6 --num-epochs 100 --stepsize-groups layerwise --seed 1 --save-directory cluster/Account2/metaopt/runs/r10b --run-name r10b-r04-s1
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=additive LAM=na ETA_RATIO=0.4
NVIDIA GeForce RTX 2080 Ti, 11264 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account2/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 10.65 %, Test Accuracy: 9.82 %
Epoch 1, Train Accuracy: 10.70 %, Test Accuracy: 9.88 %
Epoch 2, Train Accuracy: 11.08 %, Test Accuracy: 10.26 %
Epoch 3, Train Accuracy: 11.05 %, Test Accuracy: 10.80 %
Epoch 4, Train Accuracy: 11.79 %, Test Accuracy: 11.69 %
Epoch 5, Train Accuracy: 12.25 %, Test Accuracy: 12.82 %
Epoch 6, Train Accuracy: 13.33 %, Test Accuracy: 13.99 %
Epoch 7, Train Accuracy: 14.87 %, Test Accuracy: 15.64 %
Epoch 8, Train Accuracy: 16.72 %, Test Accuracy: 17.37 %
Epoch 9, Train Accuracy: 19.43 %, Test Accuracy: 20.10 %
Epoch 10, Train Accuracy: 21.90 %, Test Accuracy: 23.16 %
Epoch 11, Train Accuracy: 24.67 %, Test Accuracy: 26.13 %
Epoch 12, Train Accuracy: 27.77 %, Test Accuracy: 28.52 %
Epoch 13, Train Accuracy: 30.95 %, Test Accuracy: 32.37 %
Epoch 14, Train Accuracy: 33.93 %, Test Accuracy: 35.61 %
Epoch 15, Train Accuracy: 36.76 %, Test Accuracy: 38.48 %
Epoch 16, Train Accuracy: 40.30 %, Test Accuracy: 43.15 %
Epoch 17, Train Accuracy: 43.88 %, Test Accuracy: 46.48 %
Epoch 18, Train Accuracy: 48.60 %, Test Accuracy: 51.10 %
Epoch 19, Train Accuracy: 53.03 %, Test Accuracy: 55.30 %
Epoch 20, Train Accuracy: 57.96 %, Test Accuracy: 55.46 %
Epoch 21, Train Accuracy: 61.96 %, Test Accuracy: 61.18 %
Epoch 22, Train Accuracy: 65.32 %, Test Accuracy: 62.74 %
Epoch 23, Train Accuracy: 68.78 %, Test Accuracy: 65.55 %
Epoch 24, Train Accuracy: 72.73 %, Test Accuracy: 73.87 %
Epoch 25, Train Accuracy: 76.15 %, Test Accuracy: 76.28 %
Epoch 26, Train Accuracy: 78.46 %, Test Accuracy: 76.28 %
Epoch 27, Train Accuracy: 80.59 %, Test Accuracy: 80.27 %
Epoch 28, Train Accuracy: 82.11 %, Test Accuracy: 82.16 %
Epoch 29, Train Accuracy: 83.98 %, Test Accuracy: 83.41 %
Epoch 30, Train Accuracy: 85.36 %, Test Accuracy: 84.44 %
Epoch 31, Train Accuracy: 86.14 %, Test Accuracy: 84.37 %
Epoch 32, Train Accuracy: 86.69 %, Test Accuracy: 85.03 %
Epoch 33, Train Accuracy: 87.70 %, Test Accuracy: 85.55 %
Epoch 34, Train Accuracy: 88.26 %, Test Accuracy: 85.65 %
Epoch 35, Train Accuracy: 88.73 %, Test Accuracy: 86.46 %
Epoch 36, Train Accuracy: 89.30 %, Test Accuracy: 85.75 %
Epoch 37, Train Accuracy: 89.73 %, Test Accuracy: 86.18 %
Epoch 38, Train Accuracy: 89.73 %, Test Accuracy: 86.28 %
Epoch 39, Train Accuracy: 90.54 %, Test Accuracy: 87.49 %
Epoch 40, Train Accuracy: 90.91 %, Test Accuracy: 86.95 %
Epoch 41, Train Accuracy: 91.05 %, Test Accuracy: 87.82 %
Epoch 42, Train Accuracy: 91.56 %, Test Accuracy: 87.48 %
Epoch 43, Train Accuracy: 91.97 %, Test Accuracy: 87.48 %
Epoch 44, Train Accuracy: 92.13 %, Test Accuracy: 86.82 %
Epoch 45, Train Accuracy: 92.11 %, Test Accuracy: 87.76 %
Epoch 46, Train Accuracy: 92.77 %, Test Accuracy: 88.54 %
Epoch 47, Train Accuracy: 92.98 %, Test Accuracy: 88.65 %
Epoch 48, Train Accuracy: 93.43 %, Test Accuracy: 88.65 %
Epoch 49, Train Accuracy: 93.59 %, Test Accuracy: 89.22 %
Epoch 50, Train Accuracy: 94.10 %, Test Accuracy: 88.66 %
Epoch 51, Train Accuracy: 94.16 %, Test Accuracy: 89.60 %
Epoch 52, Train Accuracy: 94.53 %, Test Accuracy: 89.25 %
Epoch 53, Train Accuracy: 94.62 %, Test Accuracy: 88.65 %
Epoch 54, Train Accuracy: 94.94 %, Test Accuracy: 88.90 %
Epoch 55, Train Accuracy: 95.37 %, Test Accuracy: 89.15 %
Epoch 56, Train Accuracy: 95.29 %, Test Accuracy: 89.25 %
Epoch 57, Train Accuracy: 95.60 %, Test Accuracy: 89.61 %
Epoch 58, Train Accuracy: 95.80 %, Test Accuracy: 89.45 %
Epoch 59, Train Accuracy: 96.07 %, Test Accuracy: 88.78 %
Epoch 60, Train Accuracy: 96.23 %, Test Accuracy: 89.79 %
Epoch 61, Train Accuracy: 96.32 %, Test Accuracy: 89.82 %
Epoch 62, Train Accuracy: 96.59 %, Test Accuracy: 89.67 %
