NODE=[HOST_2739ecbbce] | JOB=r10c-r1-s0 4684279 | AUGMENT=1
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --NN-name ResNet10 --dataset CIFAR10 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-3 --alpha0 1e-3 --num-epochs 100 --stepsize-groups layerwise --seed 0 --save-directory cluster/Account2/metaopt/runs/r10c --run-name r10c-r1-s0
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=additive LAM=na ETA_RATIO=1
NVIDIA GeForce RTX 2080 Ti, 11264 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account2/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 21.83 %, Test Accuracy: 28.29 %
Epoch 1, Train Accuracy: 33.54 %, Test Accuracy: 37.48 %
Epoch 2, Train Accuracy: 40.96 %, Test Accuracy: 44.28 %
Epoch 3, Train Accuracy: 48.09 %, Test Accuracy: 50.85 %
Epoch 4, Train Accuracy: 55.93 %, Test Accuracy: 57.80 %
Epoch 5, Train Accuracy: 62.94 %, Test Accuracy: 61.62 %
Epoch 6, Train Accuracy: 68.59 %, Test Accuracy: 69.57 %
Epoch 7, Train Accuracy: 73.55 %, Test Accuracy: 73.15 %
Epoch 8, Train Accuracy: 77.08 %, Test Accuracy: 78.07 %
Epoch 9, Train Accuracy: 79.43 %, Test Accuracy: 79.89 %
Epoch 10, Train Accuracy: 81.13 %, Test Accuracy: 80.35 %
Epoch 11, Train Accuracy: 82.38 %, Test Accuracy: 81.38 %
Epoch 12, Train Accuracy: 83.72 %, Test Accuracy: 83.20 %
Epoch 13, Train Accuracy: 84.62 %, Test Accuracy: 83.28 %
Epoch 14, Train Accuracy: 85.93 %, Test Accuracy: 84.67 %
Epoch 15, Train Accuracy: 86.51 %, Test Accuracy: 83.57 %
Epoch 16, Train Accuracy: 87.43 %, Test Accuracy: 86.23 %
Epoch 17, Train Accuracy: 88.06 %, Test Accuracy: 85.33 %
Epoch 18, Train Accuracy: 88.69 %, Test Accuracy: 86.52 %
Epoch 19, Train Accuracy: 89.29 %, Test Accuracy: 86.60 %
Epoch 20, Train Accuracy: 90.10 %, Test Accuracy: 87.69 %
Epoch 21, Train Accuracy: 90.67 %, Test Accuracy: 87.71 %
Epoch 22, Train Accuracy: 90.80 %, Test Accuracy: 86.73 %
Epoch 23, Train Accuracy: 91.27 %, Test Accuracy: 87.30 %
Epoch 24, Train Accuracy: 91.78 %, Test Accuracy: 88.14 %
Epoch 25, Train Accuracy: 92.20 %, Test Accuracy: 88.00 %
Epoch 26, Train Accuracy: 92.72 %, Test Accuracy: 89.21 %
Epoch 27, Train Accuracy: 92.75 %, Test Accuracy: 88.84 %
Epoch 28, Train Accuracy: 93.33 %, Test Accuracy: 89.68 %
Epoch 29, Train Accuracy: 93.40 %, Test Accuracy: 89.44 %
Epoch 30, Train Accuracy: 93.86 %, Test Accuracy: 88.59 %
Epoch 31, Train Accuracy: 94.20 %, Test Accuracy: 89.62 %
Epoch 32, Train Accuracy: 94.76 %, Test Accuracy: 89.27 %
