NODE=[HOST_b0a55dfb8c] | JOB=rc100-r0-s0 4683340
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR100 --NN-name ResNet18_c100 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-3 --alpha0 1e-3 --num-epochs 100 --stepsize-groups layerwise --seed 0 --save-directory cluster/Account1/metaopt/runs/rc100 --run-name rc100-r0-s0
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=additive LAM=na ETA_RATIO=0 COS_TOTAL=default COS_WARMUP=default
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account1/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 3.07 %, Test Accuracy: 5.59 %
Epoch 1, Train Accuracy: 7.28 %, Test Accuracy: 8.91 %
Epoch 2, Train Accuracy: 9.93 %, Test Accuracy: 11.00 %
Epoch 3, Train Accuracy: 11.87 %, Test Accuracy: 12.68 %
Epoch 4, Train Accuracy: 13.98 %, Test Accuracy: 14.98 %
Epoch 5, Train Accuracy: 15.14 %, Test Accuracy: 15.49 %
Epoch 6, Train Accuracy: 16.48 %, Test Accuracy: 16.19 %
Epoch 7, Train Accuracy: 17.40 %, Test Accuracy: 16.52 %
Epoch 8, Train Accuracy: 17.61 %, Test Accuracy: 15.75 %
Epoch 9, Train Accuracy: 17.54 %, Test Accuracy: 16.55 %
Epoch 10, Train Accuracy: 17.25 %, Test Accuracy: 15.74 %
Epoch 11, Train Accuracy: 16.30 %, Test Accuracy: 16.78 %
Epoch 12, Train Accuracy: 15.80 %, Test Accuracy: 15.82 %
Epoch 13, Train Accuracy: 15.08 %, Test Accuracy: 14.59 %
Epoch 14, Train Accuracy: 14.93 %, Test Accuracy: 15.24 %
Epoch 15, Train Accuracy: 14.44 %, Test Accuracy: 14.91 %
Epoch 16, Train Accuracy: 13.97 %, Test Accuracy: 13.85 %
Epoch 17, Train Accuracy: 13.39 %, Test Accuracy: 12.90 %
Epoch 18, Train Accuracy: 12.91 %, Test Accuracy: 12.86 %
Epoch 19, Train Accuracy: 12.65 %, Test Accuracy: 12.49 %
Epoch 20, Train Accuracy: 12.12 %, Test Accuracy: 12.78 %
Epoch 21, Train Accuracy: 12.06 %, Test Accuracy: 12.15 %
Epoch 22, Train Accuracy: 11.76 %, Test Accuracy: 11.60 %
Epoch 23, Train Accuracy: 11.49 %, Test Accuracy: 11.88 %
Epoch 24, Train Accuracy: 11.24 %, Test Accuracy: 11.25 %
Epoch 25, Train Accuracy: 11.11 %, Test Accuracy: 11.42 %
Epoch 26, Train Accuracy: 10.84 %, Test Accuracy: 10.82 %
Epoch 27, Train Accuracy: 10.70 %, Test Accuracy: 10.65 %
Epoch 28, Train Accuracy: 10.52 %, Test Accuracy: 10.69 %
Epoch 29, Train Accuracy: 10.39 %, Test Accuracy: 10.67 %
Epoch 30, Train Accuracy: 10.31 %, Test Accuracy: 10.14 %
Epoch 31, Train Accuracy: 10.25 %, Test Accuracy: 10.09 %
Epoch 32, Train Accuracy: 10.16 %, Test Accuracy: 9.99 %
Epoch 33, Train Accuracy: 10.05 %, Test Accuracy: 10.00 %
Epoch 34, Train Accuracy: 9.98 %, Test Accuracy: 10.09 %
Epoch 35, Train Accuracy: 9.87 %, Test Accuracy: 9.85 %
Epoch 36, Train Accuracy: 9.86 %, Test Accuracy: 9.86 %
Epoch 37, Train Accuracy: 9.77 %, Test Accuracy: 9.70 %
Epoch 38, Train Accuracy: 9.67 %, Test Accuracy: 9.77 %
Epoch 39, Train Accuracy: 9.69 %, Test Accuracy: 9.63 %
Epoch 40, Train Accuracy: 9.59 %, Test Accuracy: 9.56 %
Epoch 41, Train Accuracy: 9.59 %, Test Accuracy: 9.48 %
Epoch 42, Train Accuracy: 9.46 %, Test Accuracy: 9.47 %
Epoch 43, Train Accuracy: 9.52 %, Test Accuracy: 9.56 %
Epoch 44, Train Accuracy: 9.47 %, Test Accuracy: 9.39 %
Epoch 45, Train Accuracy: 9.47 %, Test Accuracy: 9.36 %
Epoch 46, Train Accuracy: 9.40 %, Test Accuracy: 9.32 %
Epoch 47, Train Accuracy: 9.39 %, Test Accuracy: 9.31 %
Epoch 48, Train Accuracy: 9.30 %, Test Accuracy: 9.17 %
Epoch 49, Train Accuracy: 9.33 %, Test Accuracy: 9.32 %
Epoch 50, Train Accuracy: 9.30 %, Test Accuracy: 9.25 %
Epoch 51, Train Accuracy: 9.30 %, Test Accuracy: 9.36 %
Epoch 52, Train Accuracy: 9.30 %, Test Accuracy: 9.27 %
Epoch 53, Train Accuracy: 9.28 %, Test Accuracy: 9.28 %
Epoch 54, Train Accuracy: 9.23 %, Test Accuracy: 9.30 %
Epoch 55, Train Accuracy: 9.18 %, Test Accuracy: 9.18 %
Epoch 56, Train Accuracy: 9.20 %, Test Accuracy: 9.25 %
