NODE=[HOST_e8d809bd94] | JOB=rc6-r1-s0 4683605 | AUGMENT=1
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR100 --NN-name ResNet18_c100 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-3 --alpha0 1e-6 --num-epochs 100 --stepsize-groups layerwise --seed 0 --save-directory cluster/Account2/metaopt/runs/rc6 --run-name rc6-r1-s0
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=additive LAM=na ETA_RATIO=1
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account2/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 1.05 %, Test Accuracy: 1.10 %
Epoch 1, Train Accuracy: 1.08 %, Test Accuracy: 1.15 %
Epoch 2, Train Accuracy: 1.05 %, Test Accuracy: 1.14 %
Epoch 3, Train Accuracy: 1.06 %, Test Accuracy: 1.10 %
Epoch 4, Train Accuracy: 1.10 %, Test Accuracy: 1.29 %
Epoch 5, Train Accuracy: 1.07 %, Test Accuracy: 1.26 %
Epoch 6, Train Accuracy: 1.15 %, Test Accuracy: 1.43 %
Epoch 7, Train Accuracy: 1.45 %, Test Accuracy: 2.00 %
Epoch 8, Train Accuracy: 2.29 %, Test Accuracy: 2.94 %
Epoch 9, Train Accuracy: 2.99 %, Test Accuracy: 3.91 %
Epoch 10, Train Accuracy: 3.67 %, Test Accuracy: 4.53 %
Epoch 11, Train Accuracy: 4.42 %, Test Accuracy: 5.43 %
Epoch 12, Train Accuracy: 5.88 %, Test Accuracy: 7.09 %
Epoch 13, Train Accuracy: 7.96 %, Test Accuracy: 9.06 %
Epoch 14, Train Accuracy: 9.87 %, Test Accuracy: 10.76 %
Epoch 15, Train Accuracy: 11.82 %, Test Accuracy: 12.71 %
Epoch 16, Train Accuracy: 14.25 %, Test Accuracy: 15.88 %
Epoch 17, Train Accuracy: 17.34 %, Test Accuracy: 19.49 %
Epoch 18, Train Accuracy: 22.25 %, Test Accuracy: 25.51 %
Epoch 19, Train Accuracy: 27.54 %, Test Accuracy: 31.12 %
Epoch 20, Train Accuracy: 32.69 %, Test Accuracy: 35.29 %
Epoch 21, Train Accuracy: 37.91 %, Test Accuracy: 39.60 %
Epoch 22, Train Accuracy: 41.77 %, Test Accuracy: 43.42 %
Epoch 23, Train Accuracy: 45.06 %, Test Accuracy: 43.62 %
Epoch 24, Train Accuracy: 47.90 %, Test Accuracy: 47.52 %
Epoch 25, Train Accuracy: 51.14 %, Test Accuracy: 49.70 %
Epoch 26, Train Accuracy: 53.20 %, Test Accuracy: 52.27 %
Epoch 27, Train Accuracy: 55.71 %, Test Accuracy: 52.54 %
Epoch 28, Train Accuracy: 58.01 %, Test Accuracy: 54.85 %
Epoch 29, Train Accuracy: 60.16 %, Test Accuracy: 55.46 %
Epoch 30, Train Accuracy: 62.02 %, Test Accuracy: 57.02 %
Epoch 31, Train Accuracy: 63.66 %, Test Accuracy: 58.11 %
Epoch 32, Train Accuracy: 65.35 %, Test Accuracy: 59.47 %
Epoch 33, Train Accuracy: 67.17 %, Test Accuracy: 60.57 %
Epoch 34, Train Accuracy: 68.64 %, Test Accuracy: 60.98 %
Epoch 35, Train Accuracy: 69.98 %, Test Accuracy: 62.32 %
Epoch 36, Train Accuracy: 71.38 %, Test Accuracy: 62.31 %
Epoch 37, Train Accuracy: 72.74 %, Test Accuracy: 62.67 %
Epoch 38, Train Accuracy: 73.62 %, Test Accuracy: 63.31 %
Epoch 39, Train Accuracy: 75.24 %, Test Accuracy: 64.82 %
Epoch 40, Train Accuracy: 76.04 %, Test Accuracy: 64.81 %
Epoch 41, Train Accuracy: 78.03 %, Test Accuracy: 65.91 %
Epoch 42, Train Accuracy: 78.94 %, Test Accuracy: 65.90 %
Epoch 43, Train Accuracy: 80.00 %, Test Accuracy: 65.64 %
Epoch 44, Train Accuracy: 80.98 %, Test Accuracy: 66.11 %
Epoch 45, Train Accuracy: 81.71 %, Test Accuracy: 65.99 %
Epoch 46, Train Accuracy: 82.90 %, Test Accuracy: 66.62 %
Epoch 47, Train Accuracy: 84.13 %, Test Accuracy: 66.49 %
Epoch 48, Train Accuracy: 84.64 %, Test Accuracy: 66.80 %
Epoch 49, Train Accuracy: 85.66 %, Test Accuracy: 66.78 %
Epoch 50, Train Accuracy: 86.56 %, Test Accuracy: 67.90 %
Epoch 51, Train Accuracy: 86.73 %, Test Accuracy: 67.29 %
Epoch 52, Train Accuracy: 87.92 %, Test Accuracy: 67.71 %
Epoch 53, Train Accuracy: 88.60 %, Test Accuracy: 67.06 %
Epoch 54, Train Accuracy: 89.36 %, Test Accuracy: 67.62 %
Epoch 55, Train Accuracy: 89.65 %, Test Accuracy: 67.41 %
Epoch 56, Train Accuracy: 90.31 %, Test Accuracy: 67.73 %
Epoch 57, Train Accuracy: 91.05 %, Test Accuracy: 67.46 %
Epoch 58, Train Accuracy: 91.74 %, Test Accuracy: 68.36 %
Epoch 59, Train Accuracy: 92.21 %, Test Accuracy: 68.23 %
Epoch 60, Train Accuracy: 92.58 %, Test Accuracy: 69.13 %
Epoch 61, Train Accuracy: 93.03 %, Test Accuracy: 68.18 %
Epoch 62, Train Accuracy: 93.47 %, Test Accuracy: 68.54 %
Epoch 63, Train Accuracy: 93.86 %, Test Accuracy: 68.46 %
Epoch 64, Train Accuracy: 94.42 %, Test Accuracy: 68.27 %
Epoch 65, Train Accuracy: 94.28 %, Test Accuracy: 68.55 %
Epoch 66, Train Accuracy: 95.10 %, Test Accuracy: 69.48 %
Epoch 67, Train Accuracy: 95.36 %, Test Accuracy: 68.80 %
Epoch 68, Train Accuracy: 95.54 %, Test Accuracy: 69.11 %
Epoch 69, Train Accuracy: 95.76 %, Test Accuracy: 68.27 %
Epoch 70, Train Accuracy: 95.93 %, Test Accuracy: 69.00 %
Epoch 71, Train Accuracy: 96.30 %, Test Accuracy: 68.22 %
Epoch 72, Train Accuracy: 96.27 %, Test Accuracy: 68.73 %
Epoch 73, Train Accuracy: 96.74 %, Test Accuracy: 69.13 %
Epoch 74, Train Accuracy: 96.92 %, Test Accuracy: 68.75 %
Epoch 75, Train Accuracy: 97.12 %, Test Accuracy: 69.19 %
Epoch 76, Train Accuracy: 97.12 %, Test Accuracy: 68.83 %
Epoch 77, Train Accuracy: 97.22 %, Test Accuracy: 69.03 %
Epoch 78, Train Accuracy: 97.62 %, Test Accuracy: 68.94 %
Epoch 79, Train Accuracy: 97.68 %, Test Accuracy: 69.20 %
Epoch 80, Train Accuracy: 98.02 %, Test Accuracy: 69.40 %
Epoch 81, Train Accuracy: 97.97 %, Test Accuracy: 69.10 %
Epoch 82, Train Accuracy: 97.99 %, Test Accuracy: 69.72 %
Epoch 83, Train Accuracy: 98.20 %, Test Accuracy: 69.41 %
Epoch 84, Train Accuracy: 98.28 %, Test Accuracy: 69.28 %
Epoch 85, Train Accuracy: 98.38 %, Test Accuracy: 69.90 %
Epoch 86, Train Accuracy: 98.46 %, Test Accuracy: 69.23 %
Epoch 87, Train Accuracy: 98.55 %, Test Accuracy: 68.68 %
Epoch 88, Train Accuracy: 98.51 %, Test Accuracy: 69.51 %
Epoch 89, Train Accuracy: 98.78 %, Test Accuracy: 69.59 %
Epoch 90, Train Accuracy: 98.62 %, Test Accuracy: 69.04 %
Epoch 91, Train Accuracy: 98.77 %, Test Accuracy: 69.34 %
Epoch 92, Train Accuracy: 98.94 %, Test Accuracy: 69.87 %
Epoch 93, Train Accuracy: 98.91 %, Test Accuracy: 69.41 %
Epoch 94, Train Accuracy: 98.88 %, Test Accuracy: 69.89 %
Epoch 95, Train Accuracy: 99.04 %, Test Accuracy: 69.79 %
Epoch 96, Train Accuracy: 99.09 %, Test Accuracy: 69.74 %
Epoch 97, Train Accuracy: 99.15 %, Test Accuracy: 69.73 %
Epoch 98, Train Accuracy: 98.98 %, Test Accuracy: 70.00 %
Epoch 99, Train Accuracy: 99.13 %, Test Accuracy: 69.77 %
31  minutes
RUN_DONE
