NODE=[HOST_725a8a8fc9] | JOB=rl3-node-m1e4-s1 4782150 | AUGMENT=1
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR10 --NN-name ResNet18 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-4 --alpha0 1e-3 --num-epochs 100 --stepsize-groups nodewise --seed 1 --save-directory cluster/Account2/metaopt/runs/rl3 --run-name rl3-node-m1e4-s1
ENV: AUGMENT=1 BETA_CLIP=-30:9.0 HIER=none LAM=na ETA_RATIO=na COS_TOTAL=default COS_WARMUP=default SCHED=none SCHED_TOTAL=none SCHED_WARMUP=none SCHED_MIN=none PROBE=5 PROBE_DIR=cluster/Account2/metaopt/runs/rl3/probe_node_m1e4_rl3_s1
NVIDIA A100 80GB PCIe, 81920 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account2/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 20.81 %, Test Accuracy: 29.48 %
Epoch 1, Train Accuracy: 34.79 %, Test Accuracy: 39.41 %
Epoch 2, Train Accuracy: 41.63 %, Test Accuracy: 44.89 %
Epoch 3, Train Accuracy: 45.91 %, Test Accuracy: 48.60 %
Epoch 4, Train Accuracy: 49.83 %, Test Accuracy: 52.59 %
Epoch 5, Train Accuracy: 53.82 %, Test Accuracy: 55.49 %
Epoch 6, Train Accuracy: 56.53 %, Test Accuracy: 59.11 %
Epoch 7, Train Accuracy: 59.84 %, Test Accuracy: 60.63 %
Epoch 8, Train Accuracy: 62.97 %, Test Accuracy: 63.20 %
Epoch 9, Train Accuracy: 65.56 %, Test Accuracy: 65.08 %
Epoch 10, Train Accuracy: 68.05 %, Test Accuracy: 69.27 %
Epoch 11, Train Accuracy: 70.56 %, Test Accuracy: 70.24 %
Epoch 12, Train Accuracy: 72.44 %, Test Accuracy: 73.08 %
Epoch 13, Train Accuracy: 74.32 %, Test Accuracy: 73.88 %
Epoch 14, Train Accuracy: 75.98 %, Test Accuracy: 74.91 %
Epoch 15, Train Accuracy: 77.99 %, Test Accuracy: 77.39 %
Epoch 16, Train Accuracy: 79.28 %, Test Accuracy: 76.89 %
Epoch 17, Train Accuracy: 80.49 %, Test Accuracy: 78.62 %
Epoch 18, Train Accuracy: 81.44 %, Test Accuracy: 79.57 %
Epoch 19, Train Accuracy: 82.37 %, Test Accuracy: 81.29 %
Epoch 20, Train Accuracy: 83.74 %, Test Accuracy: 80.21 %
Epoch 21, Train Accuracy: 84.00 %, Test Accuracy: 82.44 %
Epoch 22, Train Accuracy: 84.90 %, Test Accuracy: 82.22 %
Epoch 23, Train Accuracy: 85.27 %, Test Accuracy: 81.79 %
Epoch 24, Train Accuracy: 85.72 %, Test Accuracy: 83.61 %
Epoch 25, Train Accuracy: 86.35 %, Test Accuracy: 85.10 %
Epoch 26, Train Accuracy: 87.03 %, Test Accuracy: 84.36 %
Epoch 27, Train Accuracy: 87.38 %, Test Accuracy: 83.53 %
Epoch 28, Train Accuracy: 87.55 %, Test Accuracy: 84.46 %
Epoch 29, Train Accuracy: 88.40 %, Test Accuracy: 84.49 %
Epoch 30, Train Accuracy: 88.95 %, Test Accuracy: 85.51 %
Epoch 31, Train Accuracy: 89.23 %, Test Accuracy: 84.79 %
Epoch 32, Train Accuracy: 88.95 %, Test Accuracy: 85.78 %
Epoch 33, Train Accuracy: 89.51 %, Test Accuracy: 86.29 %
Epoch 34, Train Accuracy: 89.92 %, Test Accuracy: 86.84 %
Epoch 35, Train Accuracy: 90.54 %, Test Accuracy: 88.09 %
Epoch 36, Train Accuracy: 90.91 %, Test Accuracy: 87.67 %
Epoch 37, Train Accuracy: 90.89 %, Test Accuracy: 87.70 %
Epoch 38, Train Accuracy: 91.33 %, Test Accuracy: 88.69 %
Epoch 39, Train Accuracy: 91.85 %, Test Accuracy: 87.97 %
Epoch 40, Train Accuracy: 91.78 %, Test Accuracy: 89.42 %
Epoch 41, Train Accuracy: 91.86 %, Test Accuracy: 88.18 %
Epoch 42, Train Accuracy: 92.13 %, Test Accuracy: 87.85 %
Epoch 43, Train Accuracy: 92.65 %, Test Accuracy: 88.92 %
Epoch 44, Train Accuracy: 92.87 %, Test Accuracy: 88.80 %
Epoch 45, Train Accuracy: 93.32 %, Test Accuracy: 90.10 %
Epoch 46, Train Accuracy: 93.34 %, Test Accuracy: 89.73 %
Epoch 47, Train Accuracy: 92.91 %, Test Accuracy: 89.01 %
Epoch 48, Train Accuracy: 93.40 %, Test Accuracy: 89.32 %
Epoch 49, Train Accuracy: 93.85 %, Test Accuracy: 89.95 %
Epoch 50, Train Accuracy: 94.06 %, Test Accuracy: 88.29 %
Epoch 51, Train Accuracy: 94.48 %, Test Accuracy: 91.12 %
Epoch 52, Train Accuracy: 94.61 %, Test Accuracy: 89.30 %
Epoch 53, Train Accuracy: 94.52 %, Test Accuracy: 90.25 %
Epoch 54, Train Accuracy: 94.95 %, Test Accuracy: 90.89 %
Epoch 55, Train Accuracy: 95.23 %, Test Accuracy: 90.70 %
Epoch 56, Train Accuracy: 95.51 %, Test Accuracy: 90.03 %
Epoch 57, Train Accuracy: 95.68 %, Test Accuracy: 90.05 %
Epoch 58, Train Accuracy: 95.35 %, Test Accuracy: 90.18 %
Epoch 59, Train Accuracy: 95.93 %, Test Accuracy: 90.90 %
Epoch 60, Train Accuracy: 95.77 %, Test Accuracy: 90.64 %
Epoch 61, Train Accuracy: 96.04 %, Test Accuracy: 91.57 %
Epoch 62, Train Accuracy: 96.35 %, Test Accuracy: 90.99 %
Epoch 63, Train Accuracy: 96.23 %, Test Accuracy: 91.50 %
Epoch 64, Train Accuracy: 96.40 %, Test Accuracy: 90.00 %
Epoch 65, Train Accuracy: 96.47 %, Test Accuracy: 91.17 %
Epoch 66, Train Accuracy: 96.43 %, Test Accuracy: 91.42 %
Epoch 67, Train Accuracy: 96.79 %, Test Accuracy: 91.09 %
Epoch 68, Train Accuracy: 96.93 %, Test Accuracy: 91.48 %
Epoch 69, Train Accuracy: 96.72 %, Test Accuracy: 91.45 %
Epoch 70, Train Accuracy: 96.76 %, Test Accuracy: 91.44 %
Epoch 71, Train Accuracy: 97.22 %, Test Accuracy: 91.17 %
Epoch 72, Train Accuracy: 97.08 %, Test Accuracy: 91.06 %
Epoch 73, Train Accuracy: 97.13 %, Test Accuracy: 92.13 %
Epoch 74, Train Accuracy: 97.61 %, Test Accuracy: 91.07 %
Epoch 75, Train Accuracy: 97.34 %, Test Accuracy: 91.13 %
Epoch 76, Train Accuracy: 97.35 %, Test Accuracy: 92.04 %
Epoch 77, Train Accuracy: 97.33 %, Test Accuracy: 91.67 %
Epoch 78, Train Accuracy: 97.63 %, Test Accuracy: 91.24 %
Epoch 79, Train Accuracy: 97.25 %, Test Accuracy: 91.19 %
Epoch 80, Train Accuracy: 97.54 %, Test Accuracy: 91.73 %
Epoch 81, Train Accuracy: 97.67 %, Test Accuracy: 91.99 %
Epoch 82, Train Accuracy: 97.66 %, Test Accuracy: 91.93 %
Epoch 83, Train Accuracy: 97.77 %, Test Accuracy: 89.77 %
Epoch 84, Train Accuracy: 97.83 %, Test Accuracy: 92.07 %
Epoch 85, Train Accuracy: 98.18 %, Test Accuracy: 92.21 %
Epoch 86, Train Accuracy: 97.85 %, Test Accuracy: 90.32 %
Epoch 87, Train Accuracy: 97.78 %, Test Accuracy: 91.88 %
Epoch 88, Train Accuracy: 97.88 %, Test Accuracy: 92.21 %
Epoch 89, Train Accuracy: 98.13 %, Test Accuracy: 91.89 %
Epoch 90, Train Accuracy: 98.04 %, Test Accuracy: 91.43 %
Epoch 91, Train Accuracy: 98.11 %, Test Accuracy: 92.78 %
Epoch 92, Train Accuracy: 98.34 %, Test Accuracy: 91.97 %
Epoch 93, Train Accuracy: 98.19 %, Test Accuracy: 92.11 %
Epoch 94, Train Accuracy: 98.28 %, Test Accuracy: 91.32 %
Epoch 95, Train Accuracy: 98.31 %, Test Accuracy: 92.11 %
Epoch 96, Train Accuracy: 98.11 %, Test Accuracy: 91.48 %
Epoch 97, Train Accuracy: 98.33 %, Test Accuracy: 91.22 %
Epoch 98, Train Accuracy: 98.25 %, Test Accuracy: 91.82 %
Epoch 99, Train Accuracy: 98.44 %, Test Accuracy: 91.76 %
38  minutes
RUN_DONE
