NODE=[HOST_668d417035] | JOB=rp1-p101-s9 4849146
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR10 --NN-name ResNet18 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-4 --alpha0 1e-3 --num-epochs 100 --stepsize-groups permnode101 --seed 9 --save-directory cluster/Account1/metaopt/runs/rp1 --run-name rp1-p101-s9
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=none LAM=na ETA_RATIO=na COS_TOTAL=default COS_WARMUP=default SCHED=none SCHED_TOTAL=none SCHED_WARMUP=none SCHED_MIN=none PROBE=5 PROBE_DIR=cluster/Account1/metaopt/runs/rp1/probe_p101_rp1_s9
NVIDIA A100 80GB PCIe, 81920 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account1/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 22.54 %, Test Accuracy: 31.80 %
Epoch 1, Train Accuracy: 35.15 %, Test Accuracy: 39.99 %
Epoch 2, Train Accuracy: 40.53 %, Test Accuracy: 44.71 %
Epoch 3, Train Accuracy: 45.41 %, Test Accuracy: 49.24 %
Epoch 4, Train Accuracy: 48.94 %, Test Accuracy: 51.69 %
Epoch 5, Train Accuracy: 52.82 %, Test Accuracy: 54.23 %
Epoch 6, Train Accuracy: 55.56 %, Test Accuracy: 57.63 %
Epoch 7, Train Accuracy: 58.54 %, Test Accuracy: 59.76 %
Epoch 8, Train Accuracy: 61.75 %, Test Accuracy: 61.76 %
Epoch 9, Train Accuracy: 64.21 %, Test Accuracy: 66.02 %
Epoch 10, Train Accuracy: 66.60 %, Test Accuracy: 67.17 %
Epoch 11, Train Accuracy: 69.09 %, Test Accuracy: 69.23 %
Epoch 12, Train Accuracy: 70.40 %, Test Accuracy: 69.18 %
Epoch 13, Train Accuracy: 73.63 %, Test Accuracy: 74.73 %
Epoch 14, Train Accuracy: 75.39 %, Test Accuracy: 76.01 %
Epoch 15, Train Accuracy: 77.14 %, Test Accuracy: 77.17 %
Epoch 16, Train Accuracy: 78.53 %, Test Accuracy: 78.80 %
Epoch 17, Train Accuracy: 80.08 %, Test Accuracy: 78.15 %
Epoch 18, Train Accuracy: 80.60 %, Test Accuracy: 79.45 %
Epoch 19, Train Accuracy: 81.84 %, Test Accuracy: 79.40 %
Epoch 20, Train Accuracy: 83.01 %, Test Accuracy: 82.48 %
Epoch 21, Train Accuracy: 83.54 %, Test Accuracy: 81.47 %
Epoch 22, Train Accuracy: 84.25 %, Test Accuracy: 81.41 %
Epoch 23, Train Accuracy: 85.26 %, Test Accuracy: 83.75 %
Epoch 24, Train Accuracy: 85.76 %, Test Accuracy: 83.07 %
Epoch 25, Train Accuracy: 86.27 %, Test Accuracy: 83.08 %
Epoch 26, Train Accuracy: 86.44 %, Test Accuracy: 84.09 %
Epoch 27, Train Accuracy: 86.96 %, Test Accuracy: 85.07 %
Epoch 28, Train Accuracy: 87.62 %, Test Accuracy: 84.60 %
Epoch 29, Train Accuracy: 87.88 %, Test Accuracy: 84.62 %
Epoch 30, Train Accuracy: 88.25 %, Test Accuracy: 84.46 %
Epoch 31, Train Accuracy: 88.73 %, Test Accuracy: 85.10 %
Epoch 32, Train Accuracy: 88.93 %, Test Accuracy: 86.66 %
Epoch 33, Train Accuracy: 89.63 %, Test Accuracy: 86.46 %
Epoch 34, Train Accuracy: 89.89 %, Test Accuracy: 87.06 %
Epoch 35, Train Accuracy: 90.16 %, Test Accuracy: 88.08 %
