NODE=[HOST_f0845cc956] | JOB=rs-blk6-3e3-s0 4700403
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR10 --NN-name ResNet18 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 3e-3 --alpha0 1e-3 --num-epochs 100 --stepsize-groups resnet18_blocks --seed 0 --save-directory cluster/Account1/metaopt/runs/rs --run-name rs-blk6-3e3-s0
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=none LAM=na ETA_RATIO=na COS_TOTAL=default COS_WARMUP=default
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account1/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 25.19 %, Test Accuracy: 35.25 %
Epoch 1, Train Accuracy: 42.89 %, Test Accuracy: 47.80 %
Epoch 2, Train Accuracy: 55.62 %, Test Accuracy: 58.45 %
Epoch 3, Train Accuracy: 63.94 %, Test Accuracy: 65.43 %
Epoch 4, Train Accuracy: 68.28 %, Test Accuracy: 69.92 %
Epoch 5, Train Accuracy: 72.69 %, Test Accuracy: 74.86 %
Epoch 6, Train Accuracy: 76.32 %, Test Accuracy: 76.83 %
Epoch 7, Train Accuracy: 78.75 %, Test Accuracy: 78.02 %
Epoch 8, Train Accuracy: 80.67 %, Test Accuracy: 77.70 %
Epoch 9, Train Accuracy: 82.55 %, Test Accuracy: 81.90 %
Epoch 10, Train Accuracy: 83.67 %, Test Accuracy: 81.85 %
Epoch 11, Train Accuracy: 85.10 %, Test Accuracy: 84.75 %
Epoch 12, Train Accuracy: 85.84 %, Test Accuracy: 84.35 %
Epoch 13, Train Accuracy: 87.06 %, Test Accuracy: 85.28 %
Epoch 14, Train Accuracy: 87.67 %, Test Accuracy: 87.08 %
Epoch 15, Train Accuracy: 88.86 %, Test Accuracy: 86.04 %
Epoch 16, Train Accuracy: 89.69 %, Test Accuracy: 87.22 %
Epoch 17, Train Accuracy: 90.29 %, Test Accuracy: 87.74 %
Epoch 18, Train Accuracy: 91.07 %, Test Accuracy: 87.49 %
Epoch 19, Train Accuracy: 91.77 %, Test Accuracy: 88.85 %
Epoch 20, Train Accuracy: 92.41 %, Test Accuracy: 88.95 %
Epoch 21, Train Accuracy: 92.96 %, Test Accuracy: 88.96 %
Epoch 22, Train Accuracy: 93.30 %, Test Accuracy: 89.35 %
Epoch 23, Train Accuracy: 93.93 %, Test Accuracy: 89.34 %
Epoch 24, Train Accuracy: 94.26 %, Test Accuracy: 89.71 %
Epoch 25, Train Accuracy: 94.45 %, Test Accuracy: 90.45 %
Epoch 26, Train Accuracy: 94.93 %, Test Accuracy: 90.32 %
Epoch 27, Train Accuracy: 94.79 %, Test Accuracy: 90.44 %
Epoch 28, Train Accuracy: 95.11 %, Test Accuracy: 89.94 %
Epoch 29, Train Accuracy: 95.34 %, Test Accuracy: 90.02 %
Epoch 30, Train Accuracy: 95.54 %, Test Accuracy: 90.26 %
Epoch 31, Train Accuracy: 95.64 %, Test Accuracy: 90.58 %
Epoch 32, Train Accuracy: 95.77 %, Test Accuracy: 90.34 %
Epoch 33, Train Accuracy: 95.86 %, Test Accuracy: 90.39 %
Epoch 34, Train Accuracy: 95.84 %, Test Accuracy: 90.49 %
Epoch 35, Train Accuracy: 96.04 %, Test Accuracy: 90.36 %
Epoch 36, Train Accuracy: 96.01 %, Test Accuracy: 90.42 %
Epoch 37, Train Accuracy: 96.27 %, Test Accuracy: 90.18 %
Epoch 38, Train Accuracy: 96.35 %, Test Accuracy: 90.74 %
Epoch 39, Train Accuracy: 96.46 %, Test Accuracy: 90.61 %
Epoch 40, Train Accuracy: 96.55 %, Test Accuracy: 90.81 %
Epoch 41, Train Accuracy: 96.58 %, Test Accuracy: 91.18 %
Epoch 42, Train Accuracy: 96.71 %, Test Accuracy: 90.56 %
Epoch 43, Train Accuracy: 96.69 %, Test Accuracy: 91.02 %
Epoch 44, Train Accuracy: 96.81 %, Test Accuracy: 90.94 %
Epoch 45, Train Accuracy: 97.14 %, Test Accuracy: 90.82 %
Epoch 46, Train Accuracy: 96.92 %, Test Accuracy: 91.04 %
Epoch 47, Train Accuracy: 97.06 %, Test Accuracy: 90.86 %
Epoch 48, Train Accuracy: 97.12 %, Test Accuracy: 91.10 %
Epoch 49, Train Accuracy: 97.17 %, Test Accuracy: 90.76 %
Epoch 50, Train Accuracy: 97.31 %, Test Accuracy: 91.23 %
Epoch 51, Train Accuracy: 97.49 %, Test Accuracy: 91.23 %
Epoch 52, Train Accuracy: 97.44 %, Test Accuracy: 90.80 %
Epoch 53, Train Accuracy: 97.58 %, Test Accuracy: 91.02 %
Epoch 54, Train Accuracy: 97.65 %, Test Accuracy: 91.18 %
Epoch 55, Train Accuracy: 97.76 %, Test Accuracy: 90.97 %
Epoch 56, Train Accuracy: 97.73 %, Test Accuracy: 91.29 %
Epoch 57, Train Accuracy: 97.73 %, Test Accuracy: 90.91 %
Epoch 58, Train Accuracy: 97.90 %, Test Accuracy: 91.12 %
Epoch 59, Train Accuracy: 97.85 %, Test Accuracy: 91.37 %
Epoch 60, Train Accuracy: 98.03 %, Test Accuracy: 90.92 %
Epoch 61, Train Accuracy: 98.04 %, Test Accuracy: 91.09 %
Epoch 62, Train Accuracy: 98.06 %, Test Accuracy: 90.93 %
Epoch 63, Train Accuracy: 98.16 %, Test Accuracy: 91.21 %
Epoch 64, Train Accuracy: 98.29 %, Test Accuracy: 91.26 %
Epoch 65, Train Accuracy: 98.29 %, Test Accuracy: 91.07 %
Epoch 66, Train Accuracy: 98.32 %, Test Accuracy: 91.45 %
Epoch 67, Train Accuracy: 98.43 %, Test Accuracy: 91.27 %
Epoch 68, Train Accuracy: 98.33 %, Test Accuracy: 91.60 %
Epoch 69, Train Accuracy: 98.44 %, Test Accuracy: 91.16 %
Epoch 70, Train Accuracy: 98.58 %, Test Accuracy: 91.41 %
Epoch 71, Train Accuracy: 98.54 %, Test Accuracy: 91.38 %
Epoch 72, Train Accuracy: 98.58 %, Test Accuracy: 91.27 %
Epoch 73, Train Accuracy: 98.61 %, Test Accuracy: 91.32 %
Epoch 74, Train Accuracy: 98.79 %, Test Accuracy: 91.28 %
Epoch 75, Train Accuracy: 98.71 %, Test Accuracy: 91.20 %
Epoch 76, Train Accuracy: 98.71 %, Test Accuracy: 91.28 %
Epoch 77, Train Accuracy: 98.72 %, Test Accuracy: 91.36 %
Epoch 78, Train Accuracy: 98.89 %, Test Accuracy: 91.36 %
Epoch 79, Train Accuracy: 98.91 %, Test Accuracy: 91.22 %
Epoch 80, Train Accuracy: 98.87 %, Test Accuracy: 91.31 %
Epoch 81, Train Accuracy: 98.92 %, Test Accuracy: 91.36 %
Epoch 82, Train Accuracy: 99.07 %, Test Accuracy: 91.39 %
Epoch 83, Train Accuracy: 98.96 %, Test Accuracy: 91.15 %
Epoch 84, Train Accuracy: 99.11 %, Test Accuracy: 91.42 %
Epoch 85, Train Accuracy: 99.10 %, Test Accuracy: 91.54 %
Epoch 86, Train Accuracy: 99.02 %, Test Accuracy: 91.31 %
Epoch 87, Train Accuracy: 99.13 %, Test Accuracy: 91.20 %
Epoch 88, Train Accuracy: 99.11 %, Test Accuracy: 91.42 %
Epoch 89, Train Accuracy: 99.07 %, Test Accuracy: 91.25 %
Epoch 90, Train Accuracy: 99.06 %, Test Accuracy: 91.50 %
Epoch 91, Train Accuracy: 99.18 %, Test Accuracy: 91.33 %
Epoch 92, Train Accuracy: 99.10 %, Test Accuracy: 91.30 %
Epoch 93, Train Accuracy: 99.26 %, Test Accuracy: 91.44 %
Epoch 94, Train Accuracy: 99.18 %, Test Accuracy: 91.55 %
Epoch 95, Train Accuracy: 99.23 %, Test Accuracy: 91.46 %
Epoch 96, Train Accuracy: 99.21 %, Test Accuracy: 91.29 %
Epoch 97, Train Accuracy: 99.24 %, Test Accuracy: 91.37 %
Epoch 98, Train Accuracy: 99.30 %, Test Accuracy: 91.39 %
Epoch 99, Train Accuracy: 99.24 %, Test Accuracy: 91.52 %
42  minutes
RUN_DONE
