NODE=[HOST_e8d809bd94] | JOB=rs-lay-1e4-s3 4700387
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR10 --NN-name ResNet18 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-4 --alpha0 1e-3 --num-epochs 100 --stepsize-groups layerwise --seed 3 --save-directory cluster/Account1/metaopt/runs/rs --run-name rs-lay-1e4-s3
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=none LAM=na ETA_RATIO=na COS_TOTAL=default COS_WARMUP=default
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account1/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 22.66 %, Test Accuracy: 31.24 %
Epoch 1, Train Accuracy: 35.01 %, Test Accuracy: 39.46 %
Epoch 2, Train Accuracy: 40.77 %, Test Accuracy: 43.67 %
Epoch 3, Train Accuracy: 45.00 %, Test Accuracy: 48.83 %
Epoch 4, Train Accuracy: 48.73 %, Test Accuracy: 51.13 %
Epoch 5, Train Accuracy: 52.51 %, Test Accuracy: 55.30 %
Epoch 6, Train Accuracy: 56.39 %, Test Accuracy: 60.62 %
Epoch 7, Train Accuracy: 60.34 %, Test Accuracy: 61.72 %
Epoch 8, Train Accuracy: 62.96 %, Test Accuracy: 64.27 %
Epoch 9, Train Accuracy: 66.13 %, Test Accuracy: 66.80 %
Epoch 10, Train Accuracy: 68.24 %, Test Accuracy: 70.03 %
Epoch 11, Train Accuracy: 70.72 %, Test Accuracy: 70.32 %
Epoch 12, Train Accuracy: 73.12 %, Test Accuracy: 73.86 %
Epoch 13, Train Accuracy: 75.15 %, Test Accuracy: 74.15 %
Epoch 14, Train Accuracy: 77.36 %, Test Accuracy: 77.66 %
Epoch 15, Train Accuracy: 79.22 %, Test Accuracy: 78.04 %
Epoch 16, Train Accuracy: 80.24 %, Test Accuracy: 80.15 %
Epoch 17, Train Accuracy: 81.83 %, Test Accuracy: 81.83 %
Epoch 18, Train Accuracy: 82.78 %, Test Accuracy: 81.71 %
Epoch 19, Train Accuracy: 83.75 %, Test Accuracy: 81.55 %
Epoch 20, Train Accuracy: 84.63 %, Test Accuracy: 83.34 %
Epoch 21, Train Accuracy: 85.66 %, Test Accuracy: 82.83 %
Epoch 22, Train Accuracy: 86.40 %, Test Accuracy: 83.83 %
Epoch 23, Train Accuracy: 86.92 %, Test Accuracy: 83.59 %
Epoch 24, Train Accuracy: 87.50 %, Test Accuracy: 85.87 %
Epoch 25, Train Accuracy: 88.42 %, Test Accuracy: 85.57 %
Epoch 26, Train Accuracy: 88.74 %, Test Accuracy: 85.41 %
Epoch 27, Train Accuracy: 89.33 %, Test Accuracy: 86.47 %
Epoch 28, Train Accuracy: 90.15 %, Test Accuracy: 85.88 %
Epoch 29, Train Accuracy: 90.83 %, Test Accuracy: 86.69 %
Epoch 30, Train Accuracy: 91.06 %, Test Accuracy: 87.64 %
Epoch 31, Train Accuracy: 91.54 %, Test Accuracy: 88.83 %
Epoch 32, Train Accuracy: 92.17 %, Test Accuracy: 88.76 %
Epoch 33, Train Accuracy: 92.26 %, Test Accuracy: 88.18 %
Epoch 34, Train Accuracy: 92.89 %, Test Accuracy: 88.55 %
Epoch 35, Train Accuracy: 93.08 %, Test Accuracy: 89.05 %
Epoch 36, Train Accuracy: 93.86 %, Test Accuracy: 88.65 %
Epoch 37, Train Accuracy: 93.78 %, Test Accuracy: 89.65 %
Epoch 38, Train Accuracy: 94.16 %, Test Accuracy: 89.37 %
Epoch 39, Train Accuracy: 94.10 %, Test Accuracy: 89.32 %
Epoch 40, Train Accuracy: 94.72 %, Test Accuracy: 90.24 %
Epoch 41, Train Accuracy: 95.38 %, Test Accuracy: 88.99 %
Epoch 42, Train Accuracy: 95.38 %, Test Accuracy: 90.18 %
Epoch 43, Train Accuracy: 95.62 %, Test Accuracy: 90.77 %
Epoch 44, Train Accuracy: 95.88 %, Test Accuracy: 91.19 %
Epoch 45, Train Accuracy: 96.00 %, Test Accuracy: 91.42 %
Epoch 46, Train Accuracy: 96.65 %, Test Accuracy: 90.80 %
Epoch 47, Train Accuracy: 96.37 %, Test Accuracy: 90.32 %
Epoch 48, Train Accuracy: 96.74 %, Test Accuracy: 91.12 %
Epoch 49, Train Accuracy: 97.12 %, Test Accuracy: 91.39 %
Epoch 50, Train Accuracy: 96.92 %, Test Accuracy: 91.83 %
Epoch 51, Train Accuracy: 97.44 %, Test Accuracy: 90.77 %
Epoch 52, Train Accuracy: 97.62 %, Test Accuracy: 91.48 %
Epoch 53, Train Accuracy: 97.63 %, Test Accuracy: 91.73 %
Epoch 54, Train Accuracy: 97.78 %, Test Accuracy: 91.48 %
Epoch 55, Train Accuracy: 98.07 %, Test Accuracy: 91.62 %
Epoch 56, Train Accuracy: 98.17 %, Test Accuracy: 92.11 %
Epoch 57, Train Accuracy: 98.29 %, Test Accuracy: 91.65 %
Epoch 58, Train Accuracy: 98.43 %, Test Accuracy: 92.13 %
Epoch 59, Train Accuracy: 98.39 %, Test Accuracy: 92.25 %
Epoch 60, Train Accuracy: 98.49 %, Test Accuracy: 91.76 %
Epoch 61, Train Accuracy: 98.58 %, Test Accuracy: 92.13 %
Epoch 62, Train Accuracy: 98.60 %, Test Accuracy: 92.02 %
Epoch 63, Train Accuracy: 98.72 %, Test Accuracy: 92.16 %
Epoch 64, Train Accuracy: 98.90 %, Test Accuracy: 91.88 %
Epoch 65, Train Accuracy: 98.94 %, Test Accuracy: 92.28 %
Epoch 66, Train Accuracy: 99.03 %, Test Accuracy: 92.43 %
Epoch 67, Train Accuracy: 99.11 %, Test Accuracy: 91.98 %
Epoch 68, Train Accuracy: 99.01 %, Test Accuracy: 92.29 %
Epoch 69, Train Accuracy: 99.15 %, Test Accuracy: 92.42 %
Epoch 70, Train Accuracy: 99.19 %, Test Accuracy: 91.98 %
Epoch 71, Train Accuracy: 99.19 %, Test Accuracy: 92.44 %
Epoch 72, Train Accuracy: 99.17 %, Test Accuracy: 92.72 %
Epoch 73, Train Accuracy: 99.23 %, Test Accuracy: 92.59 %
Epoch 74, Train Accuracy: 99.35 %, Test Accuracy: 92.74 %
Epoch 75, Train Accuracy: 99.39 %, Test Accuracy: 92.68 %
Epoch 76, Train Accuracy: 99.45 %, Test Accuracy: 92.22 %
Epoch 77, Train Accuracy: 99.40 %, Test Accuracy: 92.86 %
Epoch 78, Train Accuracy: 99.38 %, Test Accuracy: 92.42 %
Epoch 79, Train Accuracy: 99.57 %, Test Accuracy: 92.71 %
Epoch 80, Train Accuracy: 99.54 %, Test Accuracy: 92.67 %
Epoch 81, Train Accuracy: 99.48 %, Test Accuracy: 92.44 %
Epoch 82, Train Accuracy: 99.52 %, Test Accuracy: 92.74 %
Epoch 83, Train Accuracy: 99.47 %, Test Accuracy: 92.42 %
Epoch 84, Train Accuracy: 99.60 %, Test Accuracy: 92.98 %
Epoch 85, Train Accuracy: 99.66 %, Test Accuracy: 92.83 %
Epoch 86, Train Accuracy: 99.70 %, Test Accuracy: 93.05 %
Epoch 87, Train Accuracy: 99.65 %, Test Accuracy: 92.99 %
Epoch 88, Train Accuracy: 99.70 %, Test Accuracy: 93.00 %
Epoch 89, Train Accuracy: 99.68 %, Test Accuracy: 93.19 %
Epoch 90, Train Accuracy: 99.69 %, Test Accuracy: 92.58 %
Epoch 91, Train Accuracy: 99.73 %, Test Accuracy: 92.84 %
Epoch 92, Train Accuracy: 99.73 %, Test Accuracy: 93.00 %
Epoch 93, Train Accuracy: 99.70 %, Test Accuracy: 92.72 %
Epoch 94, Train Accuracy: 99.67 %, Test Accuracy: 92.91 %
Epoch 95, Train Accuracy: 99.76 %, Test Accuracy: 92.97 %
Epoch 96, Train Accuracy: 99.75 %, Test Accuracy: 93.02 %
Epoch 97, Train Accuracy: 99.75 %, Test Accuracy: 93.22 %
Epoch 98, Train Accuracy: 99.74 %, Test Accuracy: 93.03 %
Epoch 99, Train Accuracy: 99.79 %, Test Accuracy: 92.91 %
31  minutes
RUN_DONE
