NODE=[HOST_e223b82d71] | JOB=rs-lay-3e5-s1 4700365
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR10 --NN-name ResNet18 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 3e-5 --alpha0 1e-3 --num-epochs 100 --stepsize-groups layerwise --seed 1 --save-directory cluster/Account1/metaopt/runs/rs --run-name rs-lay-3e5-s1
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=none LAM=na ETA_RATIO=na COS_TOTAL=default COS_WARMUP=default
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account1/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 20.83 %, Test Accuracy: 29.86 %
Epoch 1, Train Accuracy: 34.54 %, Test Accuracy: 39.08 %
Epoch 2, Train Accuracy: 41.07 %, Test Accuracy: 44.43 %
Epoch 3, Train Accuracy: 45.37 %, Test Accuracy: 48.48 %
Epoch 4, Train Accuracy: 49.05 %, Test Accuracy: 52.16 %
Epoch 5, Train Accuracy: 52.62 %, Test Accuracy: 55.27 %
Epoch 6, Train Accuracy: 55.26 %, Test Accuracy: 56.65 %
Epoch 7, Train Accuracy: 58.33 %, Test Accuracy: 58.53 %
Epoch 8, Train Accuracy: 61.07 %, Test Accuracy: 60.78 %
Epoch 9, Train Accuracy: 63.28 %, Test Accuracy: 63.15 %
Epoch 10, Train Accuracy: 66.19 %, Test Accuracy: 65.53 %
Epoch 11, Train Accuracy: 68.13 %, Test Accuracy: 68.91 %
Epoch 12, Train Accuracy: 69.78 %, Test Accuracy: 70.64 %
Epoch 13, Train Accuracy: 71.32 %, Test Accuracy: 71.38 %
Epoch 14, Train Accuracy: 73.72 %, Test Accuracy: 73.68 %
Epoch 15, Train Accuracy: 75.17 %, Test Accuracy: 75.14 %
Epoch 16, Train Accuracy: 77.14 %, Test Accuracy: 76.73 %
Epoch 17, Train Accuracy: 78.73 %, Test Accuracy: 77.60 %
Epoch 18, Train Accuracy: 79.83 %, Test Accuracy: 78.41 %
Epoch 19, Train Accuracy: 80.98 %, Test Accuracy: 80.10 %
Epoch 20, Train Accuracy: 81.93 %, Test Accuracy: 80.65 %
Epoch 21, Train Accuracy: 82.79 %, Test Accuracy: 80.76 %
Epoch 22, Train Accuracy: 83.73 %, Test Accuracy: 80.80 %
Epoch 23, Train Accuracy: 84.19 %, Test Accuracy: 81.31 %
Epoch 24, Train Accuracy: 84.63 %, Test Accuracy: 82.93 %
Epoch 25, Train Accuracy: 85.68 %, Test Accuracy: 83.07 %
Epoch 26, Train Accuracy: 86.33 %, Test Accuracy: 83.81 %
Epoch 27, Train Accuracy: 86.59 %, Test Accuracy: 83.88 %
Epoch 28, Train Accuracy: 86.94 %, Test Accuracy: 85.25 %
Epoch 29, Train Accuracy: 87.87 %, Test Accuracy: 85.34 %
Epoch 30, Train Accuracy: 87.94 %, Test Accuracy: 84.66 %
Epoch 31, Train Accuracy: 88.46 %, Test Accuracy: 84.79 %
Epoch 32, Train Accuracy: 88.73 %, Test Accuracy: 85.09 %
Epoch 33, Train Accuracy: 89.15 %, Test Accuracy: 86.17 %
