NODE=[HOST_e8d809bd94] | JOB=rs-lay-frz-s2 4700398
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR10 --NN-name ResNet18 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-8 --alpha0 1e-3 --num-epochs 100 --stepsize-groups layerwise --seed 2 --save-directory cluster/Account1/metaopt/runs/rs --run-name rs-lay-frz-s2
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=none LAM=na ETA_RATIO=na COS_TOTAL=default COS_WARMUP=default
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account1/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 21.47 %, Test Accuracy: 29.77 %
Epoch 1, Train Accuracy: 34.41 %, Test Accuracy: 38.42 %
Epoch 2, Train Accuracy: 40.54 %, Test Accuracy: 43.77 %
Epoch 3, Train Accuracy: 44.85 %, Test Accuracy: 47.39 %
Epoch 4, Train Accuracy: 48.87 %, Test Accuracy: 51.38 %
Epoch 5, Train Accuracy: 52.33 %, Test Accuracy: 53.67 %
Epoch 6, Train Accuracy: 55.06 %, Test Accuracy: 56.58 %
Epoch 7, Train Accuracy: 57.37 %, Test Accuracy: 57.94 %
Epoch 8, Train Accuracy: 60.21 %, Test Accuracy: 59.78 %
Epoch 9, Train Accuracy: 62.21 %, Test Accuracy: 60.18 %
Epoch 10, Train Accuracy: 64.13 %, Test Accuracy: 64.48 %
Epoch 11, Train Accuracy: 66.85 %, Test Accuracy: 66.42 %
Epoch 12, Train Accuracy: 68.22 %, Test Accuracy: 66.79 %
Epoch 13, Train Accuracy: 68.87 %, Test Accuracy: 69.96 %
Epoch 14, Train Accuracy: 71.21 %, Test Accuracy: 71.67 %
Epoch 15, Train Accuracy: 72.38 %, Test Accuracy: 71.10 %
Epoch 16, Train Accuracy: 73.81 %, Test Accuracy: 74.20 %
Epoch 17, Train Accuracy: 75.16 %, Test Accuracy: 74.66 %
Epoch 18, Train Accuracy: 76.10 %, Test Accuracy: 75.49 %
Epoch 19, Train Accuracy: 77.68 %, Test Accuracy: 77.30 %
Epoch 20, Train Accuracy: 78.86 %, Test Accuracy: 77.82 %
Epoch 21, Train Accuracy: 79.72 %, Test Accuracy: 78.71 %
Epoch 22, Train Accuracy: 80.36 %, Test Accuracy: 79.57 %
Epoch 23, Train Accuracy: 81.11 %, Test Accuracy: 79.92 %
Epoch 24, Train Accuracy: 82.16 %, Test Accuracy: 80.34 %
Epoch 25, Train Accuracy: 83.10 %, Test Accuracy: 81.31 %
Epoch 26, Train Accuracy: 83.37 %, Test Accuracy: 81.70 %
Epoch 27, Train Accuracy: 83.99 %, Test Accuracy: 81.81 %
Epoch 28, Train Accuracy: 84.90 %, Test Accuracy: 82.82 %
Epoch 29, Train Accuracy: 84.86 %, Test Accuracy: 83.86 %
Epoch 30, Train Accuracy: 85.97 %, Test Accuracy: 84.55 %
Epoch 31, Train Accuracy: 85.86 %, Test Accuracy: 82.45 %
Epoch 32, Train Accuracy: 86.42 %, Test Accuracy: 85.20 %
Epoch 33, Train Accuracy: 87.11 %, Test Accuracy: 83.98 %
Epoch 34, Train Accuracy: 87.68 %, Test Accuracy: 84.80 %
Epoch 35, Train Accuracy: 87.47 %, Test Accuracy: 85.85 %
Epoch 36, Train Accuracy: 88.12 %, Test Accuracy: 85.95 %
Epoch 37, Train Accuracy: 88.12 %, Test Accuracy: 86.78 %
Epoch 38, Train Accuracy: 88.41 %, Test Accuracy: 86.62 %
Epoch 39, Train Accuracy: 88.83 %, Test Accuracy: 86.47 %
Epoch 40, Train Accuracy: 89.10 %, Test Accuracy: 84.46 %
Epoch 41, Train Accuracy: 89.16 %, Test Accuracy: 85.06 %
Epoch 42, Train Accuracy: 89.29 %, Test Accuracy: 87.32 %
Epoch 43, Train Accuracy: 90.19 %, Test Accuracy: 87.58 %
Epoch 44, Train Accuracy: 90.42 %, Test Accuracy: 87.67 %
Epoch 45, Train Accuracy: 90.01 %, Test Accuracy: 87.41 %
Epoch 46, Train Accuracy: 90.84 %, Test Accuracy: 88.41 %
Epoch 47, Train Accuracy: 90.85 %, Test Accuracy: 88.49 %
Epoch 48, Train Accuracy: 90.79 %, Test Accuracy: 88.30 %
Epoch 49, Train Accuracy: 91.63 %, Test Accuracy: 88.43 %
Epoch 50, Train Accuracy: 91.29 %, Test Accuracy: 87.65 %
Epoch 51, Train Accuracy: 91.77 %, Test Accuracy: 89.31 %
Epoch 52, Train Accuracy: 91.97 %, Test Accuracy: 87.45 %
Epoch 53, Train Accuracy: 91.89 %, Test Accuracy: 89.16 %
Epoch 54, Train Accuracy: 92.47 %, Test Accuracy: 87.72 %
Epoch 55, Train Accuracy: 92.43 %, Test Accuracy: 88.47 %
Epoch 56, Train Accuracy: 92.20 %, Test Accuracy: 89.27 %
Epoch 57, Train Accuracy: 92.40 %, Test Accuracy: 89.70 %
Epoch 58, Train Accuracy: 92.92 %, Test Accuracy: 88.46 %
Epoch 59, Train Accuracy: 93.01 %, Test Accuracy: 89.14 %
Epoch 60, Train Accuracy: 93.01 %, Test Accuracy: 90.68 %
Epoch 61, Train Accuracy: 93.41 %, Test Accuracy: 89.77 %
Epoch 62, Train Accuracy: 93.62 %, Test Accuracy: 89.47 %
Epoch 63, Train Accuracy: 93.51 %, Test Accuracy: 88.60 %
Epoch 64, Train Accuracy: 93.43 %, Test Accuracy: 90.24 %
Epoch 65, Train Accuracy: 94.04 %, Test Accuracy: 90.61 %
Epoch 66, Train Accuracy: 93.78 %, Test Accuracy: 90.11 %
Epoch 67, Train Accuracy: 94.02 %, Test Accuracy: 90.80 %
Epoch 68, Train Accuracy: 94.12 %, Test Accuracy: 90.15 %
Epoch 69, Train Accuracy: 94.08 %, Test Accuracy: 89.73 %
Epoch 70, Train Accuracy: 93.93 %, Test Accuracy: 89.51 %
Epoch 71, Train Accuracy: 94.22 %, Test Accuracy: 90.69 %
Epoch 72, Train Accuracy: 94.37 %, Test Accuracy: 89.89 %
Epoch 73, Train Accuracy: 94.19 %, Test Accuracy: 90.17 %
Epoch 74, Train Accuracy: 94.39 %, Test Accuracy: 91.42 %
Epoch 75, Train Accuracy: 94.44 %, Test Accuracy: 90.05 %
Epoch 76, Train Accuracy: 94.41 %, Test Accuracy: 90.43 %
Epoch 77, Train Accuracy: 94.58 %, Test Accuracy: 88.61 %
Epoch 78, Train Accuracy: 94.29 %, Test Accuracy: 89.67 %
Epoch 79, Train Accuracy: 94.40 %, Test Accuracy: 89.83 %
Epoch 80, Train Accuracy: 94.63 %, Test Accuracy: 90.53 %
Epoch 81, Train Accuracy: 94.54 %, Test Accuracy: 90.66 %
Epoch 82, Train Accuracy: 94.65 %, Test Accuracy: 89.35 %
Epoch 83, Train Accuracy: 94.38 %, Test Accuracy: 89.07 %
Epoch 84, Train Accuracy: 94.48 %, Test Accuracy: 89.65 %
Epoch 85, Train Accuracy: 94.73 %, Test Accuracy: 88.71 %
Epoch 86, Train Accuracy: 94.73 %, Test Accuracy: 88.73 %
Epoch 87, Train Accuracy: 94.56 %, Test Accuracy: 90.65 %
Epoch 88, Train Accuracy: 94.41 %, Test Accuracy: 89.69 %
Epoch 89, Train Accuracy: 94.39 %, Test Accuracy: 91.00 %
Epoch 90, Train Accuracy: 94.82 %, Test Accuracy: 90.56 %
Epoch 91, Train Accuracy: 94.47 %, Test Accuracy: 89.56 %
Epoch 92, Train Accuracy: 94.70 %, Test Accuracy: 90.27 %
Epoch 93, Train Accuracy: 94.89 %, Test Accuracy: 90.36 %
Epoch 94, Train Accuracy: 94.95 %, Test Accuracy: 90.31 %
Epoch 95, Train Accuracy: 94.76 %, Test Accuracy: 90.71 %
Epoch 96, Train Accuracy: 95.12 %, Test Accuracy: 91.36 %
Epoch 97, Train Accuracy: 95.11 %, Test Accuracy: 90.99 %
Epoch 98, Train Accuracy: 95.10 %, Test Accuracy: 90.88 %
Epoch 99, Train Accuracy: 95.06 %, Test Accuracy: 88.34 %
31  minutes
RUN_DONE
