NODE=[HOST_3c1b003035] | JOB=rs-node-1e3-s1 4700416
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR10 --NN-name ResNet18 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-3 --alpha0 1e-3 --num-epochs 100 --stepsize-groups nodewise --seed 1 --save-directory cluster/Account1/metaopt/runs/rs --run-name rs-node-1e3-s1
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=none LAM=na ETA_RATIO=na COS_TOTAL=default COS_WARMUP=default
NVIDIA GeForce RTX 2080 Ti, 11264 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account1/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 21.44 %, Test Accuracy: 31.29 %
Epoch 1, Train Accuracy: 37.29 %, Test Accuracy: 43.66 %
Epoch 2, Train Accuracy: 46.10 %, Test Accuracy: 50.32 %
Epoch 3, Train Accuracy: 52.64 %, Test Accuracy: 55.95 %
Epoch 4, Train Accuracy: 59.34 %, Test Accuracy: 59.80 %
Epoch 5, Train Accuracy: 64.66 %, Test Accuracy: 66.71 %
Epoch 6, Train Accuracy: 68.88 %, Test Accuracy: 70.42 %
Epoch 7, Train Accuracy: 73.10 %, Test Accuracy: 75.08 %
Epoch 8, Train Accuracy: 76.88 %, Test Accuracy: 77.78 %
Epoch 9, Train Accuracy: 79.56 %, Test Accuracy: 79.94 %
Epoch 10, Train Accuracy: 81.70 %, Test Accuracy: 81.49 %
Epoch 11, Train Accuracy: 82.99 %, Test Accuracy: 81.40 %
Epoch 12, Train Accuracy: 83.99 %, Test Accuracy: 82.51 %
Epoch 13, Train Accuracy: 85.38 %, Test Accuracy: 84.78 %
Epoch 14, Train Accuracy: 86.66 %, Test Accuracy: 85.97 %
Epoch 15, Train Accuracy: 87.60 %, Test Accuracy: 86.13 %
Epoch 16, Train Accuracy: 88.86 %, Test Accuracy: 86.46 %
Epoch 17, Train Accuracy: 89.47 %, Test Accuracy: 87.60 %
Epoch 18, Train Accuracy: 90.06 %, Test Accuracy: 86.05 %
Epoch 19, Train Accuracy: 90.54 %, Test Accuracy: 87.49 %
Epoch 20, Train Accuracy: 91.48 %, Test Accuracy: 87.38 %
Epoch 21, Train Accuracy: 92.23 %, Test Accuracy: 87.98 %
Epoch 22, Train Accuracy: 92.54 %, Test Accuracy: 89.18 %
Epoch 23, Train Accuracy: 92.94 %, Test Accuracy: 89.38 %
Epoch 24, Train Accuracy: 93.49 %, Test Accuracy: 88.85 %
Epoch 25, Train Accuracy: 93.86 %, Test Accuracy: 89.85 %
Epoch 26, Train Accuracy: 94.36 %, Test Accuracy: 89.58 %
Epoch 27, Train Accuracy: 94.75 %, Test Accuracy: 90.53 %
Epoch 28, Train Accuracy: 95.29 %, Test Accuracy: 89.83 %
Epoch 29, Train Accuracy: 95.15 %, Test Accuracy: 90.54 %
Epoch 30, Train Accuracy: 95.70 %, Test Accuracy: 90.52 %
Epoch 31, Train Accuracy: 96.04 %, Test Accuracy: 90.79 %
Epoch 32, Train Accuracy: 96.39 %, Test Accuracy: 91.04 %
Epoch 33, Train Accuracy: 96.76 %, Test Accuracy: 90.88 %
Epoch 34, Train Accuracy: 96.85 %, Test Accuracy: 90.84 %
Epoch 35, Train Accuracy: 97.05 %, Test Accuracy: 90.96 %
Epoch 36, Train Accuracy: 97.20 %, Test Accuracy: 91.07 %
Epoch 37, Train Accuracy: 97.24 %, Test Accuracy: 91.20 %
Epoch 38, Train Accuracy: 97.38 %, Test Accuracy: 90.89 %
Epoch 39, Train Accuracy: 97.60 %, Test Accuracy: 90.98 %
slurmstepd-[HOST_3c1b003035]: error: *** JOB 4700416 ON [HOST_3c1b003035] CANCELLED AT 2026-08-20T23:57:59 ***
