NODE=[HOST_7b4dd78541] | JOB=rs-node-3e4-s0 4700405
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR10 --NN-name ResNet18 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 3e-4 --alpha0 1e-3 --num-epochs 100 --stepsize-groups nodewise --seed 0 --save-directory cluster/Account1/metaopt/runs/rs --run-name rs-node-3e4-s0
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=none LAM=na ETA_RATIO=na COS_TOTAL=default COS_WARMUP=default
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account1/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 23.27 %, Test Accuracy: 30.15 %
Epoch 1, Train Accuracy: 34.49 %, Test Accuracy: 38.62 %
Epoch 2, Train Accuracy: 40.47 %, Test Accuracy: 43.71 %
Epoch 3, Train Accuracy: 45.54 %, Test Accuracy: 48.77 %
Epoch 4, Train Accuracy: 50.87 %, Test Accuracy: 53.50 %
Epoch 5, Train Accuracy: 55.71 %, Test Accuracy: 57.85 %
Epoch 6, Train Accuracy: 59.93 %, Test Accuracy: 63.51 %
Epoch 7, Train Accuracy: 63.43 %, Test Accuracy: 65.28 %
Epoch 8, Train Accuracy: 67.42 %, Test Accuracy: 66.42 %
Epoch 9, Train Accuracy: 70.51 %, Test Accuracy: 71.23 %
Epoch 10, Train Accuracy: 73.93 %, Test Accuracy: 74.74 %
Epoch 11, Train Accuracy: 75.94 %, Test Accuracy: 74.39 %
Epoch 12, Train Accuracy: 77.70 %, Test Accuracy: 77.28 %
Epoch 13, Train Accuracy: 79.80 %, Test Accuracy: 79.35 %
Epoch 14, Train Accuracy: 80.86 %, Test Accuracy: 80.75 %
Epoch 15, Train Accuracy: 82.11 %, Test Accuracy: 81.37 %
Epoch 16, Train Accuracy: 83.27 %, Test Accuracy: 82.86 %
Epoch 17, Train Accuracy: 84.40 %, Test Accuracy: 80.05 %
Epoch 18, Train Accuracy: 84.95 %, Test Accuracy: 83.54 %
Epoch 19, Train Accuracy: 86.03 %, Test Accuracy: 83.94 %
Epoch 20, Train Accuracy: 86.77 %, Test Accuracy: 85.04 %
Epoch 21, Train Accuracy: 87.81 %, Test Accuracy: 85.08 %
Epoch 22, Train Accuracy: 88.07 %, Test Accuracy: 85.24 %
Epoch 23, Train Accuracy: 88.46 %, Test Accuracy: 86.46 %
Epoch 24, Train Accuracy: 89.03 %, Test Accuracy: 87.11 %
Epoch 25, Train Accuracy: 90.13 %, Test Accuracy: 87.90 %
Epoch 26, Train Accuracy: 90.50 %, Test Accuracy: 87.61 %
Epoch 27, Train Accuracy: 90.58 %, Test Accuracy: 86.96 %
Epoch 28, Train Accuracy: 91.46 %, Test Accuracy: 88.20 %
Epoch 29, Train Accuracy: 92.13 %, Test Accuracy: 88.83 %
Epoch 30, Train Accuracy: 92.48 %, Test Accuracy: 88.36 %
Epoch 31, Train Accuracy: 92.58 %, Test Accuracy: 88.57 %
Epoch 32, Train Accuracy: 93.09 %, Test Accuracy: 88.16 %
Epoch 33, Train Accuracy: 93.29 %, Test Accuracy: 89.42 %
Epoch 34, Train Accuracy: 93.61 %, Test Accuracy: 89.37 %
Epoch 35, Train Accuracy: 93.93 %, Test Accuracy: 89.23 %
Epoch 36, Train Accuracy: 94.31 %, Test Accuracy: 89.95 %
Epoch 37, Train Accuracy: 94.72 %, Test Accuracy: 90.04 %
Epoch 38, Train Accuracy: 95.06 %, Test Accuracy: 90.33 %
Epoch 39, Train Accuracy: 95.28 %, Test Accuracy: 90.23 %
Epoch 40, Train Accuracy: 95.69 %, Test Accuracy: 89.73 %
