NODE=[HOST_e8d809bd94] | JOB=rs-node-3e4-s1 4700415
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR10 --NN-name ResNet18 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 3e-4 --alpha0 1e-3 --num-epochs 100 --stepsize-groups nodewise --seed 1 --save-directory cluster/Account1/metaopt/runs/rs --run-name rs-node-3e4-s1
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=none LAM=na ETA_RATIO=na COS_TOTAL=default COS_WARMUP=default
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account1/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 21.08 %, Test Accuracy: 30.11 %
Epoch 1, Train Accuracy: 35.51 %, Test Accuracy: 40.35 %
Epoch 2, Train Accuracy: 42.80 %, Test Accuracy: 45.94 %
Epoch 3, Train Accuracy: 47.40 %, Test Accuracy: 50.77 %
Epoch 4, Train Accuracy: 52.44 %, Test Accuracy: 55.24 %
Epoch 5, Train Accuracy: 56.77 %, Test Accuracy: 58.48 %
Epoch 6, Train Accuracy: 60.78 %, Test Accuracy: 62.84 %
Epoch 7, Train Accuracy: 64.57 %, Test Accuracy: 65.80 %
Epoch 8, Train Accuracy: 67.25 %, Test Accuracy: 68.82 %
Epoch 9, Train Accuracy: 71.15 %, Test Accuracy: 71.40 %
Epoch 10, Train Accuracy: 73.98 %, Test Accuracy: 75.26 %
Epoch 11, Train Accuracy: 76.49 %, Test Accuracy: 77.00 %
Epoch 12, Train Accuracy: 78.01 %, Test Accuracy: 78.44 %
Epoch 13, Train Accuracy: 79.76 %, Test Accuracy: 76.68 %
Epoch 14, Train Accuracy: 80.71 %, Test Accuracy: 79.06 %
Epoch 15, Train Accuracy: 82.32 %, Test Accuracy: 82.31 %
Epoch 16, Train Accuracy: 83.41 %, Test Accuracy: 79.78 %
Epoch 17, Train Accuracy: 84.14 %, Test Accuracy: 80.27 %
Epoch 18, Train Accuracy: 85.04 %, Test Accuracy: 82.71 %
Epoch 19, Train Accuracy: 86.13 %, Test Accuracy: 83.40 %
Epoch 20, Train Accuracy: 86.46 %, Test Accuracy: 84.13 %
Epoch 21, Train Accuracy: 87.52 %, Test Accuracy: 84.41 %
Epoch 22, Train Accuracy: 88.22 %, Test Accuracy: 84.89 %
Epoch 23, Train Accuracy: 88.31 %, Test Accuracy: 85.56 %
Epoch 24, Train Accuracy: 89.18 %, Test Accuracy: 87.53 %
Epoch 25, Train Accuracy: 89.94 %, Test Accuracy: 85.86 %
