NODE=[HOST_e8d809bd94] | JOB=rs-scal-1e4-s4 4700389
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR10 --NN-name ResNet18 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-4 --alpha0 1e-3 --num-epochs 100 --stepsize-groups scalar --seed 4 --save-directory cluster/Account1/metaopt/runs/rs --run-name rs-scal-1e4-s4
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=none LAM=na ETA_RATIO=na COS_TOTAL=default COS_WARMUP=default
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account1/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 22.41 %, Test Accuracy: 30.12 %
Epoch 1, Train Accuracy: 35.19 %, Test Accuracy: 39.54 %
Epoch 2, Train Accuracy: 41.09 %, Test Accuracy: 44.68 %
Epoch 3, Train Accuracy: 45.15 %, Test Accuracy: 49.46 %
Epoch 4, Train Accuracy: 49.93 %, Test Accuracy: 52.15 %
Epoch 5, Train Accuracy: 53.81 %, Test Accuracy: 55.82 %
Epoch 6, Train Accuracy: 56.93 %, Test Accuracy: 59.06 %
Epoch 7, Train Accuracy: 60.48 %, Test Accuracy: 60.91 %
Epoch 8, Train Accuracy: 63.24 %, Test Accuracy: 62.32 %
Epoch 9, Train Accuracy: 65.54 %, Test Accuracy: 66.64 %
Epoch 10, Train Accuracy: 67.69 %, Test Accuracy: 66.91 %
Epoch 11, Train Accuracy: 70.50 %, Test Accuracy: 69.76 %
Epoch 12, Train Accuracy: 72.44 %, Test Accuracy: 70.84 %
Epoch 13, Train Accuracy: 74.13 %, Test Accuracy: 73.13 %
Epoch 14, Train Accuracy: 76.13 %, Test Accuracy: 76.97 %
Epoch 15, Train Accuracy: 78.16 %, Test Accuracy: 75.38 %
Epoch 16, Train Accuracy: 79.57 %, Test Accuracy: 78.91 %
Epoch 17, Train Accuracy: 80.50 %, Test Accuracy: 79.45 %
Epoch 18, Train Accuracy: 81.74 %, Test Accuracy: 81.16 %
Epoch 19, Train Accuracy: 82.72 %, Test Accuracy: 80.18 %
Epoch 20, Train Accuracy: 83.75 %, Test Accuracy: 80.50 %
Epoch 21, Train Accuracy: 84.63 %, Test Accuracy: 83.54 %
Epoch 22, Train Accuracy: 85.09 %, Test Accuracy: 82.97 %
Epoch 23, Train Accuracy: 86.17 %, Test Accuracy: 84.39 %
Epoch 24, Train Accuracy: 86.14 %, Test Accuracy: 84.58 %
Epoch 25, Train Accuracy: 86.91 %, Test Accuracy: 85.76 %
Epoch 26, Train Accuracy: 87.61 %, Test Accuracy: 83.65 %
Epoch 27, Train Accuracy: 88.08 %, Test Accuracy: 85.59 %
Epoch 28, Train Accuracy: 88.52 %, Test Accuracy: 85.94 %
Epoch 29, Train Accuracy: 89.17 %, Test Accuracy: 86.34 %
Epoch 30, Train Accuracy: 89.77 %, Test Accuracy: 87.31 %
Epoch 31, Train Accuracy: 90.01 %, Test Accuracy: 87.80 %
Epoch 32, Train Accuracy: 90.47 %, Test Accuracy: 86.53 %
Epoch 33, Train Accuracy: 90.98 %, Test Accuracy: 88.39 %
Epoch 34, Train Accuracy: 91.28 %, Test Accuracy: 87.74 %
Epoch 35, Train Accuracy: 91.62 %, Test Accuracy: 88.37 %
Epoch 36, Train Accuracy: 92.05 %, Test Accuracy: 87.85 %
Epoch 37, Train Accuracy: 92.51 %, Test Accuracy: 88.61 %
Epoch 38, Train Accuracy: 92.89 %, Test Accuracy: 89.04 %
Epoch 39, Train Accuracy: 93.35 %, Test Accuracy: 89.56 %
Epoch 40, Train Accuracy: 93.79 %, Test Accuracy: 89.70 %
Epoch 41, Train Accuracy: 93.90 %, Test Accuracy: 89.79 %
