NODE=[HOST_e8d809bd94] | JOB=sa3-ResNet10-add-s1 4683453 | AUGMENT=1
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR10 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-3 --alpha0 1e-3 --num-epochs 100 --NN-name ResNet10 --stepsize-groups layerwise --seed 1 --save-directory cluster/Account2/metaopt/runs/sca3 --run-name sa3-ResNet10-add-s1
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=additive LAM=na ETA_RATIO=0.06
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account2/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 22.02 %, Test Accuracy: 28.96 %
Epoch 1, Train Accuracy: 33.73 %, Test Accuracy: 36.83 %
Epoch 2, Train Accuracy: 39.92 %, Test Accuracy: 41.19 %
Epoch 3, Train Accuracy: 44.25 %, Test Accuracy: 45.77 %
Epoch 4, Train Accuracy: 49.61 %, Test Accuracy: 50.85 %
Epoch 5, Train Accuracy: 53.77 %, Test Accuracy: 53.68 %
Epoch 6, Train Accuracy: 56.78 %, Test Accuracy: 55.50 %
Epoch 7, Train Accuracy: 60.33 %, Test Accuracy: 57.49 %
Epoch 8, Train Accuracy: 62.93 %, Test Accuracy: 60.69 %
Epoch 9, Train Accuracy: 65.91 %, Test Accuracy: 64.66 %
Epoch 10, Train Accuracy: 69.30 %, Test Accuracy: 67.89 %
Epoch 11, Train Accuracy: 71.61 %, Test Accuracy: 70.37 %
Epoch 12, Train Accuracy: 74.53 %, Test Accuracy: 75.32 %
Epoch 13, Train Accuracy: 76.78 %, Test Accuracy: 77.87 %
Epoch 14, Train Accuracy: 78.57 %, Test Accuracy: 80.29 %
Epoch 15, Train Accuracy: 80.42 %, Test Accuracy: 81.68 %
Epoch 16, Train Accuracy: 81.40 %, Test Accuracy: 82.38 %
Epoch 17, Train Accuracy: 82.55 %, Test Accuracy: 82.59 %
Epoch 18, Train Accuracy: 83.51 %, Test Accuracy: 82.22 %
Epoch 19, Train Accuracy: 84.29 %, Test Accuracy: 84.17 %
Epoch 20, Train Accuracy: 84.96 %, Test Accuracy: 85.12 %
Epoch 21, Train Accuracy: 85.62 %, Test Accuracy: 84.95 %
Epoch 22, Train Accuracy: 86.12 %, Test Accuracy: 86.30 %
Epoch 23, Train Accuracy: 86.53 %, Test Accuracy: 85.67 %
Epoch 24, Train Accuracy: 86.71 %, Test Accuracy: 86.42 %
Epoch 25, Train Accuracy: 87.04 %, Test Accuracy: 85.78 %
Epoch 26, Train Accuracy: 87.24 %, Test Accuracy: 86.52 %
Epoch 27, Train Accuracy: 87.47 %, Test Accuracy: 86.48 %
Epoch 28, Train Accuracy: 87.62 %, Test Accuracy: 86.81 %
Epoch 29, Train Accuracy: 87.83 %, Test Accuracy: 87.55 %
Epoch 30, Train Accuracy: 88.10 %, Test Accuracy: 86.88 %
Epoch 31, Train Accuracy: 88.17 %, Test Accuracy: 87.24 %
Epoch 32, Train Accuracy: 88.39 %, Test Accuracy: 87.31 %
Epoch 33, Train Accuracy: 88.63 %, Test Accuracy: 87.86 %
Epoch 34, Train Accuracy: 88.74 %, Test Accuracy: 87.48 %
Epoch 35, Train Accuracy: 88.80 %, Test Accuracy: 87.37 %
Epoch 36, Train Accuracy: 88.84 %, Test Accuracy: 87.63 %
Epoch 37, Train Accuracy: 89.00 %, Test Accuracy: 87.83 %
Epoch 38, Train Accuracy: 89.02 %, Test Accuracy: 87.38 %
Epoch 39, Train Accuracy: 89.29 %, Test Accuracy: 87.21 %
Epoch 40, Train Accuracy: 89.45 %, Test Accuracy: 87.91 %
Epoch 41, Train Accuracy: 89.33 %, Test Accuracy: 88.03 %
Epoch 42, Train Accuracy: 89.55 %, Test Accuracy: 87.94 %
Epoch 43, Train Accuracy: 89.56 %, Test Accuracy: 88.24 %
Epoch 44, Train Accuracy: 89.79 %, Test Accuracy: 87.44 %
Epoch 45, Train Accuracy: 89.71 %, Test Accuracy: 88.23 %
Epoch 46, Train Accuracy: 89.94 %, Test Accuracy: 88.05 %
Epoch 47, Train Accuracy: 89.96 %, Test Accuracy: 88.27 %
Epoch 48, Train Accuracy: 90.13 %, Test Accuracy: 87.89 %
Epoch 49, Train Accuracy: 90.06 %, Test Accuracy: 88.38 %
Epoch 50, Train Accuracy: 90.32 %, Test Accuracy: 88.24 %
Epoch 51, Train Accuracy: 90.18 %, Test Accuracy: 87.99 %
Epoch 52, Train Accuracy: 90.29 %, Test Accuracy: 88.34 %
Epoch 53, Train Accuracy: 90.42 %, Test Accuracy: 88.52 %
