NODE=[HOST_bcfd0fc19c] | JOB=sa3-ResNet10-add-s2 4683462 | AUGMENT=1
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR10 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-3 --alpha0 1e-3 --num-epochs 100 --NN-name ResNet10 --stepsize-groups layerwise --seed 2 --save-directory cluster/Account2/metaopt/runs/sca3 --run-name sa3-ResNet10-add-s2
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=additive LAM=na ETA_RATIO=0.06
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account2/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 21.27 %, Test Accuracy: 29.00 %
Epoch 1, Train Accuracy: 33.40 %, Test Accuracy: 36.07 %
Epoch 2, Train Accuracy: 39.29 %, Test Accuracy: 42.25 %
Epoch 3, Train Accuracy: 44.21 %, Test Accuracy: 46.89 %
Epoch 4, Train Accuracy: 49.88 %, Test Accuracy: 51.48 %
Epoch 5, Train Accuracy: 54.67 %, Test Accuracy: 54.06 %
Epoch 6, Train Accuracy: 58.75 %, Test Accuracy: 55.90 %
Epoch 7, Train Accuracy: 61.30 %, Test Accuracy: 59.16 %
Epoch 8, Train Accuracy: 63.08 %, Test Accuracy: 60.35 %
Epoch 9, Train Accuracy: 66.74 %, Test Accuracy: 63.82 %
Epoch 10, Train Accuracy: 68.50 %, Test Accuracy: 67.30 %
Epoch 11, Train Accuracy: 72.00 %, Test Accuracy: 71.82 %
Epoch 12, Train Accuracy: 74.48 %, Test Accuracy: 75.75 %
Epoch 13, Train Accuracy: 76.93 %, Test Accuracy: 74.72 %
Epoch 14, Train Accuracy: 78.92 %, Test Accuracy: 78.98 %
Epoch 15, Train Accuracy: 80.31 %, Test Accuracy: 81.33 %
Epoch 16, Train Accuracy: 81.42 %, Test Accuracy: 81.82 %
Epoch 17, Train Accuracy: 82.58 %, Test Accuracy: 82.57 %
Epoch 18, Train Accuracy: 83.22 %, Test Accuracy: 84.15 %
Epoch 19, Train Accuracy: 84.19 %, Test Accuracy: 83.96 %
Epoch 20, Train Accuracy: 84.78 %, Test Accuracy: 84.94 %
Epoch 21, Train Accuracy: 85.24 %, Test Accuracy: 85.08 %
Epoch 22, Train Accuracy: 85.54 %, Test Accuracy: 85.30 %
Epoch 23, Train Accuracy: 86.14 %, Test Accuracy: 85.46 %
Epoch 24, Train Accuracy: 86.48 %, Test Accuracy: 85.95 %
Epoch 25, Train Accuracy: 86.75 %, Test Accuracy: 85.90 %
Epoch 26, Train Accuracy: 87.10 %, Test Accuracy: 86.35 %
Epoch 27, Train Accuracy: 87.24 %, Test Accuracy: 86.50 %
Epoch 28, Train Accuracy: 87.73 %, Test Accuracy: 87.24 %
Epoch 29, Train Accuracy: 87.78 %, Test Accuracy: 86.78 %
Epoch 30, Train Accuracy: 87.98 %, Test Accuracy: 87.54 %
Epoch 31, Train Accuracy: 88.04 %, Test Accuracy: 86.42 %
Epoch 32, Train Accuracy: 88.37 %, Test Accuracy: 86.80 %
Epoch 33, Train Accuracy: 88.38 %, Test Accuracy: 86.85 %
Epoch 34, Train Accuracy: 88.60 %, Test Accuracy: 87.16 %
Epoch 35, Train Accuracy: 88.74 %, Test Accuracy: 87.63 %
Epoch 36, Train Accuracy: 88.86 %, Test Accuracy: 87.41 %
Epoch 37, Train Accuracy: 89.03 %, Test Accuracy: 86.77 %
