NODE=[HOST_3c1b003035] | JOB=sa3-ResNet10-scal-s1 4683451 | AUGMENT=1
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR10 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-3 --alpha0 1e-3 --num-epochs 100 --NN-name ResNet10 --stepsize-groups scalar --seed 1 --save-directory cluster/Account2/metaopt/runs/sca3 --run-name sa3-ResNet10-scal-s1
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=none LAM=na ETA_RATIO=na
NVIDIA GeForce RTX 2080 Ti, 11264 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account2/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 22.18 %, Test Accuracy: 29.64 %
Epoch 1, Train Accuracy: 34.56 %, Test Accuracy: 37.86 %
Epoch 2, Train Accuracy: 41.14 %, Test Accuracy: 42.38 %
Epoch 3, Train Accuracy: 46.56 %, Test Accuracy: 45.60 %
Epoch 4, Train Accuracy: 52.16 %, Test Accuracy: 54.32 %
Epoch 5, Train Accuracy: 57.10 %, Test Accuracy: 57.72 %
Epoch 6, Train Accuracy: 60.14 %, Test Accuracy: 61.24 %
Epoch 7, Train Accuracy: 63.97 %, Test Accuracy: 64.39 %
Epoch 8, Train Accuracy: 65.53 %, Test Accuracy: 65.64 %
Epoch 9, Train Accuracy: 67.12 %, Test Accuracy: 67.26 %
Epoch 10, Train Accuracy: 68.21 %, Test Accuracy: 68.34 %
Epoch 11, Train Accuracy: 68.67 %, Test Accuracy: 68.83 %
Epoch 12, Train Accuracy: 69.03 %, Test Accuracy: 69.13 %
Epoch 13, Train Accuracy: 69.52 %, Test Accuracy: 69.37 %
Epoch 14, Train Accuracy: 69.67 %, Test Accuracy: 69.64 %
Epoch 15, Train Accuracy: 69.93 %, Test Accuracy: 69.70 %
Epoch 16, Train Accuracy: 70.09 %, Test Accuracy: 69.75 %
Epoch 17, Train Accuracy: 69.95 %, Test Accuracy: 69.90 %
Epoch 18, Train Accuracy: 70.05 %, Test Accuracy: 69.88 %
Epoch 19, Train Accuracy: 69.99 %, Test Accuracy: 69.59 %
Epoch 20, Train Accuracy: 69.91 %, Test Accuracy: 69.83 %
Epoch 21, Train Accuracy: 70.08 %, Test Accuracy: 69.86 %
Epoch 22, Train Accuracy: 70.09 %, Test Accuracy: 69.93 %
Epoch 23, Train Accuracy: 69.97 %, Test Accuracy: 69.77 %
Epoch 24, Train Accuracy: 69.99 %, Test Accuracy: 70.03 %
Epoch 25, Train Accuracy: 70.12 %, Test Accuracy: 69.86 %
Epoch 26, Train Accuracy: 70.25 %, Test Accuracy: 69.82 %
Epoch 27, Train Accuracy: 70.16 %, Test Accuracy: 69.93 %
Epoch 28, Train Accuracy: 70.13 %, Test Accuracy: 69.88 %
Epoch 29, Train Accuracy: 70.25 %, Test Accuracy: 69.90 %
Epoch 30, Train Accuracy: 70.35 %, Test Accuracy: 69.90 %
Epoch 31, Train Accuracy: 70.16 %, Test Accuracy: 69.68 %
Epoch 32, Train Accuracy: 70.22 %, Test Accuracy: 69.93 %
Epoch 33, Train Accuracy: 70.15 %, Test Accuracy: 69.88 %
Epoch 34, Train Accuracy: 70.16 %, Test Accuracy: 69.92 %
Epoch 35, Train Accuracy: 70.17 %, Test Accuracy: 69.77 %
Epoch 36, Train Accuracy: 70.03 %, Test Accuracy: 69.67 %
Epoch 37, Train Accuracy: 69.93 %, Test Accuracy: 69.75 %
Epoch 38, Train Accuracy: 70.14 %, Test Accuracy: 69.89 %
Epoch 39, Train Accuracy: 70.21 %, Test Accuracy: 69.98 %
Epoch 40, Train Accuracy: 70.28 %, Test Accuracy: 69.98 %
Epoch 41, Train Accuracy: 69.83 %, Test Accuracy: 69.68 %
Epoch 42, Train Accuracy: 70.27 %, Test Accuracy: 69.79 %
Epoch 43, Train Accuracy: 70.05 %, Test Accuracy: 69.92 %
Epoch 44, Train Accuracy: 70.17 %, Test Accuracy: 69.89 %
Epoch 45, Train Accuracy: 70.09 %, Test Accuracy: 69.94 %
Epoch 46, Train Accuracy: 70.17 %, Test Accuracy: 69.90 %
Epoch 47, Train Accuracy: 70.00 %, Test Accuracy: 69.79 %
Epoch 48, Train Accuracy: 70.23 %, Test Accuracy: 70.00 %
Epoch 49, Train Accuracy: 70.11 %, Test Accuracy: 69.93 %
Epoch 50, Train Accuracy: 70.10 %, Test Accuracy: 69.90 %
Epoch 51, Train Accuracy: 70.00 %, Test Accuracy: 69.93 %
Epoch 52, Train Accuracy: 70.30 %, Test Accuracy: 69.98 %
Epoch 53, Train Accuracy: 70.30 %, Test Accuracy: 69.88 %
Epoch 54, Train Accuracy: 70.19 %, Test Accuracy: 69.92 %
Epoch 55, Train Accuracy: 70.13 %, Test Accuracy: 69.97 %
Epoch 56, Train Accuracy: 70.13 %, Test Accuracy: 69.79 %
Epoch 57, Train Accuracy: 70.16 %, Test Accuracy: 69.71 %
Epoch 58, Train Accuracy: 70.17 %, Test Accuracy: 69.92 %
Epoch 59, Train Accuracy: 70.08 %, Test Accuracy: 69.89 %
Epoch 60, Train Accuracy: 70.16 %, Test Accuracy: 69.96 %
Epoch 61, Train Accuracy: 70.15 %, Test Accuracy: 69.82 %
Epoch 62, Train Accuracy: 70.19 %, Test Accuracy: 69.83 %
Epoch 63, Train Accuracy: 70.19 %, Test Accuracy: 69.76 %
Epoch 64, Train Accuracy: 70.06 %, Test Accuracy: 69.87 %
Epoch 65, Train Accuracy: 70.20 %, Test Accuracy: 69.92 %
Epoch 66, Train Accuracy: 70.11 %, Test Accuracy: 69.86 %
Epoch 67, Train Accuracy: 69.94 %, Test Accuracy: 69.92 %
Epoch 68, Train Accuracy: 70.21 %, Test Accuracy: 69.70 %
Epoch 69, Train Accuracy: 70.27 %, Test Accuracy: 69.98 %
Epoch 70, Train Accuracy: 69.94 %, Test Accuracy: 70.00 %
Epoch 71, Train Accuracy: 69.95 %, Test Accuracy: 69.75 %
Epoch 72, Train Accuracy: 70.30 %, Test Accuracy: 69.83 %
Epoch 73, Train Accuracy: 70.17 %, Test Accuracy: 69.84 %
Epoch 74, Train Accuracy: 70.18 %, Test Accuracy: 69.51 %
Epoch 75, Train Accuracy: 70.08 %, Test Accuracy: 69.79 %
Epoch 76, Train Accuracy: 70.17 %, Test Accuracy: 69.79 %
Epoch 77, Train Accuracy: 70.39 %, Test Accuracy: 70.10 %
Epoch 78, Train Accuracy: 70.07 %, Test Accuracy: 69.96 %
Epoch 79, Train Accuracy: 70.10 %, Test Accuracy: 69.93 %
Epoch 80, Train Accuracy: 70.11 %, Test Accuracy: 69.93 %
Epoch 81, Train Accuracy: 70.17 %, Test Accuracy: 69.85 %
Epoch 82, Train Accuracy: 70.25 %, Test Accuracy: 69.80 %
Epoch 83, Train Accuracy: 70.29 %, Test Accuracy: 69.86 %
Epoch 84, Train Accuracy: 70.10 %, Test Accuracy: 69.78 %
Epoch 85, Train Accuracy: 70.09 %, Test Accuracy: 70.03 %
Epoch 86, Train Accuracy: 70.32 %, Test Accuracy: 69.78 %
Epoch 87, Train Accuracy: 70.06 %, Test Accuracy: 69.82 %
Epoch 88, Train Accuracy: 70.38 %, Test Accuracy: 69.98 %
Epoch 89, Train Accuracy: 70.04 %, Test Accuracy: 70.04 %
Epoch 90, Train Accuracy: 70.08 %, Test Accuracy: 69.94 %
Epoch 91, Train Accuracy: 70.17 %, Test Accuracy: 69.85 %
Epoch 92, Train Accuracy: 70.18 %, Test Accuracy: 70.03 %
Epoch 93, Train Accuracy: 70.18 %, Test Accuracy: 69.77 %
Epoch 94, Train Accuracy: 70.17 %, Test Accuracy: 69.95 %
Epoch 95, Train Accuracy: 70.25 %, Test Accuracy: 69.90 %
Epoch 96, Train Accuracy: 70.28 %, Test Accuracy: 69.82 %
Epoch 97, Train Accuracy: 70.25 %, Test Accuracy: 69.88 %
Epoch 98, Train Accuracy: 70.28 %, Test Accuracy: 70.00 %
Epoch 99, Train Accuracy: 70.28 %, Test Accuracy: 69.94 %
73  minutes
RUN_DONE
