NODE=[HOST_f0845cc956] | JOB=sa3-ResNet34-add-s0 4683450 | AUGMENT=1
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR10 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-3 --alpha0 1e-3 --num-epochs 100 --NN-name ResNet34 --stepsize-groups layerwise --seed 0 --save-directory cluster/Account2/metaopt/runs/sca3 --run-name sa3-ResNet34-add-s0
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=additive LAM=na ETA_RATIO=0.06
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account2/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 20.59 %, Test Accuracy: 32.06 %
Epoch 1, Train Accuracy: 34.95 %, Test Accuracy: 40.20 %
Epoch 2, Train Accuracy: 42.88 %, Test Accuracy: 49.02 %
Epoch 3, Train Accuracy: 51.36 %, Test Accuracy: 55.13 %
Epoch 4, Train Accuracy: 57.92 %, Test Accuracy: 61.57 %
Epoch 5, Train Accuracy: 64.69 %, Test Accuracy: 68.25 %
Epoch 6, Train Accuracy: 69.72 %, Test Accuracy: 71.28 %
Epoch 7, Train Accuracy: 74.45 %, Test Accuracy: 75.04 %
Epoch 8, Train Accuracy: 77.75 %, Test Accuracy: 77.77 %
Epoch 9, Train Accuracy: 80.01 %, Test Accuracy: 79.88 %
Epoch 10, Train Accuracy: 81.83 %, Test Accuracy: 78.41 %
Epoch 11, Train Accuracy: 82.79 %, Test Accuracy: 82.11 %
Epoch 12, Train Accuracy: 84.26 %, Test Accuracy: 83.79 %
Epoch 13, Train Accuracy: 85.25 %, Test Accuracy: 83.16 %
Epoch 14, Train Accuracy: 86.05 %, Test Accuracy: 84.28 %
Epoch 15, Train Accuracy: 86.34 %, Test Accuracy: 82.24 %
