NODE=[HOST_e8d809bd94] | JOB=sa3-ResNet34-layer-s0 4683449 | AUGMENT=1
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR10 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-3 --alpha0 1e-3 --num-epochs 100 --NN-name ResNet34 --stepsize-groups layerwise --seed 0 --save-directory cluster/Account2/metaopt/runs/sca3 --run-name sa3-ResNet34-layer-s0
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=none LAM=na ETA_RATIO=na
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account2/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 20.68 %, Test Accuracy: 32.19 %
Epoch 1, Train Accuracy: 35.98 %, Test Accuracy: 42.20 %
Epoch 2, Train Accuracy: 45.16 %, Test Accuracy: 50.88 %
Epoch 3, Train Accuracy: 54.75 %, Test Accuracy: 59.15 %
Epoch 4, Train Accuracy: 62.62 %, Test Accuracy: 66.07 %
Epoch 5, Train Accuracy: 69.17 %, Test Accuracy: 70.72 %
Epoch 6, Train Accuracy: 73.60 %, Test Accuracy: 74.64 %
Epoch 7, Train Accuracy: 77.53 %, Test Accuracy: 78.64 %
Epoch 8, Train Accuracy: 80.00 %, Test Accuracy: 80.19 %
Epoch 9, Train Accuracy: 82.07 %, Test Accuracy: 81.53 %
Epoch 10, Train Accuracy: 84.04 %, Test Accuracy: 83.02 %
Epoch 11, Train Accuracy: 85.47 %, Test Accuracy: 82.34 %
Epoch 12, Train Accuracy: 86.63 %, Test Accuracy: 84.27 %
Epoch 13, Train Accuracy: 87.77 %, Test Accuracy: 84.74 %
Epoch 14, Train Accuracy: 88.82 %, Test Accuracy: 85.86 %
Epoch 15, Train Accuracy: 89.56 %, Test Accuracy: 86.25 %
Epoch 16, Train Accuracy: 90.50 %, Test Accuracy: 86.83 %
Epoch 17, Train Accuracy: 90.91 %, Test Accuracy: 86.40 %
