NODE=[HOST_bcfd0fc19c] | JOB=sc-ResNet10-add-s1 4683081
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR10 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-3 --alpha0 1e-6 --num-epochs 100 --NN-name ResNet10 --stepsize-groups layerwise --seed 1 --save-directory cluster/Account1/metaopt/runs/sc --run-name sc-ResNet10-add-s1
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=additive LAM=na ETA_RATIO=0.06
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account1/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 10.64 %, Test Accuracy: 9.83 %
Epoch 1, Train Accuracy: 10.70 %, Test Accuracy: 9.86 %
Epoch 2, Train Accuracy: 11.05 %, Test Accuracy: 10.23 %
Epoch 3, Train Accuracy: 11.02 %, Test Accuracy: 10.71 %
Epoch 4, Train Accuracy: 11.71 %, Test Accuracy: 11.55 %
Epoch 5, Train Accuracy: 12.07 %, Test Accuracy: 12.47 %
Epoch 6, Train Accuracy: 13.07 %, Test Accuracy: 13.75 %
Epoch 7, Train Accuracy: 14.41 %, Test Accuracy: 15.20 %
Epoch 8, Train Accuracy: 16.07 %, Test Accuracy: 16.68 %
Epoch 9, Train Accuracy: 18.48 %, Test Accuracy: 18.90 %
Epoch 10, Train Accuracy: 20.72 %, Test Accuracy: 21.70 %
Epoch 11, Train Accuracy: 23.05 %, Test Accuracy: 24.40 %
Epoch 12, Train Accuracy: 26.00 %, Test Accuracy: 26.74 %
Epoch 13, Train Accuracy: 28.72 %, Test Accuracy: 29.38 %
Epoch 14, Train Accuracy: 31.58 %, Test Accuracy: 33.00 %
Epoch 15, Train Accuracy: 33.63 %, Test Accuracy: 35.24 %
Epoch 16, Train Accuracy: 36.26 %, Test Accuracy: 37.62 %
Epoch 17, Train Accuracy: 39.50 %, Test Accuracy: 40.96 %
Epoch 18, Train Accuracy: 42.96 %, Test Accuracy: 44.17 %
Epoch 19, Train Accuracy: 46.45 %, Test Accuracy: 48.41 %
Epoch 20, Train Accuracy: 50.28 %, Test Accuracy: 51.60 %
Epoch 21, Train Accuracy: 53.14 %, Test Accuracy: 53.87 %
Epoch 22, Train Accuracy: 57.01 %, Test Accuracy: 55.67 %
Epoch 23, Train Accuracy: 60.31 %, Test Accuracy: 57.24 %
Epoch 24, Train Accuracy: 62.52 %, Test Accuracy: 62.07 %
Epoch 25, Train Accuracy: 65.16 %, Test Accuracy: 65.11 %
Epoch 26, Train Accuracy: 68.26 %, Test Accuracy: 67.03 %
Epoch 27, Train Accuracy: 71.10 %, Test Accuracy: 68.45 %
Epoch 28, Train Accuracy: 73.06 %, Test Accuracy: 72.29 %
Epoch 29, Train Accuracy: 75.22 %, Test Accuracy: 75.56 %
