NODE=[HOST_f0845cc956] | JOB=sc-ResNet10-layer-s1 4683080
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR10 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-3 --alpha0 1e-6 --num-epochs 100 --NN-name ResNet10 --stepsize-groups layerwise --seed 1 --save-directory cluster/Account1/metaopt/runs/sc --run-name sc-ResNet10-layer-s1
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=none LAM=na ETA_RATIO=na
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account1/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 10.65 %, Test Accuracy: 9.83 %
Epoch 1, Train Accuracy: 10.72 %, Test Accuracy: 9.93 %
Epoch 2, Train Accuracy: 11.11 %, Test Accuracy: 10.34 %
Epoch 3, Train Accuracy: 11.13 %, Test Accuracy: 10.94 %
Epoch 4, Train Accuracy: 11.92 %, Test Accuracy: 12.03 %
Epoch 5, Train Accuracy: 12.56 %, Test Accuracy: 13.21 %
Epoch 6, Train Accuracy: 13.91 %, Test Accuracy: 14.89 %
Epoch 7, Train Accuracy: 16.01 %, Test Accuracy: 16.83 %
Epoch 8, Train Accuracy: 18.19 %, Test Accuracy: 19.21 %
Epoch 9, Train Accuracy: 21.58 %, Test Accuracy: 22.56 %
Epoch 10, Train Accuracy: 24.69 %, Test Accuracy: 25.99 %
Epoch 11, Train Accuracy: 28.14 %, Test Accuracy: 29.27 %
Epoch 12, Train Accuracy: 31.48 %, Test Accuracy: 32.91 %
Epoch 13, Train Accuracy: 35.05 %, Test Accuracy: 36.63 %
Epoch 14, Train Accuracy: 38.82 %, Test Accuracy: 41.30 %
Epoch 15, Train Accuracy: 42.90 %, Test Accuracy: 44.70 %
