NODE=[HOST_f0845cc956] | JOB=sc-ResNet18-add-s2 4683097
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR10 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-3 --alpha0 1e-6 --num-epochs 100 --NN-name ResNet18 --stepsize-groups layerwise --seed 2 --save-directory cluster/Account1/metaopt/runs/sc --run-name sc-ResNet18-add-s2
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=additive LAM=na ETA_RATIO=0.06
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account1/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 10.04 %, Test Accuracy: 10.16 %
Epoch 1, Train Accuracy: 9.98 %, Test Accuracy: 10.24 %
Epoch 2, Train Accuracy: 10.11 %, Test Accuracy: 10.30 %
Epoch 3, Train Accuracy: 10.06 %, Test Accuracy: 10.51 %
Epoch 4, Train Accuracy: 10.58 %, Test Accuracy: 10.60 %
Epoch 5, Train Accuracy: 10.98 %, Test Accuracy: 11.27 %
Epoch 6, Train Accuracy: 12.35 %, Test Accuracy: 12.66 %
Epoch 7, Train Accuracy: 14.22 %, Test Accuracy: 14.99 %
Epoch 8, Train Accuracy: 16.03 %, Test Accuracy: 17.29 %
Epoch 9, Train Accuracy: 18.66 %, Test Accuracy: 20.13 %
Epoch 10, Train Accuracy: 21.60 %, Test Accuracy: 22.51 %
Epoch 11, Train Accuracy: 24.11 %, Test Accuracy: 25.37 %
Epoch 12, Train Accuracy: 27.18 %, Test Accuracy: 28.75 %
Epoch 13, Train Accuracy: 30.68 %, Test Accuracy: 32.79 %
Epoch 14, Train Accuracy: 34.48 %, Test Accuracy: 37.06 %
Epoch 15, Train Accuracy: 37.98 %, Test Accuracy: 40.68 %
Epoch 16, Train Accuracy: 41.52 %, Test Accuracy: 44.04 %
Epoch 17, Train Accuracy: 45.60 %, Test Accuracy: 49.73 %
Epoch 18, Train Accuracy: 50.03 %, Test Accuracy: 52.25 %
Epoch 19, Train Accuracy: 54.56 %, Test Accuracy: 56.97 %
Epoch 20, Train Accuracy: 58.85 %, Test Accuracy: 58.59 %
Epoch 21, Train Accuracy: 63.38 %, Test Accuracy: 63.82 %
Epoch 22, Train Accuracy: 66.91 %, Test Accuracy: 69.20 %
Epoch 23, Train Accuracy: 71.21 %, Test Accuracy: 71.93 %
Epoch 24, Train Accuracy: 74.17 %, Test Accuracy: 74.63 %
Epoch 25, Train Accuracy: 76.33 %, Test Accuracy: 77.36 %
Epoch 26, Train Accuracy: 78.93 %, Test Accuracy: 77.97 %
Epoch 27, Train Accuracy: 79.96 %, Test Accuracy: 75.32 %
Epoch 28, Train Accuracy: 81.82 %, Test Accuracy: 80.30 %
Epoch 29, Train Accuracy: 82.10 %, Test Accuracy: 78.89 %
Epoch 30, Train Accuracy: 82.84 %, Test Accuracy: 81.01 %
Epoch 31, Train Accuracy: 83.78 %, Test Accuracy: 82.14 %
Epoch 32, Train Accuracy: 84.61 %, Test Accuracy: 82.35 %
Epoch 33, Train Accuracy: 85.62 %, Test Accuracy: 84.14 %
Epoch 34, Train Accuracy: 86.98 %, Test Accuracy: 84.70 %
Epoch 35, Train Accuracy: 87.36 %, Test Accuracy: 85.69 %
Epoch 36, Train Accuracy: 88.70 %, Test Accuracy: 87.66 %
Epoch 37, Train Accuracy: 89.14 %, Test Accuracy: 87.56 %
Epoch 38, Train Accuracy: 90.36 %, Test Accuracy: 87.79 %
Epoch 39, Train Accuracy: 91.37 %, Test Accuracy: 89.43 %
Epoch 40, Train Accuracy: 92.11 %, Test Accuracy: 90.20 %
Epoch 41, Train Accuracy: 93.25 %, Test Accuracy: 90.15 %
Epoch 42, Train Accuracy: 93.71 %, Test Accuracy: 90.59 %
Epoch 43, Train Accuracy: 94.48 %, Test Accuracy: 91.23 %
Epoch 44, Train Accuracy: 95.09 %, Test Accuracy: 91.82 %
Epoch 45, Train Accuracy: 95.82 %, Test Accuracy: 92.02 %
Epoch 46, Train Accuracy: 96.46 %, Test Accuracy: 91.86 %
Epoch 47, Train Accuracy: 96.79 %, Test Accuracy: 92.46 %
Epoch 48, Train Accuracy: 97.29 %, Test Accuracy: 92.51 %
Epoch 49, Train Accuracy: 97.60 %, Test Accuracy: 92.32 %
Epoch 50, Train Accuracy: 97.77 %, Test Accuracy: 93.12 %
Epoch 51, Train Accuracy: 98.07 %, Test Accuracy: 92.86 %
Epoch 52, Train Accuracy: 98.20 %, Test Accuracy: 92.91 %
Epoch 53, Train Accuracy: 98.35 %, Test Accuracy: 93.03 %
Epoch 54, Train Accuracy: 98.64 %, Test Accuracy: 92.68 %
Epoch 55, Train Accuracy: 98.73 %, Test Accuracy: 92.82 %
Epoch 56, Train Accuracy: 98.66 %, Test Accuracy: 93.04 %
Epoch 57, Train Accuracy: 98.76 %, Test Accuracy: 92.92 %
Epoch 58, Train Accuracy: 98.81 %, Test Accuracy: 93.03 %
Epoch 59, Train Accuracy: 98.90 %, Test Accuracy: 92.60 %
Epoch 60, Train Accuracy: 98.98 %, Test Accuracy: 93.07 %
Epoch 61, Train Accuracy: 99.08 %, Test Accuracy: 93.37 %
Epoch 62, Train Accuracy: 99.17 %, Test Accuracy: 92.57 %
Epoch 63, Train Accuracy: 99.17 %, Test Accuracy: 93.21 %
Epoch 64, Train Accuracy: 99.23 %, Test Accuracy: 93.18 %
Epoch 65, Train Accuracy: 99.21 %, Test Accuracy: 92.90 %
Epoch 66, Train Accuracy: 99.29 %, Test Accuracy: 92.72 %
Epoch 67, Train Accuracy: 99.27 %, Test Accuracy: 93.15 %
Epoch 68, Train Accuracy: 99.34 %, Test Accuracy: 93.10 %
Epoch 69, Train Accuracy: 99.30 %, Test Accuracy: 93.23 %
Epoch 70, Train Accuracy: 99.35 %, Test Accuracy: 93.25 %
Epoch 71, Train Accuracy: 99.45 %, Test Accuracy: 93.36 %
Epoch 72, Train Accuracy: 99.41 %, Test Accuracy: 93.11 %
Epoch 73, Train Accuracy: 99.40 %, Test Accuracy: 92.70 %
Epoch 74, Train Accuracy: 99.40 %, Test Accuracy: 93.12 %
Epoch 75, Train Accuracy: 99.49 %, Test Accuracy: 93.14 %
Epoch 76, Train Accuracy: 99.48 %, Test Accuracy: 93.12 %
Epoch 77, Train Accuracy: 99.54 %, Test Accuracy: 93.13 %
Epoch 78, Train Accuracy: 99.48 %, Test Accuracy: 93.30 %
Epoch 79, Train Accuracy: 99.61 %, Test Accuracy: 93.51 %
Epoch 80, Train Accuracy: 99.60 %, Test Accuracy: 92.85 %
Epoch 81, Train Accuracy: 99.63 %, Test Accuracy: 93.21 %
Epoch 82, Train Accuracy: 99.60 %, Test Accuracy: 92.86 %
Epoch 83, Train Accuracy: 99.56 %, Test Accuracy: 93.18 %
Epoch 84, Train Accuracy: 99.59 %, Test Accuracy: 93.34 %
Epoch 85, Train Accuracy: 99.62 %, Test Accuracy: 93.26 %
Epoch 86, Train Accuracy: 99.67 %, Test Accuracy: 93.30 %
Epoch 87, Train Accuracy: 99.62 %, Test Accuracy: 92.91 %
Epoch 88, Train Accuracy: 99.62 %, Test Accuracy: 93.22 %
Epoch 89, Train Accuracy: 99.65 %, Test Accuracy: 93.19 %
Epoch 90, Train Accuracy: 99.60 %, Test Accuracy: 93.11 %
Epoch 91, Train Accuracy: 99.69 %, Test Accuracy: 93.03 %
Epoch 92, Train Accuracy: 99.67 %, Test Accuracy: 93.09 %
Epoch 93, Train Accuracy: 99.65 %, Test Accuracy: 93.30 %
Epoch 94, Train Accuracy: 99.72 %, Test Accuracy: 93.32 %
Epoch 95, Train Accuracy: 99.66 %, Test Accuracy: 93.11 %
Epoch 96, Train Accuracy: 99.68 %, Test Accuracy: 93.26 %
Epoch 97, Train Accuracy: 99.69 %, Test Accuracy: 93.36 %
Epoch 98, Train Accuracy: 99.68 %, Test Accuracy: 93.27 %
Epoch 99, Train Accuracy: 99.71 %, Test Accuracy: 93.05 %
30  minutes
RUN_DONE
