NODE=[HOST_7b4dd78541] | JOB=sc-ResNet18-layer-s1 4683092
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR10 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-3 --alpha0 1e-6 --num-epochs 100 --NN-name ResNet18 --stepsize-groups layerwise --seed 1 --save-directory cluster/Account1/metaopt/runs/sc --run-name sc-ResNet18-layer-s1
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=none LAM=na ETA_RATIO=na
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account1/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 9.65 %, Test Accuracy: 9.82 %
Epoch 1, Train Accuracy: 9.51 %, Test Accuracy: 9.86 %
Epoch 2, Train Accuracy: 9.51 %, Test Accuracy: 9.82 %
Epoch 3, Train Accuracy: 9.69 %, Test Accuracy: 9.86 %
Epoch 4, Train Accuracy: 10.09 %, Test Accuracy: 10.40 %
Epoch 5, Train Accuracy: 11.20 %, Test Accuracy: 12.16 %
Epoch 6, Train Accuracy: 14.01 %, Test Accuracy: 15.64 %
Epoch 7, Train Accuracy: 17.22 %, Test Accuracy: 20.51 %
Epoch 8, Train Accuracy: 20.35 %, Test Accuracy: 22.03 %
Epoch 9, Train Accuracy: 22.81 %, Test Accuracy: 24.43 %
Epoch 10, Train Accuracy: 25.79 %, Test Accuracy: 26.71 %
Epoch 11, Train Accuracy: 29.47 %, Test Accuracy: 32.43 %
Epoch 12, Train Accuracy: 34.05 %, Test Accuracy: 37.11 %
Epoch 13, Train Accuracy: 39.58 %, Test Accuracy: 42.98 %
Epoch 14, Train Accuracy: 44.61 %, Test Accuracy: 48.35 %
Epoch 15, Train Accuracy: 49.92 %, Test Accuracy: 53.04 %
Epoch 16, Train Accuracy: 55.84 %, Test Accuracy: 59.66 %
Epoch 17, Train Accuracy: 61.23 %, Test Accuracy: 64.28 %
Epoch 18, Train Accuracy: 67.85 %, Test Accuracy: 68.68 %
Epoch 19, Train Accuracy: 72.30 %, Test Accuracy: 73.79 %
Epoch 20, Train Accuracy: 76.33 %, Test Accuracy: 76.25 %
Epoch 21, Train Accuracy: 78.73 %, Test Accuracy: 79.52 %
Epoch 22, Train Accuracy: 81.10 %, Test Accuracy: 80.71 %
Epoch 23, Train Accuracy: 82.36 %, Test Accuracy: 81.57 %
Epoch 24, Train Accuracy: 83.90 %, Test Accuracy: 83.68 %
Epoch 25, Train Accuracy: 84.92 %, Test Accuracy: 83.42 %
Epoch 26, Train Accuracy: 86.29 %, Test Accuracy: 83.79 %
Epoch 27, Train Accuracy: 86.98 %, Test Accuracy: 84.58 %
Epoch 28, Train Accuracy: 88.07 %, Test Accuracy: 85.02 %
Epoch 29, Train Accuracy: 88.55 %, Test Accuracy: 86.10 %
Epoch 30, Train Accuracy: 89.59 %, Test Accuracy: 86.26 %
Epoch 31, Train Accuracy: 90.14 %, Test Accuracy: 86.59 %
Epoch 32, Train Accuracy: 90.80 %, Test Accuracy: 87.40 %
Epoch 33, Train Accuracy: 91.63 %, Test Accuracy: 87.23 %
Epoch 34, Train Accuracy: 92.05 %, Test Accuracy: 87.42 %
Epoch 35, Train Accuracy: 92.41 %, Test Accuracy: 88.53 %
Epoch 36, Train Accuracy: 92.90 %, Test Accuracy: 88.13 %
Epoch 37, Train Accuracy: 93.27 %, Test Accuracy: 88.01 %
Epoch 38, Train Accuracy: 93.63 %, Test Accuracy: 88.53 %
Epoch 39, Train Accuracy: 94.22 %, Test Accuracy: 88.39 %
Epoch 40, Train Accuracy: 94.68 %, Test Accuracy: 88.90 %
Epoch 41, Train Accuracy: 94.92 %, Test Accuracy: 88.81 %
Epoch 42, Train Accuracy: 94.85 %, Test Accuracy: 89.29 %
Epoch 43, Train Accuracy: 95.56 %, Test Accuracy: 89.40 %
Epoch 44, Train Accuracy: 95.69 %, Test Accuracy: 89.39 %
Epoch 45, Train Accuracy: 95.81 %, Test Accuracy: 88.92 %
Epoch 46, Train Accuracy: 96.30 %, Test Accuracy: 89.42 %
Epoch 47, Train Accuracy: 96.34 %, Test Accuracy: 88.88 %
Epoch 48, Train Accuracy: 96.78 %, Test Accuracy: 88.92 %
Epoch 49, Train Accuracy: 96.79 %, Test Accuracy: 89.71 %
Epoch 50, Train Accuracy: 97.35 %, Test Accuracy: 89.43 %
Epoch 51, Train Accuracy: 97.06 %, Test Accuracy: 89.77 %
Epoch 52, Train Accuracy: 97.44 %, Test Accuracy: 89.71 %
Epoch 53, Train Accuracy: 97.58 %, Test Accuracy: 90.34 %
Epoch 54, Train Accuracy: 97.50 %, Test Accuracy: 89.85 %
Epoch 55, Train Accuracy: 97.77 %, Test Accuracy: 89.30 %
Epoch 56, Train Accuracy: 97.67 %, Test Accuracy: 90.29 %
Epoch 57, Train Accuracy: 98.10 %, Test Accuracy: 89.93 %
Epoch 58, Train Accuracy: 98.15 %, Test Accuracy: 90.21 %
Epoch 59, Train Accuracy: 98.49 %, Test Accuracy: 89.88 %
Epoch 60, Train Accuracy: 98.11 %, Test Accuracy: 90.61 %
Epoch 61, Train Accuracy: 98.44 %, Test Accuracy: 90.23 %
Epoch 62, Train Accuracy: 98.45 %, Test Accuracy: 90.11 %
Epoch 63, Train Accuracy: 98.65 %, Test Accuracy: 90.37 %
Epoch 64, Train Accuracy: 98.83 %, Test Accuracy: 90.58 %
Epoch 65, Train Accuracy: 98.75 %, Test Accuracy: 90.37 %
Epoch 66, Train Accuracy: 98.69 %, Test Accuracy: 90.12 %
Epoch 67, Train Accuracy: 98.98 %, Test Accuracy: 90.07 %
Epoch 68, Train Accuracy: 98.85 %, Test Accuracy: 90.54 %
Epoch 69, Train Accuracy: 99.04 %, Test Accuracy: 90.45 %
Epoch 70, Train Accuracy: 99.15 %, Test Accuracy: 90.14 %
Epoch 71, Train Accuracy: 99.03 %, Test Accuracy: 90.26 %
Epoch 72, Train Accuracy: 99.12 %, Test Accuracy: 90.70 %
Epoch 73, Train Accuracy: 99.14 %, Test Accuracy: 90.83 %
Epoch 74, Train Accuracy: 99.31 %, Test Accuracy: 90.48 %
Epoch 75, Train Accuracy: 99.15 %, Test Accuracy: 90.81 %
Epoch 76, Train Accuracy: 99.15 %, Test Accuracy: 90.62 %
Epoch 77, Train Accuracy: 99.35 %, Test Accuracy: 90.84 %
Epoch 78, Train Accuracy: 99.40 %, Test Accuracy: 90.80 %
