NODE=[HOST_e8d809bd94] | JOB=sc-ResNet18-scal-s1 4683090
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR10 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-3 --alpha0 1e-6 --num-epochs 100 --NN-name ResNet18 --stepsize-groups scalar --seed 1 --save-directory cluster/Account1/metaopt/runs/sc --run-name sc-ResNet18-scal-s1
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=none LAM=na ETA_RATIO=na
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account1/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 9.66 %, Test Accuracy: 9.82 %
Epoch 1, Train Accuracy: 9.51 %, Test Accuracy: 9.87 %
Epoch 2, Train Accuracy: 9.52 %, Test Accuracy: 9.82 %
Epoch 3, Train Accuracy: 9.70 %, Test Accuracy: 9.88 %
Epoch 4, Train Accuracy: 10.10 %, Test Accuracy: 10.41 %
Epoch 5, Train Accuracy: 11.21 %, Test Accuracy: 12.18 %
Epoch 6, Train Accuracy: 14.01 %, Test Accuracy: 15.60 %
Epoch 7, Train Accuracy: 17.21 %, Test Accuracy: 20.54 %
Epoch 8, Train Accuracy: 20.36 %, Test Accuracy: 22.07 %
Epoch 9, Train Accuracy: 22.81 %, Test Accuracy: 24.41 %
Epoch 10, Train Accuracy: 25.80 %, Test Accuracy: 26.86 %
Epoch 11, Train Accuracy: 29.47 %, Test Accuracy: 32.48 %
Epoch 12, Train Accuracy: 33.84 %, Test Accuracy: 37.10 %
Epoch 13, Train Accuracy: 39.05 %, Test Accuracy: 42.61 %
Epoch 14, Train Accuracy: 43.79 %, Test Accuracy: 47.53 %
Epoch 15, Train Accuracy: 49.01 %, Test Accuracy: 50.17 %
Epoch 16, Train Accuracy: 53.89 %, Test Accuracy: 57.40 %
Epoch 17, Train Accuracy: 60.32 %, Test Accuracy: 63.01 %
Epoch 18, Train Accuracy: 67.13 %, Test Accuracy: 66.36 %
Epoch 19, Train Accuracy: 70.88 %, Test Accuracy: 72.57 %
Epoch 20, Train Accuracy: 74.16 %, Test Accuracy: 73.22 %
Epoch 21, Train Accuracy: 76.16 %, Test Accuracy: 76.99 %
Epoch 22, Train Accuracy: 78.43 %, Test Accuracy: 78.72 %
Epoch 23, Train Accuracy: 79.41 %, Test Accuracy: 78.31 %
Epoch 24, Train Accuracy: 80.87 %, Test Accuracy: 80.50 %
Epoch 25, Train Accuracy: 82.02 %, Test Accuracy: 81.44 %
Epoch 26, Train Accuracy: 82.82 %, Test Accuracy: 81.65 %
Epoch 27, Train Accuracy: 83.39 %, Test Accuracy: 82.37 %
Epoch 28, Train Accuracy: 84.03 %, Test Accuracy: 83.55 %
Epoch 29, Train Accuracy: 84.96 %, Test Accuracy: 83.55 %
Epoch 30, Train Accuracy: 85.48 %, Test Accuracy: 83.74 %
Epoch 31, Train Accuracy: 85.73 %, Test Accuracy: 84.33 %
Epoch 32, Train Accuracy: 86.14 %, Test Accuracy: 84.33 %
Epoch 33, Train Accuracy: 86.84 %, Test Accuracy: 85.12 %
Epoch 34, Train Accuracy: 86.84 %, Test Accuracy: 85.09 %
Epoch 35, Train Accuracy: 87.44 %, Test Accuracy: 85.16 %
Epoch 36, Train Accuracy: 87.65 %, Test Accuracy: 85.03 %
Epoch 37, Train Accuracy: 87.84 %, Test Accuracy: 85.19 %
Epoch 38, Train Accuracy: 88.16 %, Test Accuracy: 85.55 %
Epoch 39, Train Accuracy: 88.73 %, Test Accuracy: 85.54 %
Epoch 40, Train Accuracy: 88.69 %, Test Accuracy: 86.31 %
Epoch 41, Train Accuracy: 89.01 %, Test Accuracy: 85.96 %
Epoch 42, Train Accuracy: 89.37 %, Test Accuracy: 85.91 %
Epoch 43, Train Accuracy: 89.26 %, Test Accuracy: 86.27 %
Epoch 44, Train Accuracy: 89.49 %, Test Accuracy: 86.44 %
Epoch 45, Train Accuracy: 89.72 %, Test Accuracy: 86.66 %
Epoch 46, Train Accuracy: 90.12 %, Test Accuracy: 86.59 %
Epoch 47, Train Accuracy: 90.00 %, Test Accuracy: 86.26 %
Epoch 48, Train Accuracy: 90.19 %, Test Accuracy: 86.48 %
Epoch 49, Train Accuracy: 90.26 %, Test Accuracy: 86.99 %
Epoch 50, Train Accuracy: 90.67 %, Test Accuracy: 86.57 %
Epoch 51, Train Accuracy: 90.68 %, Test Accuracy: 86.49 %
Epoch 52, Train Accuracy: 90.94 %, Test Accuracy: 86.85 %
Epoch 53, Train Accuracy: 91.08 %, Test Accuracy: 86.89 %
Epoch 54, Train Accuracy: 90.92 %, Test Accuracy: 86.89 %
Epoch 55, Train Accuracy: 91.32 %, Test Accuracy: 87.13 %
Epoch 56, Train Accuracy: 91.29 %, Test Accuracy: 86.92 %
Epoch 57, Train Accuracy: 91.19 %, Test Accuracy: 86.88 %
Epoch 58, Train Accuracy: 91.51 %, Test Accuracy: 86.78 %
Epoch 59, Train Accuracy: 91.60 %, Test Accuracy: 87.02 %
Epoch 60, Train Accuracy: 91.63 %, Test Accuracy: 87.28 %
Epoch 61, Train Accuracy: 91.81 %, Test Accuracy: 87.13 %
Epoch 62, Train Accuracy: 91.80 %, Test Accuracy: 86.98 %
Epoch 63, Train Accuracy: 91.86 %, Test Accuracy: 87.12 %
Epoch 64, Train Accuracy: 92.08 %, Test Accuracy: 87.10 %
Epoch 65, Train Accuracy: 92.19 %, Test Accuracy: 87.35 %
Epoch 66, Train Accuracy: 92.29 %, Test Accuracy: 87.17 %
Epoch 67, Train Accuracy: 92.24 %, Test Accuracy: 87.27 %
Epoch 68, Train Accuracy: 92.22 %, Test Accuracy: 87.11 %
Epoch 69, Train Accuracy: 92.43 %, Test Accuracy: 87.21 %
Epoch 70, Train Accuracy: 92.58 %, Test Accuracy: 87.37 %
Epoch 71, Train Accuracy: 92.43 %, Test Accuracy: 87.52 %
Epoch 72, Train Accuracy: 92.58 %, Test Accuracy: 87.15 %
Epoch 73, Train Accuracy: 92.71 %, Test Accuracy: 87.18 %
Epoch 74, Train Accuracy: 92.76 %, Test Accuracy: 87.70 %
Epoch 75, Train Accuracy: 92.69 %, Test Accuracy: 87.30 %
Epoch 76, Train Accuracy: 92.61 %, Test Accuracy: 87.30 %
Epoch 77, Train Accuracy: 92.87 %, Test Accuracy: 87.61 %
Epoch 78, Train Accuracy: 92.93 %, Test Accuracy: 87.36 %
Epoch 79, Train Accuracy: 93.05 %, Test Accuracy: 87.61 %
Epoch 80, Train Accuracy: 93.02 %, Test Accuracy: 87.52 %
Epoch 81, Train Accuracy: 93.23 %, Test Accuracy: 87.68 %
Epoch 82, Train Accuracy: 93.28 %, Test Accuracy: 87.60 %
Epoch 83, Train Accuracy: 93.20 %, Test Accuracy: 87.58 %
Epoch 84, Train Accuracy: 93.38 %, Test Accuracy: 87.32 %
Epoch 85, Train Accuracy: 93.24 %, Test Accuracy: 87.94 %
Epoch 86, Train Accuracy: 93.42 %, Test Accuracy: 87.64 %
Epoch 87, Train Accuracy: 93.36 %, Test Accuracy: 87.85 %
Epoch 88, Train Accuracy: 93.46 %, Test Accuracy: 87.75 %
Epoch 89, Train Accuracy: 93.62 %, Test Accuracy: 87.79 %
Epoch 90, Train Accuracy: 93.53 %, Test Accuracy: 87.64 %
Epoch 91, Train Accuracy: 93.52 %, Test Accuracy: 87.56 %
Epoch 92, Train Accuracy: 93.65 %, Test Accuracy: 87.97 %
Epoch 93, Train Accuracy: 93.70 %, Test Accuracy: 87.65 %
Epoch 94, Train Accuracy: 93.80 %, Test Accuracy: 87.58 %
Epoch 95, Train Accuracy: 93.77 %, Test Accuracy: 88.11 %
Epoch 96, Train Accuracy: 93.78 %, Test Accuracy: 87.87 %
Epoch 97, Train Accuracy: 93.86 %, Test Accuracy: 87.78 %
Epoch 98, Train Accuracy: 93.81 %, Test Accuracy: 88.07 %
Epoch 99, Train Accuracy: 94.10 %, Test Accuracy: 87.94 %
42  minutes
RUN_DONE
