NODE=[HOST_e8d809bd94] | JOB=sc-ResNet34-add-s2 4683109
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR10 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-3 --alpha0 1e-6 --num-epochs 100 --NN-name ResNet34 --stepsize-groups layerwise --seed 2 --save-directory cluster/Account1/metaopt/runs/sc --run-name sc-ResNet34-add-s2
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=additive LAM=na ETA_RATIO=0.06
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account1/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 8.12 %, Test Accuracy: 7.80 %
Epoch 1, Train Accuracy: 8.26 %, Test Accuracy: 8.19 %
Epoch 2, Train Accuracy: 8.73 %, Test Accuracy: 8.62 %
Epoch 3, Train Accuracy: 8.88 %, Test Accuracy: 9.28 %
Epoch 4, Train Accuracy: 9.68 %, Test Accuracy: 9.80 %
Epoch 5, Train Accuracy: 10.38 %, Test Accuracy: 10.96 %
Epoch 6, Train Accuracy: 11.81 %, Test Accuracy: 12.64 %
Epoch 7, Train Accuracy: 13.93 %, Test Accuracy: 14.60 %
Epoch 8, Train Accuracy: 15.05 %, Test Accuracy: 16.27 %
Epoch 9, Train Accuracy: 17.11 %, Test Accuracy: 18.20 %
Epoch 10, Train Accuracy: 19.22 %, Test Accuracy: 20.92 %
Epoch 11, Train Accuracy: 21.85 %, Test Accuracy: 23.49 %
Epoch 12, Train Accuracy: 24.93 %, Test Accuracy: 26.73 %
Epoch 13, Train Accuracy: 28.27 %, Test Accuracy: 30.51 %
Epoch 14, Train Accuracy: 31.94 %, Test Accuracy: 35.25 %
Epoch 15, Train Accuracy: 35.88 %, Test Accuracy: 40.48 %
Epoch 16, Train Accuracy: 40.78 %, Test Accuracy: 44.96 %
Epoch 17, Train Accuracy: 45.69 %, Test Accuracy: 49.54 %
Epoch 18, Train Accuracy: 49.96 %, Test Accuracy: 51.75 %
Epoch 19, Train Accuracy: 54.81 %, Test Accuracy: 58.47 %
Epoch 20, Train Accuracy: 59.55 %, Test Accuracy: 62.06 %
Epoch 21, Train Accuracy: 64.15 %, Test Accuracy: 66.64 %
Epoch 22, Train Accuracy: 68.27 %, Test Accuracy: 69.18 %
Epoch 23, Train Accuracy: 72.94 %, Test Accuracy: 74.25 %
Epoch 24, Train Accuracy: 75.93 %, Test Accuracy: 76.28 %
Epoch 25, Train Accuracy: 79.05 %, Test Accuracy: 78.29 %
Epoch 26, Train Accuracy: 81.04 %, Test Accuracy: 79.84 %
Epoch 27, Train Accuracy: 82.85 %, Test Accuracy: 82.42 %
Epoch 28, Train Accuracy: 84.03 %, Test Accuracy: 82.13 %
Epoch 29, Train Accuracy: 85.09 %, Test Accuracy: 82.82 %
Epoch 30, Train Accuracy: 85.95 %, Test Accuracy: 84.05 %
Epoch 31, Train Accuracy: 86.90 %, Test Accuracy: 84.25 %
Epoch 32, Train Accuracy: 87.49 %, Test Accuracy: 85.47 %
Epoch 33, Train Accuracy: 88.30 %, Test Accuracy: 86.30 %
Epoch 34, Train Accuracy: 89.01 %, Test Accuracy: 86.27 %
Epoch 35, Train Accuracy: 89.91 %, Test Accuracy: 87.16 %
Epoch 36, Train Accuracy: 90.26 %, Test Accuracy: 87.07 %
Epoch 37, Train Accuracy: 91.13 %, Test Accuracy: 87.24 %
Epoch 38, Train Accuracy: 91.17 %, Test Accuracy: 86.80 %
Epoch 39, Train Accuracy: 91.84 %, Test Accuracy: 88.68 %
Epoch 40, Train Accuracy: 92.69 %, Test Accuracy: 87.78 %
Epoch 41, Train Accuracy: 92.87 %, Test Accuracy: 88.49 %
Epoch 42, Train Accuracy: 93.80 %, Test Accuracy: 88.26 %
Epoch 43, Train Accuracy: 94.00 %, Test Accuracy: 90.28 %
Epoch 44, Train Accuracy: 94.43 %, Test Accuracy: 90.20 %
