NODE=[HOST_8d6ba568b8] | JOB=sc-ResNet34-add-s4 4683498
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR10 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-3 --num-epochs 100 --alpha0 1e-6 --NN-name ResNet34 --stepsize-groups layerwise --seed 4 --save-directory cluster/Account1/metaopt/runs/sc --run-name sc-ResNet34-add-s4
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=additive LAM=na ETA_RATIO=0.06 COS_TOTAL=default COS_WARMUP=default
NVIDIA GeForce RTX 2080 Ti, 11264 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account1/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 9.88 %, Test Accuracy: 9.97 %
Epoch 1, Train Accuracy: 9.83 %, Test Accuracy: 9.93 %
Epoch 2, Train Accuracy: 9.85 %, Test Accuracy: 9.91 %
Epoch 3, Train Accuracy: 9.98 %, Test Accuracy: 9.84 %
Epoch 4, Train Accuracy: 9.92 %, Test Accuracy: 10.11 %
Epoch 5, Train Accuracy: 10.32 %, Test Accuracy: 10.50 %
Epoch 6, Train Accuracy: 11.83 %, Test Accuracy: 11.84 %
Epoch 7, Train Accuracy: 13.25 %, Test Accuracy: 12.90 %
Epoch 8, Train Accuracy: 14.63 %, Test Accuracy: 13.81 %
Epoch 9, Train Accuracy: 15.68 %, Test Accuracy: 15.43 %
Epoch 10, Train Accuracy: 17.56 %, Test Accuracy: 18.55 %
Epoch 11, Train Accuracy: 20.33 %, Test Accuracy: 22.16 %
Epoch 12, Train Accuracy: 23.76 %, Test Accuracy: 26.65 %
Epoch 13, Train Accuracy: 27.89 %, Test Accuracy: 30.56 %
Epoch 14, Train Accuracy: 31.86 %, Test Accuracy: 35.44 %
Epoch 15, Train Accuracy: 35.55 %, Test Accuracy: 38.77 %
Epoch 16, Train Accuracy: 39.57 %, Test Accuracy: 43.90 %
Epoch 17, Train Accuracy: 44.82 %, Test Accuracy: 47.79 %
Epoch 18, Train Accuracy: 49.05 %, Test Accuracy: 50.66 %
Epoch 19, Train Accuracy: 54.68 %, Test Accuracy: 56.25 %
Epoch 20, Train Accuracy: 58.94 %, Test Accuracy: 59.85 %
Epoch 21, Train Accuracy: 64.38 %, Test Accuracy: 65.91 %
Epoch 22, Train Accuracy: 68.32 %, Test Accuracy: 71.68 %
Epoch 23, Train Accuracy: 73.06 %, Test Accuracy: 72.67 %
Epoch 24, Train Accuracy: 76.34 %, Test Accuracy: 76.83 %
Epoch 25, Train Accuracy: 78.72 %, Test Accuracy: 78.63 %
Epoch 26, Train Accuracy: 80.35 %, Test Accuracy: 79.64 %
Epoch 27, Train Accuracy: 82.03 %, Test Accuracy: 79.48 %
Epoch 28, Train Accuracy: 83.21 %, Test Accuracy: 82.21 %
Epoch 29, Train Accuracy: 84.95 %, Test Accuracy: 82.65 %
Epoch 30, Train Accuracy: 85.71 %, Test Accuracy: 84.57 %
Epoch 31, Train Accuracy: 86.55 %, Test Accuracy: 84.16 %
Epoch 32, Train Accuracy: 87.04 %, Test Accuracy: 83.29 %
Epoch 33, Train Accuracy: 88.13 %, Test Accuracy: 86.30 %
Epoch 34, Train Accuracy: 88.84 %, Test Accuracy: 85.81 %
Epoch 35, Train Accuracy: 89.30 %, Test Accuracy: 83.43 %
Epoch 36, Train Accuracy: 90.14 %, Test Accuracy: 86.60 %
Epoch 37, Train Accuracy: 90.80 %, Test Accuracy: 86.35 %
Epoch 38, Train Accuracy: 91.30 %, Test Accuracy: 88.04 %
Epoch 39, Train Accuracy: 91.82 %, Test Accuracy: 87.89 %
Epoch 40, Train Accuracy: 92.42 %, Test Accuracy: 88.80 %
Epoch 41, Train Accuracy: 92.67 %, Test Accuracy: 89.10 %
Epoch 42, Train Accuracy: 93.40 %, Test Accuracy: 87.45 %
Epoch 43, Train Accuracy: 93.77 %, Test Accuracy: 89.37 %
Epoch 44, Train Accuracy: 94.16 %, Test Accuracy: 89.02 %
Epoch 45, Train Accuracy: 94.80 %, Test Accuracy: 89.39 %
Epoch 46, Train Accuracy: 95.15 %, Test Accuracy: 89.13 %
Epoch 47, Train Accuracy: 95.44 %, Test Accuracy: 89.72 %
Epoch 48, Train Accuracy: 95.78 %, Test Accuracy: 89.54 %
Epoch 49, Train Accuracy: 96.17 %, Test Accuracy: 90.29 %
Epoch 50, Train Accuracy: 96.46 %, Test Accuracy: 90.10 %
Epoch 51, Train Accuracy: 96.64 %, Test Accuracy: 90.74 %
Epoch 52, Train Accuracy: 97.24 %, Test Accuracy: 90.73 %
Epoch 53, Train Accuracy: 97.45 %, Test Accuracy: 90.95 %
Epoch 54, Train Accuracy: 97.63 %, Test Accuracy: 90.88 %
Epoch 55, Train Accuracy: 97.73 %, Test Accuracy: 90.71 %
Epoch 56, Train Accuracy: 97.78 %, Test Accuracy: 90.76 %
Epoch 57, Train Accuracy: 98.12 %, Test Accuracy: 91.25 %
Epoch 58, Train Accuracy: 98.29 %, Test Accuracy: 90.57 %
Epoch 59, Train Accuracy: 98.41 %, Test Accuracy: 91.66 %
Epoch 60, Train Accuracy: 98.53 %, Test Accuracy: 91.56 %
Epoch 61, Train Accuracy: 98.67 %, Test Accuracy: 91.52 %
Epoch 62, Train Accuracy: 98.89 %, Test Accuracy: 91.59 %
Epoch 63, Train Accuracy: 98.83 %, Test Accuracy: 91.55 %
Epoch 64, Train Accuracy: 99.13 %, Test Accuracy: 92.10 %
Epoch 65, Train Accuracy: 99.21 %, Test Accuracy: 91.69 %
Epoch 66, Train Accuracy: 99.25 %, Test Accuracy: 91.73 %
Epoch 67, Train Accuracy: 99.23 %, Test Accuracy: 91.34 %
Epoch 68, Train Accuracy: 99.22 %, Test Accuracy: 91.85 %
Epoch 69, Train Accuracy: 99.30 %, Test Accuracy: 92.05 %
Epoch 70, Train Accuracy: 99.44 %, Test Accuracy: 92.03 %
Epoch 71, Train Accuracy: 99.45 %, Test Accuracy: 91.83 %
Epoch 72, Train Accuracy: 99.46 %, Test Accuracy: 92.30 %
Epoch 73, Train Accuracy: 99.53 %, Test Accuracy: 92.26 %
Epoch 74, Train Accuracy: 99.59 %, Test Accuracy: 92.18 %
Epoch 75, Train Accuracy: 99.66 %, Test Accuracy: 92.11 %
Epoch 76, Train Accuracy: 99.62 %, Test Accuracy: 92.16 %
Epoch 77, Train Accuracy: 99.65 %, Test Accuracy: 92.25 %
