NODE=[HOST_e8d809bd94] | JOB=sc-ResNet34-scal-s3 4683493
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR10 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-3 --num-epochs 100 --alpha0 1e-6 --NN-name ResNet34 --stepsize-groups scalar --seed 3 --save-directory cluster/Account1/metaopt/runs/sc --run-name sc-ResNet34-scal-s3
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=none LAM=na ETA_RATIO=na COS_TOTAL=default COS_WARMUP=default
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account1/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 10.23 %, Test Accuracy: 10.05 %
Epoch 1, Train Accuracy: 10.37 %, Test Accuracy: 9.99 %
Epoch 2, Train Accuracy: 10.31 %, Test Accuracy: 10.34 %
Epoch 3, Train Accuracy: 10.58 %, Test Accuracy: 10.51 %
Epoch 4, Train Accuracy: 11.14 %, Test Accuracy: 10.97 %
Epoch 5, Train Accuracy: 11.80 %, Test Accuracy: 12.59 %
Epoch 6, Train Accuracy: 14.14 %, Test Accuracy: 15.60 %
Epoch 7, Train Accuracy: 16.56 %, Test Accuracy: 16.88 %
Epoch 8, Train Accuracy: 18.82 %, Test Accuracy: 19.30 %
Epoch 9, Train Accuracy: 21.48 %, Test Accuracy: 23.73 %
Epoch 10, Train Accuracy: 25.70 %, Test Accuracy: 28.18 %
Epoch 11, Train Accuracy: 29.78 %, Test Accuracy: 33.32 %
Epoch 12, Train Accuracy: 34.19 %, Test Accuracy: 38.29 %
Epoch 13, Train Accuracy: 38.93 %, Test Accuracy: 42.55 %
Epoch 14, Train Accuracy: 43.56 %, Test Accuracy: 46.70 %
Epoch 15, Train Accuracy: 49.67 %, Test Accuracy: 51.75 %
Epoch 16, Train Accuracy: 55.11 %, Test Accuracy: 60.92 %
Epoch 17, Train Accuracy: 62.13 %, Test Accuracy: 62.79 %
Epoch 18, Train Accuracy: 67.32 %, Test Accuracy: 68.45 %
Epoch 19, Train Accuracy: 72.17 %, Test Accuracy: 73.52 %
Epoch 20, Train Accuracy: 75.42 %, Test Accuracy: 77.54 %
Epoch 21, Train Accuracy: 78.22 %, Test Accuracy: 78.09 %
Epoch 22, Train Accuracy: 80.56 %, Test Accuracy: 80.27 %
Epoch 23, Train Accuracy: 82.05 %, Test Accuracy: 82.51 %
