NODE=[HOST_e223b82d71] | JOB=tc1-b6-a4-s1 4804363 | AUGMENT=1
ARGS: --optimizer HF --alg-base AdamW --normalizer-param-base 0.999 --momentum-param-base 0.9 --weight-decay-base 0.1 --alg-meta Adam --normalizer-param-meta 0.999 --momentum-param-meta 0.9 --weight-decay-meta 0 --dataset CIFAR10 --NN-name ResNet18 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-3 --alpha0 1e-4 --num-epochs 100 --stepsize-groups resnet18_blocks --seed 1 --save-directory cluster/Account2/metaopt/runs/tc1 --run-name tc1-b6-a4-s1
ENV: AUGMENT=1 BETA_CLIP=-30:6.0 HIER=none LAM=na ETA_RATIO=na COS_TOTAL=default COS_WARMUP=default SCHED=none SCHED_TOTAL=none SCHED_WARMUP=none SCHED_MIN=none PROBE=5 PROBE_DIR=cluster/Account2/metaopt/runs/tc1/probe_b6_a4_tc1_s1
NVIDIA L4, 23034 MiB

args_meta includes unnecessary attributes {'Lion_beta2'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account2/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 49.20 %, Test Accuracy: 60.71 %
Epoch 1, Train Accuracy: 68.26 %, Test Accuracy: 66.91 %
Epoch 2, Train Accuracy: 75.33 %, Test Accuracy: 76.36 %
Epoch 3, Train Accuracy: 79.32 %, Test Accuracy: 81.40 %
Epoch 4, Train Accuracy: 81.81 %, Test Accuracy: 80.52 %
Epoch 5, Train Accuracy: 83.66 %, Test Accuracy: 80.44 %
Epoch 6, Train Accuracy: 85.53 %, Test Accuracy: 83.29 %
Epoch 7, Train Accuracy: 87.01 %, Test Accuracy: 85.30 %
Epoch 8, Train Accuracy: 87.81 %, Test Accuracy: 83.77 %
Epoch 9, Train Accuracy: 88.97 %, Test Accuracy: 86.90 %
Epoch 10, Train Accuracy: 89.83 %, Test Accuracy: 84.27 %
Epoch 11, Train Accuracy: 90.18 %, Test Accuracy: 87.55 %
Epoch 12, Train Accuracy: 90.71 %, Test Accuracy: 88.18 %
Epoch 13, Train Accuracy: 91.54 %, Test Accuracy: 88.22 %
Epoch 14, Train Accuracy: 92.21 %, Test Accuracy: 87.17 %
Epoch 15, Train Accuracy: 92.64 %, Test Accuracy: 88.74 %
Epoch 16, Train Accuracy: 93.05 %, Test Accuracy: 89.32 %
Epoch 17, Train Accuracy: 93.63 %, Test Accuracy: 87.23 %
Epoch 18, Train Accuracy: 93.80 %, Test Accuracy: 89.30 %
Epoch 19, Train Accuracy: 94.16 %, Test Accuracy: 86.16 %
Epoch 20, Train Accuracy: 94.44 %, Test Accuracy: 88.65 %
Epoch 21, Train Accuracy: 94.94 %, Test Accuracy: 89.16 %
Epoch 22, Train Accuracy: 95.10 %, Test Accuracy: 89.66 %
Epoch 23, Train Accuracy: 95.51 %, Test Accuracy: 88.41 %
Epoch 24, Train Accuracy: 95.84 %, Test Accuracy: 90.00 %
Epoch 25, Train Accuracy: 95.83 %, Test Accuracy: 89.22 %
Epoch 26, Train Accuracy: 96.23 %, Test Accuracy: 89.78 %
Epoch 27, Train Accuracy: 96.28 %, Test Accuracy: 90.33 %
Epoch 28, Train Accuracy: 96.55 %, Test Accuracy: 90.07 %
Epoch 29, Train Accuracy: 96.67 %, Test Accuracy: 89.21 %
Epoch 30, Train Accuracy: 96.94 %, Test Accuracy: 90.33 %
Epoch 31, Train Accuracy: 97.04 %, Test Accuracy: 90.31 %
Epoch 32, Train Accuracy: 97.10 %, Test Accuracy: 90.19 %
Epoch 33, Train Accuracy: 97.37 %, Test Accuracy: 90.13 %
Epoch 34, Train Accuracy: 97.37 %, Test Accuracy: 90.33 %
Epoch 35, Train Accuracy: 97.66 %, Test Accuracy: 90.11 %
Epoch 36, Train Accuracy: 97.75 %, Test Accuracy: 90.86 %
Epoch 37, Train Accuracy: 97.83 %, Test Accuracy: 90.66 %
Epoch 38, Train Accuracy: 97.87 %, Test Accuracy: 91.10 %
Epoch 39, Train Accuracy: 98.20 %, Test Accuracy: 90.87 %
Epoch 40, Train Accuracy: 98.10 %, Test Accuracy: 90.66 %
Epoch 41, Train Accuracy: 98.21 %, Test Accuracy: 90.49 %
Epoch 42, Train Accuracy: 98.28 %, Test Accuracy: 91.43 %
Epoch 43, Train Accuracy: 98.33 %, Test Accuracy: 91.09 %
Epoch 44, Train Accuracy: 98.40 %, Test Accuracy: 90.98 %
Epoch 45, Train Accuracy: 98.52 %, Test Accuracy: 90.88 %
Epoch 46, Train Accuracy: 98.81 %, Test Accuracy: 91.11 %
Epoch 47, Train Accuracy: 98.65 %, Test Accuracy: 90.81 %
Epoch 48, Train Accuracy: 98.80 %, Test Accuracy: 90.36 %
Epoch 49, Train Accuracy: 98.78 %, Test Accuracy: 91.01 %
Epoch 50, Train Accuracy: 98.87 %, Test Accuracy: 91.58 %
Epoch 51, Train Accuracy: 98.89 %, Test Accuracy: 91.52 %
Epoch 52, Train Accuracy: 98.93 %, Test Accuracy: 92.01 %
Epoch 53, Train Accuracy: 99.00 %, Test Accuracy: 91.47 %
Epoch 54, Train Accuracy: 99.14 %, Test Accuracy: 91.21 %
Epoch 55, Train Accuracy: 99.09 %, Test Accuracy: 91.02 %
Epoch 56, Train Accuracy: 99.17 %, Test Accuracy: 91.18 %
Epoch 57, Train Accuracy: 98.96 %, Test Accuracy: 90.87 %
Epoch 58, Train Accuracy: 99.09 %, Test Accuracy: 90.80 %
Epoch 59, Train Accuracy: 99.24 %, Test Accuracy: 91.26 %
Epoch 60, Train Accuracy: 99.10 %, Test Accuracy: 91.52 %
Epoch 61, Train Accuracy: 99.11 %, Test Accuracy: 91.65 %
Epoch 62, Train Accuracy: 99.14 %, Test Accuracy: 91.37 %
Epoch 63, Train Accuracy: 99.22 %, Test Accuracy: 91.65 %
Epoch 64, Train Accuracy: 99.38 %, Test Accuracy: 91.27 %
Epoch 65, Train Accuracy: 99.35 %, Test Accuracy: 91.56 %
Epoch 66, Train Accuracy: 99.39 %, Test Accuracy: 91.98 %
Epoch 67, Train Accuracy: 99.45 %, Test Accuracy: 91.41 %
Epoch 68, Train Accuracy: 99.34 %, Test Accuracy: 91.64 %
Epoch 69, Train Accuracy: 99.34 %, Test Accuracy: 91.62 %
Epoch 70, Train Accuracy: 99.39 %, Test Accuracy: 91.96 %
Epoch 71, Train Accuracy: 99.55 %, Test Accuracy: 91.35 %
Epoch 72, Train Accuracy: 99.30 %, Test Accuracy: 91.85 %
Epoch 73, Train Accuracy: 99.34 %, Test Accuracy: 91.46 %
Epoch 74, Train Accuracy: 99.54 %, Test Accuracy: 91.75 %
Epoch 75, Train Accuracy: 99.57 %, Test Accuracy: 91.71 %
Epoch 76, Train Accuracy: 99.45 %, Test Accuracy: 91.89 %
Epoch 77, Train Accuracy: 99.61 %, Test Accuracy: 91.26 %
Epoch 78, Train Accuracy: 99.48 %, Test Accuracy: 92.06 %
