NODE=[HOST_b0a55dfb8c] | JOB=tc1-ly-a4-s1 4804364 | AUGMENT=1
ARGS: --optimizer HF --alg-base AdamW --normalizer-param-base 0.999 --momentum-param-base 0.9 --weight-decay-base 0.1 --alg-meta Adam --normalizer-param-meta 0.999 --momentum-param-meta 0.9 --weight-decay-meta 0 --dataset CIFAR10 --NN-name ResNet18 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-3 --alpha0 1e-4 --num-epochs 100 --stepsize-groups layerwise --seed 1 --save-directory cluster/Account2/metaopt/runs/tc1 --run-name tc1-ly-a4-s1
ENV: AUGMENT=1 BETA_CLIP=-30:6.0 HIER=none LAM=na ETA_RATIO=na COS_TOTAL=default COS_WARMUP=default SCHED=none SCHED_TOTAL=none SCHED_WARMUP=none SCHED_MIN=none PROBE=5 PROBE_DIR=cluster/Account2/metaopt/runs/tc1/probe_ly_a4_tc1_s1
NVIDIA L4, 23034 MiB

args_meta includes unnecessary attributes {'Lion_beta2'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account2/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 48.90 %, Test Accuracy: 60.88 %
Epoch 1, Train Accuracy: 68.80 %, Test Accuracy: 69.05 %
Epoch 2, Train Accuracy: 76.21 %, Test Accuracy: 77.28 %
Epoch 3, Train Accuracy: 80.42 %, Test Accuracy: 80.76 %
Epoch 4, Train Accuracy: 83.07 %, Test Accuracy: 80.96 %
Epoch 5, Train Accuracy: 84.76 %, Test Accuracy: 83.36 %
Epoch 6, Train Accuracy: 86.46 %, Test Accuracy: 84.95 %
Epoch 7, Train Accuracy: 87.92 %, Test Accuracy: 85.40 %
Epoch 8, Train Accuracy: 89.04 %, Test Accuracy: 86.39 %
Epoch 9, Train Accuracy: 90.17 %, Test Accuracy: 87.03 %
Epoch 10, Train Accuracy: 90.84 %, Test Accuracy: 87.69 %
Epoch 11, Train Accuracy: 91.91 %, Test Accuracy: 87.57 %
Epoch 12, Train Accuracy: 92.49 %, Test Accuracy: 87.80 %
Epoch 13, Train Accuracy: 93.01 %, Test Accuracy: 88.98 %
Epoch 14, Train Accuracy: 93.55 %, Test Accuracy: 89.03 %
Epoch 15, Train Accuracy: 94.33 %, Test Accuracy: 89.47 %
Epoch 16, Train Accuracy: 94.80 %, Test Accuracy: 90.35 %
Epoch 17, Train Accuracy: 95.25 %, Test Accuracy: 89.94 %
Epoch 18, Train Accuracy: 95.61 %, Test Accuracy: 89.46 %
Epoch 19, Train Accuracy: 95.91 %, Test Accuracy: 90.06 %
Epoch 20, Train Accuracy: 96.37 %, Test Accuracy: 89.93 %
Epoch 21, Train Accuracy: 96.71 %, Test Accuracy: 90.20 %
Epoch 22, Train Accuracy: 96.84 %, Test Accuracy: 90.79 %
Epoch 23, Train Accuracy: 97.08 %, Test Accuracy: 89.82 %
Epoch 24, Train Accuracy: 97.36 %, Test Accuracy: 90.46 %
Epoch 25, Train Accuracy: 97.57 %, Test Accuracy: 90.00 %
Epoch 26, Train Accuracy: 97.75 %, Test Accuracy: 90.40 %
Epoch 27, Train Accuracy: 98.00 %, Test Accuracy: 90.77 %
Epoch 28, Train Accuracy: 98.11 %, Test Accuracy: 90.82 %
Epoch 29, Train Accuracy: 98.30 %, Test Accuracy: 90.93 %
Epoch 30, Train Accuracy: 98.39 %, Test Accuracy: 90.54 %
Epoch 31, Train Accuracy: 98.46 %, Test Accuracy: 90.62 %
Epoch 32, Train Accuracy: 98.42 %, Test Accuracy: 91.42 %
Epoch 33, Train Accuracy: 98.74 %, Test Accuracy: 91.02 %
Epoch 34, Train Accuracy: 98.83 %, Test Accuracy: 90.72 %
Epoch 35, Train Accuracy: 98.75 %, Test Accuracy: 91.26 %
Epoch 36, Train Accuracy: 98.93 %, Test Accuracy: 90.49 %
Epoch 37, Train Accuracy: 99.01 %, Test Accuracy: 91.05 %
Epoch 38, Train Accuracy: 99.25 %, Test Accuracy: 90.81 %
Epoch 39, Train Accuracy: 99.12 %, Test Accuracy: 91.18 %
Epoch 40, Train Accuracy: 99.16 %, Test Accuracy: 91.16 %
Epoch 41, Train Accuracy: 99.26 %, Test Accuracy: 91.78 %
Epoch 42, Train Accuracy: 99.16 %, Test Accuracy: 91.65 %
Epoch 43, Train Accuracy: 99.19 %, Test Accuracy: 91.49 %
Epoch 44, Train Accuracy: 99.26 %, Test Accuracy: 91.51 %
Epoch 45, Train Accuracy: 99.33 %, Test Accuracy: 91.38 %
Epoch 46, Train Accuracy: 99.46 %, Test Accuracy: 91.81 %
Epoch 47, Train Accuracy: 99.46 %, Test Accuracy: 91.17 %
Epoch 48, Train Accuracy: 99.43 %, Test Accuracy: 91.57 %
Epoch 49, Train Accuracy: 99.41 %, Test Accuracy: 91.59 %
Epoch 50, Train Accuracy: 99.54 %, Test Accuracy: 91.61 %
Epoch 51, Train Accuracy: 99.52 %, Test Accuracy: 91.55 %
Epoch 52, Train Accuracy: 99.51 %, Test Accuracy: 91.53 %
Epoch 53, Train Accuracy: 99.57 %, Test Accuracy: 91.41 %
Epoch 54, Train Accuracy: 99.52 %, Test Accuracy: 91.73 %
Epoch 55, Train Accuracy: 99.55 %, Test Accuracy: 91.38 %
Epoch 56, Train Accuracy: 99.49 %, Test Accuracy: 91.40 %
Epoch 57, Train Accuracy: 99.55 %, Test Accuracy: 91.33 %
Epoch 58, Train Accuracy: 99.64 %, Test Accuracy: 91.69 %
Epoch 59, Train Accuracy: 99.60 %, Test Accuracy: 91.72 %
Epoch 60, Train Accuracy: 99.55 %, Test Accuracy: 91.48 %
Epoch 61, Train Accuracy: 99.59 %, Test Accuracy: 91.62 %
Epoch 62, Train Accuracy: 99.70 %, Test Accuracy: 91.67 %
Epoch 63, Train Accuracy: 99.70 %, Test Accuracy: 91.64 %
Epoch 64, Train Accuracy: 99.66 %, Test Accuracy: 92.00 %
Epoch 65, Train Accuracy: 99.68 %, Test Accuracy: 91.65 %
Epoch 66, Train Accuracy: 99.73 %, Test Accuracy: 91.76 %
Epoch 67, Train Accuracy: 99.71 %, Test Accuracy: 91.73 %
Epoch 68, Train Accuracy: 99.77 %, Test Accuracy: 91.74 %
Epoch 69, Train Accuracy: 99.74 %, Test Accuracy: 91.87 %
Epoch 70, Train Accuracy: 99.74 %, Test Accuracy: 91.81 %
Epoch 71, Train Accuracy: 99.80 %, Test Accuracy: 91.68 %
Epoch 72, Train Accuracy: 99.78 %, Test Accuracy: 91.57 %
Epoch 73, Train Accuracy: 99.82 %, Test Accuracy: 91.46 %
Epoch 74, Train Accuracy: 99.67 %, Test Accuracy: 91.77 %
Epoch 75, Train Accuracy: 99.76 %, Test Accuracy: 91.91 %
Epoch 76, Train Accuracy: 99.85 %, Test Accuracy: 91.84 %
Epoch 77, Train Accuracy: 99.81 %, Test Accuracy: 91.75 %
Epoch 78, Train Accuracy: 99.84 %, Test Accuracy: 91.85 %
Epoch 79, Train Accuracy: 99.77 %, Test Accuracy: 91.95 %
Epoch 80, Train Accuracy: 99.78 %, Test Accuracy: 91.96 %
Epoch 81, Train Accuracy: 99.76 %, Test Accuracy: 92.05 %
Epoch 82, Train Accuracy: 99.78 %, Test Accuracy: 91.90 %
Epoch 83, Train Accuracy: 99.80 %, Test Accuracy: 91.95 %
Epoch 84, Train Accuracy: 99.80 %, Test Accuracy: 91.75 %
Epoch 85, Train Accuracy: 99.77 %, Test Accuracy: 91.81 %
Epoch 86, Train Accuracy: 99.83 %, Test Accuracy: 92.17 %
Epoch 87, Train Accuracy: 99.80 %, Test Accuracy: 92.04 %
Epoch 88, Train Accuracy: 99.84 %, Test Accuracy: 91.83 %
Epoch 89, Train Accuracy: 99.85 %, Test Accuracy: 91.86 %
Epoch 90, Train Accuracy: 99.83 %, Test Accuracy: 91.79 %
Epoch 91, Train Accuracy: 99.89 %, Test Accuracy: 92.01 %
Epoch 92, Train Accuracy: 99.87 %, Test Accuracy: 91.89 %
Epoch 93, Train Accuracy: 99.81 %, Test Accuracy: 91.84 %
Epoch 94, Train Accuracy: 99.86 %, Test Accuracy: 91.94 %
Epoch 95, Train Accuracy: 99.81 %, Test Accuracy: 91.82 %
Epoch 96, Train Accuracy: 99.84 %, Test Accuracy: 91.72 %
Epoch 97, Train Accuracy: 99.89 %, Test Accuracy: 91.70 %
Epoch 98, Train Accuracy: 99.89 %, Test Accuracy: 91.91 %
Epoch 99, Train Accuracy: 99.84 %, Test Accuracy: 91.98 %
51  minutes
RUN_DONE
