NODE=[HOST_e223b82d71] | JOB=tc1-sc-a3-s1 4804365 | AUGMENT=1
ARGS: --optimizer HF --alg-base AdamW --normalizer-param-base 0.999 --momentum-param-base 0.9 --weight-decay-base 0.1 --alg-meta Adam --normalizer-param-meta 0.999 --momentum-param-meta 0.9 --weight-decay-meta 0 --dataset CIFAR10 --NN-name ResNet18 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-3 --alpha0 1e-3 --num-epochs 100 --stepsize-groups scalar --seed 1 --save-directory cluster/Account2/metaopt/runs/tc1 --run-name tc1-sc-a3-s1
ENV: AUGMENT=1 BETA_CLIP=-30:6.0 HIER=none LAM=na ETA_RATIO=na COS_TOTAL=default COS_WARMUP=default SCHED=none SCHED_TOTAL=none SCHED_WARMUP=none SCHED_MIN=none PROBE=5 PROBE_DIR=cluster/Account2/metaopt/runs/tc1/probe_sc_a3_tc1_s1
NVIDIA L4, 23034 MiB

args_meta includes unnecessary attributes {'Lion_beta2'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account2/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 38.24 %, Test Accuracy: 51.35 %
Epoch 1, Train Accuracy: 56.60 %, Test Accuracy: 59.75 %
Epoch 2, Train Accuracy: 65.97 %, Test Accuracy: 66.49 %
Epoch 3, Train Accuracy: 71.25 %, Test Accuracy: 72.24 %
Epoch 4, Train Accuracy: 75.88 %, Test Accuracy: 76.42 %
Epoch 5, Train Accuracy: 79.49 %, Test Accuracy: 80.40 %
Epoch 6, Train Accuracy: 82.38 %, Test Accuracy: 81.81 %
Epoch 7, Train Accuracy: 84.86 %, Test Accuracy: 83.89 %
Epoch 8, Train Accuracy: 86.98 %, Test Accuracy: 85.05 %
Epoch 9, Train Accuracy: 88.71 %, Test Accuracy: 86.36 %
Epoch 10, Train Accuracy: 89.81 %, Test Accuracy: 87.26 %
Epoch 11, Train Accuracy: 91.00 %, Test Accuracy: 88.16 %
Epoch 12, Train Accuracy: 91.63 %, Test Accuracy: 88.00 %
Epoch 13, Train Accuracy: 92.39 %, Test Accuracy: 89.06 %
Epoch 14, Train Accuracy: 93.73 %, Test Accuracy: 89.74 %
Epoch 15, Train Accuracy: 94.33 %, Test Accuracy: 90.22 %
Epoch 16, Train Accuracy: 94.91 %, Test Accuracy: 89.92 %
Epoch 17, Train Accuracy: 95.20 %, Test Accuracy: 90.39 %
Epoch 18, Train Accuracy: 95.95 %, Test Accuracy: 90.56 %
Epoch 19, Train Accuracy: 96.67 %, Test Accuracy: 90.38 %
