NODE=[HOST_e8d809bd94] | JOB=tc1-sc-a4-s0 4804356 | AUGMENT=1
ARGS: --optimizer HF --alg-base AdamW --normalizer-param-base 0.999 --momentum-param-base 0.9 --weight-decay-base 0.1 --alg-meta Adam --normalizer-param-meta 0.999 --momentum-param-meta 0.9 --weight-decay-meta 0 --dataset CIFAR10 --NN-name ResNet18 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-3 --alpha0 1e-4 --num-epochs 100 --stepsize-groups scalar --seed 0 --save-directory cluster/Account2/metaopt/runs/tc1 --run-name tc1-sc-a4-s0
ENV: AUGMENT=1 BETA_CLIP=-30:6.0 HIER=none LAM=na ETA_RATIO=na COS_TOTAL=default COS_WARMUP=default SCHED=none SCHED_TOTAL=none SCHED_WARMUP=none SCHED_MIN=none PROBE=5 PROBE_DIR=cluster/Account2/metaopt/runs/tc1/probe_sc_a4_tc1_s0
NVIDIA L4, 23034 MiB

args_meta includes unnecessary attributes {'Lion_beta2'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account2/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 51.06 %, Test Accuracy: 62.85 %
Epoch 1, Train Accuracy: 68.85 %, Test Accuracy: 70.32 %
Epoch 2, Train Accuracy: 75.45 %, Test Accuracy: 76.50 %
Epoch 3, Train Accuracy: 79.37 %, Test Accuracy: 79.63 %
Epoch 4, Train Accuracy: 81.82 %, Test Accuracy: 78.90 %
Epoch 5, Train Accuracy: 83.49 %, Test Accuracy: 82.64 %
Epoch 6, Train Accuracy: 85.16 %, Test Accuracy: 84.51 %
Epoch 7, Train Accuracy: 86.20 %, Test Accuracy: 84.98 %
Epoch 8, Train Accuracy: 87.09 %, Test Accuracy: 82.52 %
Epoch 9, Train Accuracy: 88.02 %, Test Accuracy: 85.67 %
Epoch 10, Train Accuracy: 88.92 %, Test Accuracy: 86.38 %
Epoch 11, Train Accuracy: 89.81 %, Test Accuracy: 87.05 %
Epoch 12, Train Accuracy: 90.37 %, Test Accuracy: 87.24 %
Epoch 13, Train Accuracy: 91.22 %, Test Accuracy: 87.31 %
Epoch 14, Train Accuracy: 91.82 %, Test Accuracy: 87.04 %
Epoch 15, Train Accuracy: 92.35 %, Test Accuracy: 87.37 %
Epoch 16, Train Accuracy: 92.25 %, Test Accuracy: 88.71 %
Epoch 17, Train Accuracy: 92.90 %, Test Accuracy: 88.34 %
Epoch 18, Train Accuracy: 93.48 %, Test Accuracy: 88.94 %
Epoch 19, Train Accuracy: 93.88 %, Test Accuracy: 88.38 %
