NODE=[HOST_f0845cc956] | JOB=tl1-a3-plain-s0 4886444 | AUGMENT=1
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR10 --NN-name ResNet18 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-3 --alpha0 1e-3 --num-epochs 100 --stepsize-groups layerwise --seed 0 --save-directory cluster/Account2/metaopt/runs/tl1 --run-name tl1-a3-plain-s0
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=none LAM=na ETA_RATIO=na COS_TOTAL=default COS_WARMUP=default SCHED=none SCHED_TOTAL=none SCHED_WARMUP=none SCHED_MIN=none PROBE=500 PROBE_DIR=cluster/Account2/metaopt/runs/tl1/probe_tl1_a3_plain_s0 EB_RHO=na EB_LOG=0
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account2/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 23.80 %, Test Accuracy: 32.48 %
Epoch 1, Train Accuracy: 36.90 %, Test Accuracy: 42.45 %
Epoch 2, Train Accuracy: 46.28 %, Test Accuracy: 52.25 %
Epoch 3, Train Accuracy: 55.08 %, Test Accuracy: 59.34 %
Epoch 4, Train Accuracy: 63.32 %, Test Accuracy: 67.60 %
Epoch 5, Train Accuracy: 69.96 %, Test Accuracy: 72.61 %
Epoch 6, Train Accuracy: 74.57 %, Test Accuracy: 75.63 %
Epoch 7, Train Accuracy: 78.15 %, Test Accuracy: 78.50 %
Epoch 8, Train Accuracy: 80.52 %, Test Accuracy: 79.84 %
Epoch 9, Train Accuracy: 82.56 %, Test Accuracy: 82.68 %
Epoch 10, Train Accuracy: 84.29 %, Test Accuracy: 82.22 %
Epoch 11, Train Accuracy: 85.31 %, Test Accuracy: 84.20 %
Epoch 12, Train Accuracy: 86.59 %, Test Accuracy: 84.81 %
Epoch 13, Train Accuracy: 87.25 %, Test Accuracy: 85.56 %
Epoch 14, Train Accuracy: 88.49 %, Test Accuracy: 86.35 %
Epoch 15, Train Accuracy: 89.09 %, Test Accuracy: 86.30 %
Epoch 16, Train Accuracy: 90.08 %, Test Accuracy: 86.91 %
Epoch 17, Train Accuracy: 90.42 %, Test Accuracy: 86.72 %
Epoch 18, Train Accuracy: 91.20 %, Test Accuracy: 87.39 %
Epoch 19, Train Accuracy: 91.66 %, Test Accuracy: 87.21 %
Epoch 20, Train Accuracy: 92.38 %, Test Accuracy: 87.36 %
Epoch 21, Train Accuracy: 92.79 %, Test Accuracy: 86.98 %
Epoch 22, Train Accuracy: 93.19 %, Test Accuracy: 88.45 %
Epoch 23, Train Accuracy: 93.76 %, Test Accuracy: 87.71 %
Epoch 24, Train Accuracy: 93.92 %, Test Accuracy: 88.57 %
Epoch 25, Train Accuracy: 94.51 %, Test Accuracy: 88.93 %
Epoch 26, Train Accuracy: 94.77 %, Test Accuracy: 88.72 %
Epoch 27, Train Accuracy: 94.79 %, Test Accuracy: 89.18 %
Epoch 28, Train Accuracy: 95.36 %, Test Accuracy: 88.47 %
Epoch 29, Train Accuracy: 95.79 %, Test Accuracy: 89.36 %
Epoch 30, Train Accuracy: 95.91 %, Test Accuracy: 88.86 %
Epoch 31, Train Accuracy: 96.00 %, Test Accuracy: 89.43 %
Epoch 32, Train Accuracy: 96.41 %, Test Accuracy: 89.04 %
Epoch 33, Train Accuracy: 96.81 %, Test Accuracy: 89.45 %
Epoch 34, Train Accuracy: 96.83 %, Test Accuracy: 89.45 %
Epoch 35, Train Accuracy: 97.21 %, Test Accuracy: 89.77 %
Epoch 36, Train Accuracy: 97.00 %, Test Accuracy: 89.87 %
Epoch 37, Train Accuracy: 97.51 %, Test Accuracy: 90.20 %
Epoch 38, Train Accuracy: 97.66 %, Test Accuracy: 89.18 %
Epoch 39, Train Accuracy: 97.60 %, Test Accuracy: 89.73 %
Epoch 40, Train Accuracy: 97.92 %, Test Accuracy: 89.78 %
Epoch 41, Train Accuracy: 98.24 %, Test Accuracy: 90.01 %
Epoch 42, Train Accuracy: 98.30 %, Test Accuracy: 90.15 %
Epoch 43, Train Accuracy: 98.36 %, Test Accuracy: 90.48 %
Epoch 44, Train Accuracy: 98.27 %, Test Accuracy: 90.33 %
Epoch 45, Train Accuracy: 98.48 %, Test Accuracy: 90.48 %
Epoch 46, Train Accuracy: 98.50 %, Test Accuracy: 90.42 %
Epoch 47, Train Accuracy: 98.62 %, Test Accuracy: 90.59 %
Epoch 48, Train Accuracy: 98.94 %, Test Accuracy: 90.01 %
Epoch 49, Train Accuracy: 98.76 %, Test Accuracy: 90.34 %
Epoch 50, Train Accuracy: 98.87 %, Test Accuracy: 90.04 %
Epoch 51, Train Accuracy: 98.87 %, Test Accuracy: 90.50 %
Epoch 52, Train Accuracy: 99.00 %, Test Accuracy: 90.77 %
Epoch 53, Train Accuracy: 99.09 %, Test Accuracy: 90.55 %
Epoch 54, Train Accuracy: 99.01 %, Test Accuracy: 90.40 %
Epoch 55, Train Accuracy: 99.04 %, Test Accuracy: 90.33 %
Epoch 56, Train Accuracy: 99.23 %, Test Accuracy: 90.62 %
Epoch 57, Train Accuracy: 99.25 %, Test Accuracy: 90.57 %
Epoch 58, Train Accuracy: 99.32 %, Test Accuracy: 90.84 %
Epoch 59, Train Accuracy: 99.32 %, Test Accuracy: 90.59 %
Epoch 60, Train Accuracy: 99.29 %, Test Accuracy: 90.63 %
Epoch 61, Train Accuracy: 99.12 %, Test Accuracy: 91.09 %
Epoch 62, Train Accuracy: 99.32 %, Test Accuracy: 90.66 %
Epoch 63, Train Accuracy: 99.29 %, Test Accuracy: 91.02 %
Epoch 64, Train Accuracy: 99.57 %, Test Accuracy: 90.86 %
Epoch 65, Train Accuracy: 99.46 %, Test Accuracy: 90.19 %
Epoch 66, Train Accuracy: 99.43 %, Test Accuracy: 90.79 %
Epoch 67, Train Accuracy: 99.60 %, Test Accuracy: 90.77 %
