NODE=[HOST_e8d809bd94] | JOB=tl1-a3-r03-s1 4886449 | AUGMENT=1
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR10 --NN-name ResNet18 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-3 --alpha0 1e-3 --num-epochs 100 --stepsize-groups layerwise --seed 1 --save-directory cluster/Account2/metaopt/runs/tl1 --run-name tl1-a3-r03-s1
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=twolevel LAM=na ETA_RATIO=0.3 COS_TOTAL=default COS_WARMUP=default SCHED=none SCHED_TOTAL=none SCHED_WARMUP=none SCHED_MIN=none PROBE=500 PROBE_DIR=cluster/Account2/metaopt/runs/tl1/probe_tl1_a3_r03_s1 EB_RHO=na EB_LOG=0
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account2/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 21.67 %, Test Accuracy: 31.23 %
Epoch 1, Train Accuracy: 38.39 %, Test Accuracy: 44.58 %
Epoch 2, Train Accuracy: 47.88 %, Test Accuracy: 52.75 %
Epoch 3, Train Accuracy: 56.55 %, Test Accuracy: 61.36 %
Epoch 4, Train Accuracy: 64.63 %, Test Accuracy: 68.03 %
Epoch 5, Train Accuracy: 70.46 %, Test Accuracy: 72.71 %
Epoch 6, Train Accuracy: 74.25 %, Test Accuracy: 74.35 %
Epoch 7, Train Accuracy: 77.73 %, Test Accuracy: 78.78 %
Epoch 8, Train Accuracy: 79.96 %, Test Accuracy: 80.75 %
Epoch 9, Train Accuracy: 82.05 %, Test Accuracy: 80.35 %
Epoch 10, Train Accuracy: 83.06 %, Test Accuracy: 81.05 %
Epoch 11, Train Accuracy: 84.57 %, Test Accuracy: 83.12 %
Epoch 12, Train Accuracy: 85.71 %, Test Accuracy: 83.51 %
Epoch 13, Train Accuracy: 86.38 %, Test Accuracy: 82.89 %
Epoch 14, Train Accuracy: 87.21 %, Test Accuracy: 84.49 %
Epoch 15, Train Accuracy: 88.36 %, Test Accuracy: 85.48 %
Epoch 16, Train Accuracy: 88.62 %, Test Accuracy: 84.86 %
Epoch 17, Train Accuracy: 89.76 %, Test Accuracy: 85.70 %
Epoch 18, Train Accuracy: 89.88 %, Test Accuracy: 85.43 %
Epoch 19, Train Accuracy: 90.83 %, Test Accuracy: 86.32 %
Epoch 20, Train Accuracy: 91.20 %, Test Accuracy: 85.78 %
Epoch 21, Train Accuracy: 91.48 %, Test Accuracy: 86.70 %
Epoch 22, Train Accuracy: 91.94 %, Test Accuracy: 87.21 %
Epoch 23, Train Accuracy: 92.33 %, Test Accuracy: 86.86 %
Epoch 24, Train Accuracy: 93.13 %, Test Accuracy: 86.33 %
Epoch 25, Train Accuracy: 93.24 %, Test Accuracy: 87.75 %
Epoch 26, Train Accuracy: 93.72 %, Test Accuracy: 87.33 %
Epoch 27, Train Accuracy: 93.67 %, Test Accuracy: 87.87 %
Epoch 28, Train Accuracy: 94.44 %, Test Accuracy: 88.07 %
Epoch 29, Train Accuracy: 94.31 %, Test Accuracy: 88.18 %
Epoch 30, Train Accuracy: 95.05 %, Test Accuracy: 87.60 %
Epoch 31, Train Accuracy: 95.39 %, Test Accuracy: 88.41 %
Epoch 32, Train Accuracy: 95.21 %, Test Accuracy: 87.97 %
Epoch 33, Train Accuracy: 95.93 %, Test Accuracy: 88.79 %
Epoch 34, Train Accuracy: 96.02 %, Test Accuracy: 87.99 %
Epoch 35, Train Accuracy: 96.09 %, Test Accuracy: 88.81 %
Epoch 36, Train Accuracy: 96.29 %, Test Accuracy: 88.29 %
Epoch 37, Train Accuracy: 96.48 %, Test Accuracy: 88.39 %
Epoch 38, Train Accuracy: 96.67 %, Test Accuracy: 88.07 %
Epoch 39, Train Accuracy: 96.81 %, Test Accuracy: 88.06 %
Epoch 40, Train Accuracy: 96.97 %, Test Accuracy: 88.90 %
Epoch 41, Train Accuracy: 97.31 %, Test Accuracy: 88.55 %
Epoch 42, Train Accuracy: 97.01 %, Test Accuracy: 88.61 %
Epoch 43, Train Accuracy: 97.44 %, Test Accuracy: 88.96 %
Epoch 44, Train Accuracy: 97.46 %, Test Accuracy: 89.07 %
Epoch 45, Train Accuracy: 97.78 %, Test Accuracy: 88.89 %
Epoch 46, Train Accuracy: 98.11 %, Test Accuracy: 88.97 %
Epoch 47, Train Accuracy: 97.51 %, Test Accuracy: 89.14 %
Epoch 48, Train Accuracy: 98.23 %, Test Accuracy: 88.66 %
Epoch 49, Train Accuracy: 98.51 %, Test Accuracy: 89.66 %
Epoch 50, Train Accuracy: 98.50 %, Test Accuracy: 88.72 %
Epoch 51, Train Accuracy: 97.84 %, Test Accuracy: 87.97 %
Epoch 52, Train Accuracy: 98.21 %, Test Accuracy: 88.88 %
Epoch 53, Train Accuracy: 98.45 %, Test Accuracy: 89.24 %
Epoch 54, Train Accuracy: 98.56 %, Test Accuracy: 88.54 %
Epoch 55, Train Accuracy: 98.73 %, Test Accuracy: 89.83 %
Epoch 56, Train Accuracy: 98.71 %, Test Accuracy: 88.84 %
Epoch 57, Train Accuracy: 98.79 %, Test Accuracy: 89.32 %
Epoch 58, Train Accuracy: 98.82 %, Test Accuracy: 89.35 %
Epoch 59, Train Accuracy: 98.98 %, Test Accuracy: 88.84 %
