NODE=[HOST_b0a55dfb8c] | JOB=tl1-a6-r003-s1 4886426 | AUGMENT=1
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR10 --NN-name ResNet18 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-3 --alpha0 1e-6 --num-epochs 100 --stepsize-groups layerwise --seed 1 --save-directory cluster/Account2/metaopt/runs/tl1 --run-name tl1-a6-r003-s1
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=twolevel LAM=na ETA_RATIO=0.03 COS_TOTAL=default COS_WARMUP=default SCHED=none SCHED_TOTAL=none SCHED_WARMUP=none SCHED_MIN=none PROBE=500 PROBE_DIR=cluster/Account2/metaopt/runs/tl1/probe_tl1_a6_r003_s1 EB_RHO=na EB_LOG=0
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account2/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 9.66 %, Test Accuracy: 9.82 %
Epoch 1, Train Accuracy: 9.51 %, Test Accuracy: 9.86 %
Epoch 2, Train Accuracy: 9.52 %, Test Accuracy: 9.79 %
Epoch 3, Train Accuracy: 9.69 %, Test Accuracy: 9.83 %
Epoch 4, Train Accuracy: 10.16 %, Test Accuracy: 10.43 %
Epoch 5, Train Accuracy: 11.39 %, Test Accuracy: 12.51 %
Epoch 6, Train Accuracy: 14.43 %, Test Accuracy: 16.37 %
Epoch 7, Train Accuracy: 17.81 %, Test Accuracy: 20.90 %
Epoch 8, Train Accuracy: 20.84 %, Test Accuracy: 22.57 %
Epoch 9, Train Accuracy: 23.37 %, Test Accuracy: 24.88 %
Epoch 10, Train Accuracy: 26.74 %, Test Accuracy: 27.78 %
Epoch 11, Train Accuracy: 30.73 %, Test Accuracy: 33.98 %
Epoch 12, Train Accuracy: 35.55 %, Test Accuracy: 38.97 %
Epoch 13, Train Accuracy: 40.91 %, Test Accuracy: 44.42 %
Epoch 14, Train Accuracy: 45.95 %, Test Accuracy: 50.23 %
Epoch 15, Train Accuracy: 50.74 %, Test Accuracy: 54.41 %
Epoch 16, Train Accuracy: 56.51 %, Test Accuracy: 58.52 %
Epoch 17, Train Accuracy: 64.16 %, Test Accuracy: 67.25 %
Epoch 18, Train Accuracy: 69.50 %, Test Accuracy: 68.62 %
Epoch 19, Train Accuracy: 73.25 %, Test Accuracy: 75.49 %
Epoch 20, Train Accuracy: 76.73 %, Test Accuracy: 76.68 %
Epoch 21, Train Accuracy: 78.76 %, Test Accuracy: 79.21 %
Epoch 22, Train Accuracy: 80.86 %, Test Accuracy: 81.79 %
Epoch 23, Train Accuracy: 81.96 %, Test Accuracy: 81.15 %
Epoch 24, Train Accuracy: 83.16 %, Test Accuracy: 82.01 %
Epoch 25, Train Accuracy: 84.39 %, Test Accuracy: 82.62 %
Epoch 26, Train Accuracy: 85.13 %, Test Accuracy: 83.36 %
Epoch 27, Train Accuracy: 85.79 %, Test Accuracy: 84.41 %
Epoch 28, Train Accuracy: 86.62 %, Test Accuracy: 85.26 %
Epoch 29, Train Accuracy: 87.23 %, Test Accuracy: 84.90 %
Epoch 30, Train Accuracy: 87.78 %, Test Accuracy: 85.67 %
Epoch 31, Train Accuracy: 88.46 %, Test Accuracy: 85.58 %
Epoch 32, Train Accuracy: 88.62 %, Test Accuracy: 86.30 %
Epoch 33, Train Accuracy: 89.26 %, Test Accuracy: 86.76 %
Epoch 34, Train Accuracy: 89.74 %, Test Accuracy: 86.22 %
Epoch 35, Train Accuracy: 90.13 %, Test Accuracy: 86.88 %
Epoch 36, Train Accuracy: 90.61 %, Test Accuracy: 85.98 %
Epoch 37, Train Accuracy: 90.93 %, Test Accuracy: 85.96 %
Epoch 38, Train Accuracy: 91.22 %, Test Accuracy: 87.21 %
Epoch 39, Train Accuracy: 91.65 %, Test Accuracy: 87.64 %
Epoch 40, Train Accuracy: 91.87 %, Test Accuracy: 87.56 %
Epoch 41, Train Accuracy: 92.10 %, Test Accuracy: 87.73 %
Epoch 42, Train Accuracy: 92.62 %, Test Accuracy: 87.21 %
Epoch 43, Train Accuracy: 92.63 %, Test Accuracy: 87.99 %
Epoch 44, Train Accuracy: 93.09 %, Test Accuracy: 87.56 %
Epoch 45, Train Accuracy: 93.23 %, Test Accuracy: 88.53 %
Epoch 46, Train Accuracy: 93.45 %, Test Accuracy: 88.39 %
Epoch 47, Train Accuracy: 93.88 %, Test Accuracy: 88.56 %
Epoch 48, Train Accuracy: 93.97 %, Test Accuracy: 88.10 %
Epoch 49, Train Accuracy: 94.06 %, Test Accuracy: 88.57 %
Epoch 50, Train Accuracy: 94.59 %, Test Accuracy: 88.31 %
Epoch 51, Train Accuracy: 94.48 %, Test Accuracy: 87.88 %
Epoch 52, Train Accuracy: 94.68 %, Test Accuracy: 87.87 %
Epoch 53, Train Accuracy: 94.89 %, Test Accuracy: 88.73 %
Epoch 54, Train Accuracy: 95.15 %, Test Accuracy: 88.28 %
Epoch 55, Train Accuracy: 95.60 %, Test Accuracy: 88.95 %
Epoch 56, Train Accuracy: 95.41 %, Test Accuracy: 88.19 %
Epoch 57, Train Accuracy: 95.58 %, Test Accuracy: 88.85 %
Epoch 58, Train Accuracy: 95.70 %, Test Accuracy: 88.87 %
Epoch 59, Train Accuracy: 95.99 %, Test Accuracy: 89.21 %
Epoch 60, Train Accuracy: 96.05 %, Test Accuracy: 89.15 %
Epoch 61, Train Accuracy: 96.28 %, Test Accuracy: 89.42 %
Epoch 62, Train Accuracy: 96.44 %, Test Accuracy: 89.11 %
Epoch 63, Train Accuracy: 96.41 %, Test Accuracy: 88.77 %
Epoch 64, Train Accuracy: 96.65 %, Test Accuracy: 88.99 %
Epoch 65, Train Accuracy: 96.71 %, Test Accuracy: 89.28 %
Epoch 66, Train Accuracy: 97.01 %, Test Accuracy: 89.23 %
Epoch 67, Train Accuracy: 96.80 %, Test Accuracy: 89.17 %
Epoch 68, Train Accuracy: 96.88 %, Test Accuracy: 88.96 %
Epoch 69, Train Accuracy: 97.32 %, Test Accuracy: 89.66 %
Epoch 70, Train Accuracy: 97.41 %, Test Accuracy: 89.99 %
Epoch 71, Train Accuracy: 97.48 %, Test Accuracy: 89.81 %
Epoch 72, Train Accuracy: 97.66 %, Test Accuracy: 90.09 %
Epoch 73, Train Accuracy: 97.67 %, Test Accuracy: 89.46 %
Epoch 74, Train Accuracy: 97.69 %, Test Accuracy: 89.31 %
Epoch 75, Train Accuracy: 97.56 %, Test Accuracy: 89.34 %
Epoch 76, Train Accuracy: 97.89 %, Test Accuracy: 89.80 %
Epoch 77, Train Accuracy: 97.74 %, Test Accuracy: 89.52 %
Epoch 78, Train Accuracy: 97.90 %, Test Accuracy: 88.96 %
Epoch 79, Train Accuracy: 98.01 %, Test Accuracy: 89.80 %
Epoch 80, Train Accuracy: 98.11 %, Test Accuracy: 89.86 %
Epoch 81, Train Accuracy: 98.28 %, Test Accuracy: 89.76 %
Epoch 82, Train Accuracy: 98.39 %, Test Accuracy: 89.85 %
Epoch 83, Train Accuracy: 98.29 %, Test Accuracy: 89.51 %
Epoch 84, Train Accuracy: 98.39 %, Test Accuracy: 89.63 %
Epoch 85, Train Accuracy: 98.40 %, Test Accuracy: 89.87 %
